Nombre de usuario,Usuario,Fecha,Texto
@LordDarthVader,@LordDarthVader,2021-02-27T01:55:28.000Z,No vamos a cerrar este viernes sin nuestro #YoNoMeVacuno
Javi,@Javibqbr,2021-02-26T20:33:15.000Z,"Fanatismo, ignorancia y superstición. Pero por supuesto, con la inquisición chitón
#DictaduraSanitaria 
#YoNoMeVacuno 
#Plandemia 
#CovidScam"
LUCRECIA BORGIA DE VALLADOLID,@pucelamaybis,2021-02-26T19:56:10.000Z,"En situaciones de límite , las llamadas vacunas de emergencia se aprueban por estadística beneficiosa . Si de covid mueren 100 y con la vacuna mueren 75, compensa y se aprueba. Es una emergencia, pero se está planteando como la solución definitiva. 
#yonomevacuno"
DEBBIE D,@DEBB1D,2021-02-26T09:49:43.000Z,"AVISO : me llega desde una fuente solvente que cuando os vayan a poner la vacuna que hagáis una foto con vuestro móvil  de todos los datos de vacuna que os pinchan: lote, numeritos y todo lo que os están metiendo al cuerpo. Más vale prevenir que curar #YoMeVacuno #YoNoMeVacuno"
Santiago Campiglia,@Santi_Campiglia,2021-02-26T04:09:14.000Z,"Cuanto Circo con la llegadas de las #vacunasdelInfierno....#yonomevacuno y hago derecho como hombre libre.. Constitucionalmente nadie me puede obligar, tampoco puedo tener consecuencias que me compliquen el desempeño de mi vida por sentirme Libre de elegir no vacunarme"
@LordDarthVader,@LordDarthVader,2021-02-26T02:45:54.000Z,Importante es sostener que #YoNoMeVacuno y mis hijas tampoco.
Lord Vader,@mantisreligioso,2021-02-26T02:39:57.000Z,Buena oportunidad para recordarles que #YoNoMeVacuno
AVE FÉNIX,@Alican36Manuel,2021-02-25T20:59:15.000Z,Acabo de enterarme que se han reunido virtualmente los mandatarios europeos satanistas para planificar el futuro pasaporte o certificado de vacunación covid para poder viajar. Y lo grito ahora mas fuerte: #YONOMEVACUNO
@EsosTiemposOld,@EsosTiemposOld,2021-02-25T18:07:43.000Z,"#YoNoMeVacuno Quien de Ustedes Aseguran que la Casta Politiquera se Pondra la Vacunita ..? Quien Te Dice a Ti.. si en el Frasquito es el Antidoto que Ellos Promocionan..? Si tu Trabajas, Haces Deporte, Sonries, Tienes una Actividad Sexual  Perfecta ! Para q la Vacuna..?"
@EsosTiemposOld,@EsosTiemposOld,2021-02-25T17:49:53.000Z,#YoNoMeVacuno  Las Consecuencias las Verán al Pasar los Años... Ellos Nunca se Vacunaron. Solo les Interesa en Ganado.
C x r x m e l x .,@CarmeloGandiniT,2021-02-25T13:44:31.000Z,"Canosa -tomandosé un shot de ClO2-, Feinmann, Majul, Viale, entre tantxs otrxs, hace días nomás eran el ""team anti-vacuna"", el ""#YoNoMeVacuno"", etc. y hoy están horrorizades por que hay un ""supuesto"" (por ellxs mismxs) orden VIP de vacunación...
Chiques, seamos serixs!"
LetradaCabreada,@LetradaCabreada,2021-02-25T12:52:10.000Z,"Nos han robado un año de nuestra vida, nos alxifian con bozales, han inducido al suicidio, han matado a miles de personas, nos han llevado a la ruina económica, nos han esclavizado sin ningún derecho, de verdad queréis vivir así?
#NoAlBozal
#Libertad
#NoalNOM
#YoNoMeVacuno"
@LordDarthVader,@LordDarthVader,2021-02-25T11:30:06.000Z,Jueves y #YoNoMeVacuno
Beatriz Lema,@beatriz11197552,2021-02-25T05:32:08.000Z,Te dan la supuesta enfermedad y también te piden lo no tenes por una inoculación que dura 6 meses de inmunidad y sobre todo no sabes los efectos adversos que puede traer sumado a la entrega de soberanía con un contrato leonino y deslindante . #yonomevacuno
DanielaFuentes21,@piensadaniloca,2021-02-25T04:28:41.000Z,"Estoy sorprendida para a
mal por la cantidad de personas vacunadas en Chile. Nadie cuestiona que toda forma de tratamiento (hidroxicloroquina, ivermectina, vitamina D,etc) que no fuera ""la vacuna"" fueron omitidas en TV. De esto, no muere ni el 1%. No hay necesidad #YoNoMeVacuno"
@LordDarthVader,@LordDarthVader,2021-02-25T01:03:19.000Z,"Qué Putin, los chinos y Oxford descuenten unas 10 dosis aproximadamente, poque #YoNoMeVacuno y mi familia tampoco."
San,@sandivina,2021-02-24T20:32:23.000Z,"Porqué no dan datos de las personas que NO QUIEREN VACUNARSE?
Cómo puede ser que en Alemania los sanitarios en su inmensa mayoría rechacen hacerlo con Astrazeneca y deciden vacunar a otros?
Los sanitarios son imbeciles?
#YoNoMeVacuno"
Bautista Péntecost XY,@BautiPentecost,2021-02-24T13:18:13.000Z,"Si el virus no fue aislado ni secuenciado ni hay autopsias que demuestren dichas muertes..
Por qué, para qué y contra qué te quieren vacunar ??

Me lo podes explicar ??
#Plandemia 
#Infectadura 
#Controlavirus 
#YoNoMeVacuno 
@TanoFerro_arg"
Sergio,@tri33s,2021-02-23T18:17:01.000Z,"Cómo era la proclama del feminismo auspiciado por filántropos y encarnado en tipas como 
@IreneMontero
 ""En mi cuerpo mando yo"" pues eso, mi cuerpo no se vacuna. #YoNoMeVacuno #Agenda2030No #ALERTA #DerechosHumanos #NurembergLeRetour #FeijooDictador #ElPeorGobiernoDeLaHistoria"
jvanpiccs,@joanpiccs,2021-02-23T17:59:59.000Z,"- La vacuna es un veneno! Que se vacunen los políticos!#yonomevacuno

*Los politicos se vacunan para dar el ejemplo, mitigar el miedo y la desinformación*
 
- Basta de vacunar a los políticos! Vacunen a los esenciales y a los abuelos!"
Alberto,@Cartagenero72,2021-02-23T16:06:07.000Z,"Dimisión del gobierno 
@populares
 en la  Junta de Galicia!!!
#YoNoMeVacuno"
Alberto,@Cartagenero72,2021-02-23T15:56:16.000Z,"Obligatoriedad de inocularse un caldo en Galicia bajo multa. El 
@populares
 a cara descubierta. Agenda 2030. La vacunación obligatoria es contraria a un montón de leyes y tratados.
Hay que denunciar a la Xunta. No a la vacunación obligatoria. #YoNoMeVacuno"
Endy Owy,@EndyOwy,2021-02-23T14:11:43.000Z,"A LOS QUE NO NOS VACUNEMOS.
¿NOS MANDARAN A VIVIR A ALGÚN GUETO???? 
#YoNoMeVacuno"
Ged,@CarlosUrda77,2021-02-23T13:46:47.000Z,"Que tu cuerpo sea templo del Espíritu Santo.

#YoNoMeVacuno"
@caidodelcatre,@caidodelcatre,2021-02-23T13:33:48.000Z,"Pasaron más rápido del #YoNoMeVacuno al #QuieroMiVacuna que del #NoVuelvenMas al #VamosAvolver ...
Dato, no opinión...

#HabraConsecuencias"
GaBbyNnia,@GaByNnia,2021-02-23T12:51:47.000Z,"Convenio sobre Derechos Humanos y Biomedicina 
CAP II Art. 5
Una intervención en el ámbito de la sanidad sólo podrá efectuarse después de que la persona afectada haya dado su libre e informado consentimiento.
#Covid19 #VacunaCOVID19 #YoNoMeVacuno"
@LordDarthVader,@LordDarthVader,2021-02-23T11:28:35.000Z,Los marte también #YoNoMeVacuno
Elizabeth Márquez,@DocEliMarquez,2021-02-23T11:09:36.000Z,"Aviso #YoNoMeVacuno porq las vacunas son experimentales. Llama la atención q ningún medio se percate de este notable hecho y hablen como si estuviéramos frente a una q haya superado las etapas. Encima ninguna supera el 95% mínimo de eficacia 
@veronicaressia"
Hernandarias,@HernandoAriasde,2021-02-23T05:42:56.000Z,En Uruguay ya existe el hashtag #yonomevacuno? o lo van a inventar cuando vean que de verdad ya llegaron las vacunas
Clau Peroni,@PeroniMariaC,2021-02-23T04:06:58.000Z,"No era q #YoNoMeVacuno estos #MacristasCinicos
Ahora, Si quieren las Vscunas q ENVENENAN E INFECTAN? 
QUE GENTE DE MIER...A"
"Patri
ta
JS",@AleMalagrin0,2021-02-23T02:31:11.000Z,"ESTE MARTES
UN AVIÓN ARGENTINO PARTE EN BUSCA DE UN MILLÓN DE DOSIS DE V∆CUN∆S CHIN∆$ 
Ecucharon bien? CHIN∆$
SIN0PH∆RM

Pretenden inocular a 500MlL
 que requieren de 2 aplicaciones.

#YoNoMeVacuno"
Maximo_Aaron,@jashijubei,2021-02-23T02:14:31.000Z,"A que a mover banderitas y cantar el himno? jajaja. Argentina ya es de China, eso no importa, lo que importa es que se robaron Vacunas experimentales y se las ""aplicaron"". Donde quedo el #YoNoMeVacuno #27FTodosALasCalles"
Lic. Marcelo,@Marcelo17283,2021-02-23T00:34:19.000Z,"Hastags sugeribles para zurdos:
#SonPocasVacunas
#QueremosLasGotitasDeMaduro
#SomosLosUltimos
#UsenLosHercules
#LasTraenDeMadrugadaPorqueAlgoEsconden
#YoNoMeVacuno
#Ñañañañañaña"
Porteñita,@bcastil32667233,2021-02-22T16:56:49.000Z,"Qué honorable se habrá puesto la vacuna que me correspondía ?
#YoNoMeVacuno 
#LaPolemicaDelDiaMG"
Arturo Mancilla,@arturomancilla,2021-02-22T13:23:25.000Z,"#YoNoMeVacuno. No hay soporte científico sobre la eficacia e inocuidad de la vacuna.
Es más, no creo que todos esos muertos sean de covid."
@LordDarthVader,@LordDarthVader,2021-02-22T12:42:36.000Z,"Me parece a mi, o se les está cayendo la #INFECTADURA?!. Muchos se están dando cuenta de que este cirKOVID nos es más que una farsa, una #Plandemia. Igual reitero que #YoNoMeVacuno. Apando la tv se termina el 
. 
#ApaguenLaTV."
@LordDarthVader,@LordDarthVader,2021-02-22T12:38:20.000Z,Comenzamos el día y #YoNoMeVacuno
@LordDarthVader,@LordDarthVader,2021-02-22T02:59:10.000Z,"Desde este paraíso, recuerdo que: #YoNoMeVacuno"
ana marino,@anamari58237179,2021-02-22T02:49:28.000Z,"#YoNoMeVacuno #OperetaMonto recuerden q la nueva  ministra no quiere ni q hables ni q te rias con el projimo, esta sra nos querra encerrar pronto"
ℂᴬℝᴺ𝕀ᴿ𝕌ᴸ𝕆™,@carnichoto,2021-02-22T01:00:52.000Z,"Hace un mes estaban todos tuiteando #YoNoMeVacuno. Ahora lloran vacuna para la tía Polola. ¿Por qué no se callan la boca a tiempo, pedazos de pelotudos?"
Riki72,@Rikipincha,2021-02-22T00:04:51.000Z,"la jugada del gobierno es tragicamente buena...porque lograron que TODOS los opositores militen LAS VACUNAS! cayeron en su trampa...los anularon....Mi dosis se la regalo al que quiera, porque #YoNoMeVacuno ni en pedo con ninguna vacuna"
perdigon perdido,@perdigonperdido,2021-02-21T23:58:04.000Z,"Como mucha gente no quería el experimento de arn mensajero a pesar del descomunal marketing.

Se  hace ahora psicología a la inversa. Todos se muestran desesperados y te la dibujan deseada.

Que se metan en el ogt  esa basura. 

No se dejen engañar.

#YoNoMeVacuno"
Ann,@Beatann,2021-02-21T22:22:31.000Z,Acá no fue tendencia el #YoNoMeVacuno? y ahora están todos indignados porque faltan vacunas.
sugus™,@sugus37,2021-02-21T20:13:21.000Z,"Antes era #YoNoMeVacuno con la rusa y ahora todos quejándose por no vacunarse... 

Somos así.."
Sergio Villone,@sergioVillone,2021-02-21T18:28:32.000Z,Del #YoNoMeVacuno al #YoNoMeVacuné
Arquitecta egipcia,@Andycari7,2021-02-21T17:54:17.000Z,No pensaron q esto d las vacunas es una jugada del cabal? Nos hacen pensar q todos ellos se vacunaron entonces pensamos q la vacuna es buena y vamos al matadero! Psicologia inversa! #YoNoMeVacuno
@LordDarthVader,@LordDarthVader,2021-02-21T13:05:04.000Z,Como cada día. #YoNoMeVacuno
Cristina Villarroya López,@Crisvilla75,2021-02-21T07:43:57.000Z,"voy ayer a comprar y en la tienda una señora de mediana edad comenta ke ya la llamaron para vacunarse y dice ke no kiere ir y le digo yo tampoco kiero la vacuna.. aun hay esperanza... 
 #YoNoMeVacuno"
karin,@karinneumann18,2021-02-21T01:44:41.000Z,No supero a la gente #VacunaGate que se inoculó la “vacuna” #Sinopharm a escondidas cometiendo esa bajeza y robo a sus compatriotas y al #Peru .. deberán vivir en cuarentena toda su vida ... triste y vergonzoso!. A pesar de que #YoNoMeVacuno
JohnHenry,@JohnHenry1468,2021-02-21T00:27:34.000Z,"Insisto... esto de las #VacunasVip , es para que la gente común quiera pertenecer y vacunarse... 
Vasta de #VacunaGate 
#YoNoMeVacuno"
"4dr!n3´5 RhN3g471v6
®",@M31nformoCon7w7,2021-02-20T22:55:05.000Z,"LA VACUNA ES 1 NEGOCIO Q SE MANDARON
MENTIRAS Q CURA
LA VIBORATÁ MANEJA TODO Y LE CREEN AL KORRUPTO DL PTE
X FAVOR
NO SE DEJEN ENGAÑAR
#YoNoMeVacuno"
SomosMagallanesLibre #Magallanes #PuntaArenas,@SomosMGL,2021-02-20T22:38:57.000Z,"Increíble lo que sucede en Chile, jamás pensé que vería a las personas peleándose por recibir una inyección de estricnina... pero esta pasando. #YoNoMeVacuno #PuntaArenas #Porvenir #PuertoNatales #PuertoWilliams #Coyhaique #Aysen #Patagonia #Chile"
Cronopio,@Cortazar_k,2021-02-20T19:54:37.000Z,"Con la rapidez que pasaron del #Yonomevacuno al ""¿por qué no me vacunan?"""
Ariel,@arileo1976,2021-02-20T18:39:55.000Z,#VerguenzaNacional es también que con los mismos deditos que escribieron durante 100 días seguidos #YoNoMeVacuno hoy se quejan por el #VacunatorioVip y piden su dosis de vacuna Sputnik V... Al final la quieren globertos??? Que poco coherente la derecha argenta.
JorgeCzaplicki,@JCzapli,2021-02-20T16:03:32.000Z,"DE CUALQUIER MANERA , 
NO PIENSO VACUNARME 

ME ARRIESGO .

USTEDES ???

LEÍ QUE PUEDE LLEGAR A SER UNA MOVIDA PARA QUE TODO EL MUNDO DESEE VACUNARSE ....

PROPAGANDA...

#YoNoMeVacuno"
Fabian G!,@garellofito,2021-02-20T12:56:09.000Z,"""El virus no va a llegar""
""El virus no existe""
""Plandemia""
""La cuarentena no sirve""
""INFECTADURA""
""Abran todo""
""No queremos ser VALENZUELA""
""No a la vacuna rusa""
""Nos quieren meter un chip""
 ""#yonomevacuno""
""La vacuna Rusa no sirve""
""Que se la pongan los políticos primero"""
JohnHenry,@JohnHenry1468,2021-02-20T11:22:29.000Z,"El #VacunaGate es estrategia para que la gente común se quieran vacunar, y continuar con su plan...
 #YoNoMeVacuno"
@LordDarthVader,@LordDarthVader,2021-02-20T11:20:36.000Z,"Aunque Ginés, Vizzoti, Gollan, Kreplak, Gachi y Pachi y 2 pelotudos militantes se dieron la SputniK, #YoNoMeVacuno"
@LordDarthVader,@LordDarthVader,2021-02-20T11:16:42.000Z,Aunque tengamos minizzztedio #YoNoMeVacuno
@LordDarthVader,@LordDarthVader,2021-02-20T11:16:00.000Z,"Los últimos ""acontecimientos sanitarios"" sucedidos en este chiKero peroncho, refuerzan mi #YoNoMeVacuno"
