,Nombre de usuario,Usuario,Fecha,Texto,Sentimiento
24,LetradaCabreada,@LetradaCabreada,2021-03-03,"Estas cansad@ de tu vida, piensas que es una mierda, tenemos la mejor solución para irte de manera rápida, vacunate, el NOM te lo agradecerá.
#NoAlBozal
#Libertad
#NoalNOM
#YoNoMeVacuno",0
25,Campesino Wallmapu,@CWalmapu,2021-03-03,"La vacuna es una estafa. Si no inmuniza, ¿para qué sirve?

#YoNoMeVacuno",0
26,Creuat ن,@Creuat_Tabarnia,2021-03-03,"El covidiano indignadísimo porque los medios oficialistas dicen que se han vacunado las infantas y por lo visto según la edad todavía no les tocaba...
Y ellos pidiendo la vacuna a berridos ! !
Cada día más surrealista todo...
JAJAJAJAJAJAJAJAJA
#YoNoMeVacuno",0
27,thetrueisoutthere Parler: Oriasalways,@thetrueisoutth1,2021-03-03,Lo cierto es q la forma d pensar del rojo Sagasti es condenable x donde se le mire y también es verdad que todas las vacunas int. son EXPERIMENTALES.Por qué no apoyamos a la vacuna peruana!Todo el mundo se mecha x las otras y NADIE habla d la nuestra!Es inconcebible #YoNoMeVacuno,0
28,thetrueisoutthere Parler: Oriasalways,@thetrueisoutth1,2021-03-03,"Ojo, que se traigan las vacunas para los peruanos que se quieren vacunar, no para TODOS. #YoNoMeVacuno",0
29,Sergio,@tri33s,2021-03-03,Lo de que se vacunen las infantas en Dubai otra patraña propagandista. Y habrá gente que se lo creerá #CoronaCirco #YoNoMeVacuno  #Plandemia,0
30,Lord Vader,@mantisreligioso,2021-03-02,"Vamos que el #YoNoMeVacuno sigue más firme que nunca. El #VacunaGateArgentina fue una operata para que te apliques ese veneno, creyendo que la bosta política se vacunó.",0
31,LetradaCabreada,@LetradaCabreada,2021-03-02,"De todas las aberraciones que vivimos por el coronacirco, una de las peores es la falta de relación entre las personas, sobre todo las que no tenemos despiertos en nuestro entorno físico, nos aíslan, nos deshumanizan, nos matan.
#NoAlBozal
#Libertad
#NoalNOM
#YoNoMeVacuno",0
32,@LordDarthVader,@LordDarthVader,2021-03-02,Sin olvidarme que #YoNoMeVacuno,0
33,Azrael,@esp_Azrael,2021-03-01,#YoNoMeVacuno Porque esto es una #PlanDemia,0
34,Azrael,@esp_Azrael,2021-03-01,"Vivo en un País donde inyenta hacer una Dictadura, pero mí família aguanta firme porque #YoNoMeVacuno",0
35,Davy Jones,@_Jormundgander,2021-03-01,"Todos a denunciar coronavirus uy en appstore y playstore
#YoNoMeVacuno",0
36,Nosotros Somos las Noticias Ahora,@opinionescl,2021-03-01,"Maldito miserable gobierno titere de la OMS y ONU de nuevo van a poner cuarentenas que nadie cree por favor #ContigoCHV #Bienvenidos13 #BuenosDiasTVN #ProfeFlojo #GremioCuliao #PrensaBasura #YoNoMeVacuno #FalsaPandemia
#HuelgaGeneral5DeMarzo #ContigoCHV #Bienvenidos13",0
37,Carlykiss,@YolandaMartnez9,2021-03-01,"Estan planteandose un carnet de vacunacion para toda la Union Europea.
Quienes no queramos vacunarnos, por miedo a este experimento: que hacemos?
Se estan pasando todos los DDHH, por el forro.
#yonomevacuno
#somoslaresistencia",0
38,Nosotros Somos las Noticias Ahora,@opinionescl,2021-03-01,"Destacable los niños que volvieron a clases con sus padres que respetan las normas estupidas, pero en fin bien por el Pais bien por los profes NO flojos 
#ProfeFlojo #GremioCuliao #PrensaBasura #YoNoMeVacuno #FalsaPandemia #ProfesoresConHambre 
#HuelgaGeneral5DeMarzo #ContigoCHV",0
39,Nosotros Somos las Noticias Ahora,@opinionescl,2021-03-01,"Profes flojos en 5 días le darán como combo que los contagios que los contagios que los contagios... que el paro que el paro  
#ProfeFlojo #GremioCuliao #PrensaBasura #YoNoMeVacuno #FalsaPandemia #ProfesoresConHambre 
#HuelgaGeneral5DeMarzo #ContigoCHV #Bienvenidos13",0
40,Somos La Resistencia #SLR,@We_T_Resistance,2021-03-01,"Sabéis q en algunas residencias están diciendo a los ancianos q si se vacunan podrán ver a sus nietos?

Pues eso, chantaje y mentiras

#SLR #COVID19 #Plandemia #YoNoMeVacuno",0
41,@LordDarthVader,@LordDarthVader,2021-03-01,El #VacunaGate es una opereta más de los perversos hdp que nos gobiernan. #YoNoMeVacuno,0
42,@LordDarthVader,@LordDarthVader,2021-03-01,Claro que se inicia Marzo sin olvidar el #YoNoMeVacuno,0
43,@LordDarthVader,@LordDarthVader,2021-03-01,Cerramos febrero con el #YoNoMeVacuno,0
44,Bibiana.MDQ #PobreMiArgentina,@BibianaViana,2021-02-28,"A pedido de un oyente x DM
voy a aclarar algo:
Mi participación #27F fue exclusivamente en contra #ElPeorGobiernoDeLaHistoria 
#QueSeVayanTodos 
#CFPresa
Nada tengo que ver con el tema Vacunas que repito: Ojalá se las hayan dado todos los que figuran.
#YoNoMeVacuno
#DonoMiDosis",0
45,@LordDarthVader,@LordDarthVader,2021-02-28,"Siendo Domingo, el #YoNoMeVacuno no se toma descanso.",0
46,𝐆𝐮𝐚𝐝𝐚𝐥𝐮𝐩𝐞 𝐂𝐨𝐬𝐭𝐚,@GuadalupeCosta,2021-02-28,"Diciembre: “Experimenten entre ustedes, #YoNOmevacuno “

Febrero: “Chorros, me robaron mi vacuna #VacunadosVIP vamos a marchar”",0
47,@LordDarthVader,@LordDarthVader,2021-02-28,"VaKunados Vip. Esperamos que el pinchazo, sea cual sea su procedencia, haga su trabajo de inmunizar a la Nación de parásitos como ustedes. #YoNoMeVacuno, con una basura gestionada por Isabelito epoK y su banda.",0
48,EL PUPA,@EZE_PUPILLO,2021-02-28,"Che no era que estaban en contra de la vacuna ? "" #YoNoMeVacuno ""  ",0
49,EL PELUSA 10,@MotonetaP,2021-02-27,"Cuántos habrán promulgado el #YoNoMeVacuno y ahora los ves reclamando por las vacunas , al final? Delirantes",0
50,DANNY BORDER,@DannyBorderok,2021-02-27,"Hay algo que no entiendo, los que militan el Hashtag #VacunatorioVip no son los mismos que militaban el #YoNoMeVacuno ???? y además, el de #VacunatorioVip es por el de Ginés o por el de Larreta? esta gente me genera muchas confusiones.",0
51,feminati,@natikillah_,2021-02-27,"Diciembre 
 movilización en contra de la vacuna/infectadura/vacuna chip comunista/que se vacunen los k/ #yonomevacuno
Febrero 
 movilización por el acceso equitativo a la vacuna/queremos vacunarnos todos 
  ",0
52,Leopoldo Brandt M.,@LeopoldoBrandtM,2021-02-27,"Si la idea de 
@A3Noticias
 en su noticiero de hoy #27F enseñando a los sanitarios vacunados era motivar la vacunación, se notó que les escribieron lo que tenían que decir y lo que crearon fue muchas más dudas
#VirusChino #COVID19 
#YoNoMeVacuno #Plandemia",0
53,Cynthia Cuesta.,@AngelAnswer,2021-02-27,#YoNoMeVacuno Ni mi madre de 80 que goza de perfecta salud! Estamos conscientes de que la vacuna mata! Abran los ojos! #BastaYa pandemia del demonio!,0
54,ARGENTINA HARTA(MARINA),@ArgentinaHarta,2021-02-27,"YO PREGUNTO..TODAVIA NADIE SE DIÓ CUENTA QE TODO ESTE CIRCO DEL VACUNATORIO VIP,TIENE UN OBJETIVO?LOGRAR QE NADIE DESCONFIE LO QE TIENE LA ""PSEUDO VACUNA""?EN SERIO ESTAN YENDO EN MANADAS A VACUNARSE?OK..LOS HDRMP,LOGRARON SU OBJETIVO!!
#YoNoMeVacuno YA SE QE NO VOY A PODER VIAJAR",0
55,@LordDarthVader,@LordDarthVader,2021-02-27,Sábado y #YoNoMeVacuno,0
56,Lord Vader,@mantisreligioso,2021-02-27,Los Sábados también #YoNoMeVacuno,0
57,@LordDarthVader,@LordDarthVader,2021-02-27,No vamos a cerrar este viernes sin nuestro #YoNoMeVacuno,0
58,Javi,@Javibqbr,2021-02-26,"Fanatismo, ignorancia y superstición. Pero por supuesto, con la inquisición chitón
#DictaduraSanitaria 
#YoNoMeVacuno 
#Plandemia 
#CovidScam",0
59,LUCRECIA BORGIA DE VALLADOLID,@pucelamaybis,2021-02-26,"En situaciones de límite , las llamadas vacunas de emergencia se aprueban por estadística beneficiosa . Si de covid mueren 100 y con la vacuna mueren 75, compensa y se aprueba. Es una emergencia, pero se está planteando como la solución definitiva. 
#yonomevacuno",0
60,DEBBIE D,@DEBB1D,2021-02-26,"AVISO : me llega desde una fuente solvente que cuando os vayan a poner la vacuna que hagáis una foto con vuestro móvil  de todos los datos de vacuna que os pinchan: lote, numeritos y todo lo que os están metiendo al cuerpo. Más vale prevenir que curar #YoMeVacuno #YoNoMeVacuno",0
61,Santiago Campiglia,@Santi_Campiglia,2021-02-26,"Cuanto Circo con la llegadas de las #vacunasdelInfierno....#yonomevacuno y hago derecho como hombre libre.. Constitucionalmente nadie me puede obligar, tampoco puedo tener consecuencias que me compliquen el desempeño de mi vida por sentirme Libre de elegir no vacunarme",0
62,@LordDarthVader,@LordDarthVader,2021-02-26,Importante es sostener que #YoNoMeVacuno y mis hijas tampoco.,0
63,Lord Vader,@mantisreligioso,2021-02-26,Buena oportunidad para recordarles que #YoNoMeVacuno,0
64,AVE FÉNIX,@Alican36Manuel,2021-02-25,Acabo de enterarme que se han reunido virtualmente los mandatarios europeos satanistas para planificar el futuro pasaporte o certificado de vacunación covid para poder viajar. Y lo grito ahora mas fuerte: #YONOMEVACUNO,0
65,@EsosTiemposOld,@EsosTiemposOld,2021-02-25,"#YoNoMeVacuno Quien de Ustedes Aseguran que la Casta Politiquera se Pondra la Vacunita ..? Quien Te Dice a Ti.. si en el Frasquito es el Antidoto que Ellos Promocionan..? Si tu Trabajas, Haces Deporte, Sonries, Tienes una Actividad Sexual  Perfecta ! Para q la Vacuna..?",0
66,@EsosTiemposOld,@EsosTiemposOld,2021-02-25,#YoNoMeVacuno  Las Consecuencias las Verán al Pasar los Años... Ellos Nunca se Vacunaron. Solo les Interesa en Ganado.,0
67,C x r x m e l x .,@CarmeloGandiniT,2021-02-25,"Canosa -tomandosé un shot de ClO2-, Feinmann, Majul, Viale, entre tantxs otrxs, hace días nomás eran el ""team anti-vacuna"", el ""#YoNoMeVacuno"", etc. y hoy están horrorizades por que hay un ""supuesto"" (por ellxs mismxs) orden VIP de vacunación...
Chiques, seamos serixs!",0
68,LetradaCabreada,@LetradaCabreada,2021-02-25,"Nos han robado un año de nuestra vida, nos alxifian con bozales, han inducido al suicidio, han matado a miles de personas, nos han llevado a la ruina económica, nos han esclavizado sin ningún derecho, de verdad queréis vivir así?
#NoAlBozal
#Libertad
#NoalNOM
#YoNoMeVacuno",0
69,@LordDarthVader,@LordDarthVader,2021-02-25,Jueves y #YoNoMeVacuno,0
70,Beatriz Lema,@beatriz11197552,2021-02-25,Te dan la supuesta enfermedad y también te piden lo no tenes por una inoculación que dura 6 meses de inmunidad y sobre todo no sabes los efectos adversos que puede traer sumado a la entrega de soberanía con un contrato leonino y deslindante . #yonomevacuno,0
71,DanielaFuentes21,@piensadaniloca,2021-02-25,"Estoy sorprendida para a
mal por la cantidad de personas vacunadas en Chile. Nadie cuestiona que toda forma de tratamiento (hidroxicloroquina, ivermectina, vitamina D,etc) que no fuera ""la vacuna"" fueron omitidas en TV. De esto, no muere ni el 1%. No hay necesidad #YoNoMeVacuno",0
72,@LordDarthVader,@LordDarthVader,2021-02-25,"Qué Putin, los chinos y Oxford descuenten unas 10 dosis aproximadamente, poque #YoNoMeVacuno y mi familia tampoco.",0
73,San,@sandivina,2021-02-24,"Porqué no dan datos de las personas que NO QUIEREN VACUNARSE?
Cómo puede ser que en Alemania los sanitarios en su inmensa mayoría rechacen hacerlo con Astrazeneca y deciden vacunar a otros?
Los sanitarios son imbeciles?
#YoNoMeVacuno",0
74,Bautista Péntecost XY,@BautiPentecost,2021-02-24,"Si el virus no fue aislado ni secuenciado ni hay autopsias que demuestren dichas muertes..
Por qué, para qué y contra qué te quieren vacunar ??

Me lo podes explicar ??
#Plandemia 
#Infectadura 
#Controlavirus 
#YoNoMeVacuno 
@TanoFerro_arg",0
75,Sergio,@tri33s,2021-02-23,"Cómo era la proclama del feminismo auspiciado por filántropos y encarnado en tipas como 
@IreneMontero
 ""En mi cuerpo mando yo"" pues eso, mi cuerpo no se vacuna. #YoNoMeVacuno #Agenda2030No #ALERTA #DerechosHumanos #NurembergLeRetour #FeijooDictador #ElPeorGobiernoDeLaHistoria",0
76,jvanpiccs,@joanpiccs,2021-02-23,"- La vacuna es un veneno! Que se vacunen los políticos!#yonomevacuno

*Los politicos se vacunan para dar el ejemplo, mitigar el miedo y la desinformación*
 
- Basta de vacunar a los políticos! Vacunen a los esenciales y a los abuelos!",0
77,Alberto,@Cartagenero72,2021-02-23,"Dimisión del gobierno 
@populares
 en la  Junta de Galicia!!!
#YoNoMeVacuno",0
78,Alberto,@Cartagenero72,2021-02-23,"Obligatoriedad de inocularse un caldo en Galicia bajo multa. El 
@populares
 a cara descubierta. Agenda 2030. La vacunación obligatoria es contraria a un montón de leyes y tratados.
Hay que denunciar a la Xunta. No a la vacunación obligatoria. #YoNoMeVacuno",0
79,Endy Owy,@EndyOwy,2021-02-23,"A LOS QUE NO NOS VACUNEMOS.
¿NOS MANDARAN A VIVIR A ALGÚN GUETO???? 
#YoNoMeVacuno",0
80,Ged,@CarlosUrda77,2021-02-23,"Que tu cuerpo sea templo del Espíritu Santo.

#YoNoMeVacuno",0
81,@caidodelcatre,@caidodelcatre,2021-02-23,"Pasaron más rápido del #YoNoMeVacuno al #QuieroMiVacuna que del #NoVuelvenMas al #VamosAvolver ...
Dato, no opinión...

#HabraConsecuencias",0
82,GaBbyNnia,@GaByNnia,2021-02-23,"Convenio sobre Derechos Humanos y Biomedicina 
CAP II Art. 5
Una intervención en el ámbito de la sanidad sólo podrá efectuarse después de que la persona afectada haya dado su libre e informado consentimiento.
#Covid19 #VacunaCOVID19 #YoNoMeVacuno",0
83,@LordDarthVader,@LordDarthVader,2021-02-23,Los marte también #YoNoMeVacuno,0
84,Elizabeth Márquez,@DocEliMarquez,2021-02-23,"Aviso #YoNoMeVacuno porq las vacunas son experimentales. Llama la atención q ningún medio se percate de este notable hecho y hablen como si estuviéramos frente a una q haya superado las etapas. Encima ninguna supera el 95% mínimo de eficacia 
@veronicaressia",0
85,Hernandarias,@HernandoAriasde,2021-02-23,En Uruguay ya existe el hashtag #yonomevacuno? o lo van a inventar cuando vean que de verdad ya llegaron las vacunas,0
86,Clau Peroni,@PeroniMariaC,2021-02-23,"No era q #YoNoMeVacuno estos #MacristasCinicos
Ahora, Si quieren las Vscunas q ENVENENAN E INFECTAN? 
QUE GENTE DE MIER...A",0
87,"Patri
ta
JS",@AleMalagrin0,2021-02-23,"ESTE MARTES
UN AVIÓN ARGENTINO PARTE EN BUSCA DE UN MILLÓN DE DOSIS DE V∆CUN∆S CHIN∆$ 
Ecucharon bien? CHIN∆$
SIN0PH∆RM

Pretenden inocular a 500MlL
 que requieren de 2 aplicaciones.

#YoNoMeVacuno",0
88,Maximo_Aaron,@jashijubei,2021-02-23,"A que a mover banderitas y cantar el himno? jajaja. Argentina ya es de China, eso no importa, lo que importa es que se robaron Vacunas experimentales y se las ""aplicaron"". Donde quedo el #YoNoMeVacuno #27FTodosALasCalles",0
89,Lic. Marcelo,@Marcelo17283,2021-02-23,"Hastags sugeribles para zurdos:
#SonPocasVacunas
#QueremosLasGotitasDeMaduro
#SomosLosUltimos
#UsenLosHercules
#LasTraenDeMadrugadaPorqueAlgoEsconden
#YoNoMeVacuno
#Ñañañañañaña",0
90,Porteñita,@bcastil32667233,2021-02-22,"Qué honorable se habrá puesto la vacuna que me correspondía ?
#YoNoMeVacuno 
#LaPolemicaDelDiaMG",0
91,Arturo Mancilla,@arturomancilla,2021-02-22,"#YoNoMeVacuno. No hay soporte científico sobre la eficacia e inocuidad de la vacuna.
Es más, no creo que todos esos muertos sean de covid.",0
92,@LordDarthVader,@LordDarthVader,2021-02-22,"Me parece a mi, o se les está cayendo la #INFECTADURA?!. Muchos se están dando cuenta de que este cirKOVID nos es más que una farsa, una #Plandemia. Igual reitero que #YoNoMeVacuno. Apando la tv se termina el 
. 
#ApaguenLaTV.",0
93,@LordDarthVader,@LordDarthVader,2021-02-22,Comenzamos el día y #YoNoMeVacuno,0
94,@LordDarthVader,@LordDarthVader,2021-02-22,"Desde este paraíso, recuerdo que: #YoNoMeVacuno",0
95,ana marino,@anamari58237179,2021-02-22,"#YoNoMeVacuno #OperetaMonto recuerden q la nueva  ministra no quiere ni q hables ni q te rias con el projimo, esta sra nos querra encerrar pronto",0
96,ℂᴬℝᴺ𝕀ᴿ𝕌ᴸ𝕆™,@carnichoto,2021-02-22,"Hace un mes estaban todos tuiteando #YoNoMeVacuno. Ahora lloran vacuna para la tía Polola. ¿Por qué no se callan la boca a tiempo, pedazos de pelotudos?",0
97,Riki72,@Rikipincha,2021-02-22,"la jugada del gobierno es tragicamente buena...porque lograron que TODOS los opositores militen LAS VACUNAS! cayeron en su trampa...los anularon....Mi dosis se la regalo al que quiera, porque #YoNoMeVacuno ni en pedo con ninguna vacuna",0
98,perdigon perdido,@perdigonperdido,2021-02-21,"Como mucha gente no quería el experimento de arn mensajero a pesar del descomunal marketing.

Se  hace ahora psicología a la inversa. Todos se muestran desesperados y te la dibujan deseada.

Que se metan en el ogt  esa basura. 

No se dejen engañar.

#YoNoMeVacuno",0
99,Ann,@Beatann,2021-02-21,Acá no fue tendencia el #YoNoMeVacuno? y ahora están todos indignados porque faltan vacunas.,0
100,sugus™,@sugus37,2021-02-21,"Antes era #YoNoMeVacuno con la rusa y ahora todos quejándose por no vacunarse... 

Somos así..",0
101,Sergio Villone,@sergioVillone,2021-02-21,Del #YoNoMeVacuno al #YoNoMeVacuné,0
102,Arquitecta egipcia,@Andycari7,2021-02-21,No pensaron q esto d las vacunas es una jugada del cabal? Nos hacen pensar q todos ellos se vacunaron entonces pensamos q la vacuna es buena y vamos al matadero! Psicologia inversa! #YoNoMeVacuno,0
103,@LordDarthVader,@LordDarthVader,2021-02-21,Como cada día. #YoNoMeVacuno,0
104,Cristina Villarroya López,@Crisvilla75,2021-02-21,"voy ayer a comprar y en la tienda una señora de mediana edad comenta ke ya la llamaron para vacunarse y dice ke no kiere ir y le digo yo tampoco kiero la vacuna.. aun hay esperanza... 
 #YoNoMeVacuno",0
105,karin,@karinneumann18,2021-02-21,No supero a la gente #VacunaGate que se inoculó la “vacuna” #Sinopharm a escondidas cometiendo esa bajeza y robo a sus compatriotas y al #Peru .. deberán vivir en cuarentena toda su vida ... triste y vergonzoso!. A pesar de que #YoNoMeVacuno,0
106,JohnHenry,@JohnHenry1468,2021-02-21,"Insisto... esto de las #VacunasVip , es para que la gente común quiera pertenecer y vacunarse... 
Vasta de #VacunaGate 
#YoNoMeVacuno",0
107,"4dr!n3´5 RhN3g471v6
®",@M31nformoCon7w7,2021-02-20,"LA VACUNA ES 1 NEGOCIO Q SE MANDARON
MENTIRAS Q CURA
LA VIBORATÁ MANEJA TODO Y LE CREEN AL KORRUPTO DL PTE
X FAVOR
NO SE DEJEN ENGAÑAR
#YoNoMeVacuno",0
108,SomosMagallanesLibre #Magallanes #PuntaArenas,@SomosMGL,2021-02-20,"Increíble lo que sucede en Chile, jamás pensé que vería a las personas peleándose por recibir una inyección de estricnina... pero esta pasando. #YoNoMeVacuno #PuntaArenas #Porvenir #PuertoNatales #PuertoWilliams #Coyhaique #Aysen #Patagonia #Chile",0
109,Cronopio,@Cortazar_k,2021-02-20,"Con la rapidez que pasaron del #Yonomevacuno al ""¿por qué no me vacunan?""",0
110,Ariel,@arileo1976,2021-02-20,#VerguenzaNacional es también que con los mismos deditos que escribieron durante 100 días seguidos #YoNoMeVacuno hoy se quejan por el #VacunatorioVip y piden su dosis de vacuna Sputnik V... Al final la quieren globertos??? Que poco coherente la derecha argenta.,0
111,JorgeCzaplicki,@JCzapli,2021-02-20,"DE CUALQUIER MANERA , 
NO PIENSO VACUNARME 

ME ARRIESGO .

USTEDES ???

LEÍ QUE PUEDE LLEGAR A SER UNA MOVIDA PARA QUE TODO EL MUNDO DESEE VACUNARSE ....

PROPAGANDA...

#YoNoMeVacuno",0
112,Fabian G!,@garellofito,2021-02-20,"""El virus no va a llegar""
""El virus no existe""
""Plandemia""
""La cuarentena no sirve""
""INFECTADURA""
""Abran todo""
""No queremos ser VALENZUELA""
""No a la vacuna rusa""
""Nos quieren meter un chip""
 ""#yonomevacuno""
""La vacuna Rusa no sirve""
""Que se la pongan los políticos primero""",0
113,JohnHenry,@JohnHenry1468,2021-02-20,"El #VacunaGate es estrategia para que la gente común se quieran vacunar, y continuar con su plan...
 #YoNoMeVacuno",0
114,@LordDarthVader,@LordDarthVader,2021-02-20,"Aunque Ginés, Vizzoti, Gollan, Kreplak, Gachi y Pachi y 2 pelotudos militantes se dieron la SputniK, #YoNoMeVacuno",0
115,@LordDarthVader,@LordDarthVader,2021-02-20,Aunque tengamos minizzztedio #YoNoMeVacuno,0
116,@LordDarthVader,@LordDarthVader,2021-02-20,"Los últimos ""acontecimientos sanitarios"" sucedidos en este chiKero peroncho, refuerzan mi #YoNoMeVacuno",0
117,Joan,@JoanSilva96,2021-02-20,"Hubo una época donde el macrismo hizo estos 2 hashtags
#VacunateVosAlberto
#YoNoMeVacuno
Anda y lee las cosas que ponían los ahora moralistas de la vacuna.",0
118,Bautista Péntecost XY,@BautiPentecost,2021-02-20,"#YoNoMeVacuno 
Vacunen primero a todos los gobernantes ",0
119,KBZACONAGUA..!!,@crfo_32,2021-02-20,"La misma #gente que decía con la #VacunasCOVID19 nos mataran nos seguirán con 5g, la misma gente que decía #YoNoMeVacuno ahora hueiando porque vacunan a Raquel argandoña y a estudiantes de #carabineros la gente tiene tiempo va a hueiar por todo",0
120,Ruth j@@,Ruth j@@,2021-02-19,"No me quiero vacunar 
#YoNoMeVacuno",0
121,Shany Mena,@locachiri,2021-02-19,"Si es por prioridades vacunar  personas por trabajos esenciales, supongo que Senadores y Diputados seran los últimos 
#YoNoMeVacuno #VacunaGate #latvmiente",0
122,Tincho62,@Tincho622,2021-02-19,"Por mi que se metan la vacuna bien en el 0r70, #yoNomeVacuno",0
123,Carol,@coralinesaez,2021-02-19,"El ministro dice que “no se salten la fila” fueron ellos quienes cambiaron el plan de vacunación, pero claro, una vez más le echan la culpa a la gente #YoNoMeVacuno #plandevacunacion",0
124,@LordDarthVader,@LordDarthVader,2021-02-19,La constante de cada día es #YoNoMeVacuno,0
125,San,@sandivina,2021-02-19,"Alguien ha observado como cambia la imagen, la grabación e incluso lo bien que se ve la vacuna cuando pinchan a una persona de la calle a cuando se vacuna a algún conocido, polñitico, etc?
#YoNoMeVacuno",0
