,Nombre de usuario,Usuario,Fecha,Texto,Sentimiento
21,Maya,@mayakhamis,2021-03-06,"La raja el vacunatorio móvil. Bien ahí.
#YoMeVacuno",1
22,Rodrigo,@simonmazzet,2021-03-06,Karla Rubilar habla como retando #YoMeVacuno,1
23,Vicho,@GArrendatario,2021-03-06,Callen a la Rubilar. #YoMeVacuno,1
24,Rafael Vignoli,@VigRafa,2021-03-06,"En algún momento no muy lejano en nuestro país, los muertos por COVID-19 serán fundamentalmente los no vacunados. ¿Van a hacerse responsables de esas muertes los que hoy pregonan la no vacunación? #YoMeVacuno #UruguaySeVacuna",1
25,GonzaloB,@Gonza2905,2021-03-06,"Bueno, ya estoy agendado para el miércoles 10, hora 10:00 para la primera dosis. El 7 de abril la segunda. Listo.
#YoMeVacuno #UruguaySeVacuna",1
26,Daniela,@pasame_lasal,2021-03-06,"No te queres vacunar? Bárbaro, no te vacunes. Supongo que tampoco vas a querer viajar... 
 #YoMeVacuno",1
27,Ruby Chagüi,@Rubychagui,2021-03-06,"Hace un año se conoció el primer caso de Covid-19 en el país, envío mi abrazo solidario a las familias de los 60.300 colombianos que ya no están con nosotros. Es necesario seguir garantizando el Plan de Vacunación y continuar respetando las medidas de bioseguridad. #YoMeVacuno",1
28,Sr. Di Mamami Condori,@MiguelZuu,2021-03-06,Yo si me vacunaré #YoMeVacuno,1
29,Eduardo,@Eduardo03199510,2021-03-06,"#YoMeVacuno
Martes primera dosis.
Me siento afortunado, de los primeros en el mundo entero.
Gracias Uruguay, a su gente y a sus gobernantes.",1
30,antto || inactiva,@lFDDAENG,2021-03-06,"cachan que hoy era mi segunda dosis de la vacuna del covid y donde ando de vacaciones no lo hacen los fin de semana, así con su #YoMeVacuno que se puede realizar en cualquier lado 
@ministeriosalud",1
31,CeciliaFuentesIcarte,@relatoscomunes,2021-03-06,"Kate Pierson publicó que se vacunó así que solo me queda el reporte #YoMeVacuno de 
@remhq
 para conmemorar los 30 años del Out Of Time como corresponde",1
32,elioedel Gibert Quintana,@ElioedelQ,2021-03-06,"Seguimos adelante en la lucha para acabar con la Covid 19 nuestra esperanza es la vacuna
#YoMeVacuno #QuedateEnCasa",1
33,Angela,@anyi_vb,2021-03-06,"¡Vacunada!
#YoMeVacuno #AntiCabestrismo #VeteArCarajoCovi",1
34,Laaus,@Laau_MS,2021-03-06,"Mucho ánimo a todos los que os habéis puesto estas semanas la 1ª dosis de la vacuna #AstraZeneca contra el #SARSCoV2, y a los que os la ponen pronto también.

24H de síntomas y a volar! Todos a vacunarse!! 
#YoMeVacuno",1
35,One World no walls,@Pichulito,2021-03-06,Yo tan vacunado y vos tan indefensa. #YoMeVacuno,1
36,FERNWEH,@TimmyBurch2,2021-03-06,"#YoMeVacuno
Todos los otros hastags son tribuneo. El partido se juega en esto, no en otra boludeces, como saber a quién votaron.",1
37,Abel Gilvonio,@abelgilvonio,2021-03-06,"Frente a toda esa banda mafiosa y delincuencial que quiere bajarse al gobierno de transición sólo queda cerrar filas compañeros

Defender al Presidente 
@FSagasti
 

Y seguir con la campaña #YoMeVacuno para salvar la vida de millones de peruanos

Viva el prueblo peruano ",1
38,Claudia Truccelli,@CTruccelli,2021-03-06,El martes voy por la sinovac. #YoMeVacuno,1
39,Jime,@jimesaret,2021-03-06,"Buen día.
Ya fueron a vacunarse?

#YoMeVacuno #queremoschuponear",1
40,Vane,@vanesolaa,2021-03-06,"2a dosis de la vacuna del Covid puesta. Efectos secundarios: pequeña sensación de febrícula y dolor articular. Mejor que estar intubada? Sin ninguna duda. #YoMeVacuno #promociondelasalud 
@EnfrmraSaturada",1
41,Jennie Goslino Biassini,@jemago62,2021-03-06,Soy de izquierda y me vacuno #YoMeVacuno,1
42,Diego Costemalle,@CostemalleDiego,2021-03-06,"En escala de 1 a 10: en quien confiarias?
A) Un cientifico
B) Un politico.
C) Pit Cnt.
D)Un terraplanista.
E) Dr.Salle.
#YoMeVacuno",1
43,Piece of Cake uy,@Pieceof48057522,2021-03-06,"Qué pasa que siguen quedando vacunas? Tanto apuro, tanta queja y siguen quedando miles de dosis? #YoMeVacuno #UruguaySeVacuna #NosCuidamosEntreTodos",1
44,Silvia Massi,@SilviaMassi1,2021-03-06,"Agendada, el martes me vacuno #YoMeVacuno",1
45,Dani,@Guante_De_Goma,2021-03-06,"Ya me vacuné, ahora estoy esperando segunda dosis! #YoMeVacuno",1
46,mariela.n,@marielanavasc,2021-03-06,Hoy me agendé. Me vacuno el martes #YoMeVacuno,1
47,Alejandro,@zapatatataa,2021-03-06,DEBERIA ESTAR EBRIO VIENDO YO SOY #YoMeVacuno,1
48,Gonzalo Na_Cabro,@Na_Cabro,2021-03-06,"Si lee los siguientes números con ritmo usted se tiene que vacunar
03 03 456
#YoMeVacuno 
 Pd:me lo robé de FB pero perdí el enlace. Sorry",1
49,Sebastián Marroni,@sebamarroni89,2021-03-06,"El inepto de  
@pugliainvita
 está diciendo que los de izquierda no nos queremos vacunar.
Todo vas a politizar?
#YoMeVacuno",1
50,Silvina,@SilvinaTeacher,2021-03-06,"Che... #YoParaMi que si los que les toca vacunarse no lo hacen, en una semana cae la oferta y se apunta a otro grupo no? Que vamos a esperar? A que se convenzan?  
#YoMeVacuno",1
51,Ro Ocampo,@roxaocampo,2021-03-06,"Ya agendada para la vacuna
#YoMeVacuno",1
52,Δnd3r RyeS,@Bandr3s,2021-03-06,"La gente ya no quiere tener un título Universitario, la gente quiere tener el carnet de la vacunación Covid #YoMeVacuno",1
53,Fernando Panizza,@FernandoPanizza,2021-03-06,"Agendado para el martes 9 en la mañana. 
#YoMeVacuno",1
54,Sebastian Briones,@sebabriones,2021-03-06,21% de la población ya tiene su primera dosis #YoMeVacuno,1
55,Silvia,@Silvia68375851,2021-03-06,"#YoMeVacuno hijo con primera dosis(personal esencial),esposo agendado para el 10/03/2021,mi nuera y yo esperando nuestra franja,desicion tomada desde el momento 1en familia..por mi,por ti,por todos 
@DrDanielSalinas",1
56,Marita del mar Botero C,@Boteromarita,2021-03-06,"Porque 
@NoticiasCaracol
 habla de la pandemia en pasado?! Las muertes continúan, el personal de la salud sigue agotado, el gobierno ha sido insuficiente en su gestión!.... aún con la vacuna los vacíos siguen mostrando porque somos 3 mundo. #YoMeVacuno #Pandemia",1
57,Enrique Baliño,@ebalino,2021-03-06,"Gente, tenemos un enemigo común: se llama Covid19. Vamos a vacunarnos, por nosotros, por nuestros amigos , por nuestras familias, por todos los uruguayos.
 A ponerse la celeste y ganarle!
Whatsapp 098 999 999
Vamoooo
#YoMeVacuno",1
58,Consuelo,@con_j,2021-03-06,"Me molesta más la gente que no quiere vacunarse porque son inconscientes, egoístas e ignorantes, que los que se saltan la fila para vacunarse. Mientras antes se vacunen todos, mejor. #covid19 #vacunas #VacunasCOVID19 #YoMeVacuno",1
59,Jantoka,@jantoka,2021-03-06,"Es Obligación del gobierno proveer la vacuna, no es ningún esfuerzo sobre humano ni un favor, es su trabajo. Y no es ningún regalo, es pagada y con nuestro dinero por cierto esa informacion  #Morena la bloqueo por 5 años #YoMeVacuno #Toluca",1
60,Fresia,@fresiasandra,2021-03-06,#YoMeVacuno Segunda dosis ok. Gracias ,1
61,"Silmora,",@SilmoraUy,2021-03-06,"#YoMeVacuno ...
(cuando me toque)",1
62,Pablo Martínez.,@Pablouruguay,2021-03-05,Lunes en la tarde me vacuno #YoMeVacuno,1
63,SalvadorSchwartzmann,@S_Schwartzmann,2021-03-05,La campaña de vacunación masiva contra el coronavirus alcanzó las 4.031.812 vacunados. Sigamos cuidándonos y cuando sea tu turno #YoMeVacuno,1
64,Ceci,@Ceciiii83,2021-03-05,"Feliz con mi segunda dosis de la vacuna.
#YoMeVacuno #Sinovac #coronavac solo me duele un poco el brazo pero no más que con la de la influenza.",1
65,Alfredo Martínez,@FredoalMartinez,2021-03-05,"¿Se imaginan que hermoso sería en poco tiempo poder abrazarnos y festejarlo?
Festejar haberlo logrado, ser de los primeros países del mundo en lograr vacunar a la mayor parte de su población.
#UruguaySeVacuna
#YoMeVacuno",1
66,Una chica muy normal,@Lumosvevi,2021-03-05,"#Astrazeneca corre por mis venas! 
 #YoMeVacuno",1
67,Rolando Manuel,@Rolando_Manuel,2021-03-05,"#UruguaySeVacuna #YoMeVacuno cuando me toque, porque quiere empezar a ver el final de este horror que ha significado esta pandemia. Las vacunas no son el fin pero si el comienzo para alcanzar el final de tanta muerte y parálisis social",1
68,gracielacassina,@gracecassina,2021-03-05,El lunes #YoMeVacuno,1
69,GobiernoAlerta,@GobiernoAlerta,2021-03-05,"Bio actualizada de 
@desdelamoncloa
: ""Bienvenidos a la cuenta oficial en Twitter del Gobierno de #España 
 #YoMeVacuno""",1
70,Pia,@piastopia,2021-03-05,"contentísima de que mis papás ya tienen hora para vacunarse 
 #YoMeVacuno #UruguaySeVacuna",1
71,Mariana Margulis,@MarianaMarguli1,2021-03-05,"#YoMeVacuno es tendencia y me llena de orgullo que los que tenemos entre 55 y 59 años demos el ejemplo 
@DrDanielSalinas",1
72,Tincho Tejera,@tincho_tejera,2021-03-05,"Era obvio que varios de los pelotudos que se quejaron por la demora de las vacunas, cuando llegaran no iban a ir, de manual solo para romper los huevos

#YoMeVacuno cuando me toque al toque",1
73,Paciel Daniela,@PacielDaniela,2021-03-05,"#COVID19 no alcanz acon decir querías vacunas, acá están.
Se quiere  lograr que la gente se vacune, pues campaña publicitaria a full.
Referentes que expliquen porqué creen en lo que creen y se vacunan.
#YoMeVacuno 
#VACUNATEporvos
#VACUNATEporTodos",1
74,@pizarraenblanco,@pizarraenblanco,2021-03-05,"conocen el cuento del quinto piso? 
Bueno...  parece que así somos los orientales... IN CRE I BLE!  #noscuidamosentretodos #NosCuidamosJuntos  #UruguaySeVacuna #YoMeVacuno",1
75,Gaston Nicolas Castillo,@GCastillo_uy,2021-03-05,"Hoy vacunarse es el mejor gesto hacia el/la otro/a que podemos hacer.

Cuando nos corresponda por segmento de riesgo y por recomendación médica lo haremos.

Nos toca ser responsables y cuidarnos entre todos/as. 

¡Vamos que le ganamos! 

#YoMeVacuno",1
76,Cataldito,@aguscata,2021-03-05,"La baja vacunación muestra, entre otras cosas, que la grieta política que quieren instaurar llega hasta la vacuna. Todo quien politice sobre la vacuna 
 bloqueo. #YoMeVacuno",1
77,L a m a r c e w a l l e s,@MarcelawallesL,2021-03-05,"Vacuna 
 #YoMeVacuno",1
78,Luciano Paiva C.,@lucianopaivac,2021-03-05,"Tengo a mi madre en tratamiento por cáncer, de 62 años y no logramos ir al día de la vacunación, que fue el día miércoles pasado, como lo puedo hacer para que tenga su vacuna? Les agradezco mucho la ayuda!!  #Antofagasta #YoMeVacuno #COVID19",1
79,GobiernoAlerta,@GobiernoAlerta,2021-03-05,"Bio actualizada de 
@saludpublicaes
: ""Cuenta oficial del Gobierno de España con información de interés para la ciudadanía sobre cuestiones de Salud Pública. #YoMeVacuno""",1
80,BrendaAlvarez,@alvabren,2021-03-05,"Mi papá que no quería vacunarse por tanto fake news acaba de registrarse en 
@EsSaludPeru
. Esto me emociona y me deja más tranquila. Sigamos promoviendo la vacunación en personas adultas mayores. Las vacunas salvan vidas.

#YoMeVacuno",1
81,Tiago Farias,@TiagoFarias65,2021-03-05,"Oficialmente he recibido la primera dosis de 
@pfizer
 .
#YoMeVacuno",1
82,Pablo D. Dans,@DansPablo,2021-03-05,"En lugar de #YoMeVacuno, propongo el hashtag alternativo #LlamameMarta.",1
83,SC,@SandraC27G,2021-03-05,"Hoy me vacunaron y les puedo decir que nunca pensé el ""gracias, estaré bien"" , yo solo pensé, gracias Dios, podre atender a mis pacientes, podré ver a mi familia y amigos sin tener miedo de que por mi terminen en una UCI #yomevacuno no por mi, si no por todos ustedes",1
84,Irene Telias Hasson,@IreneTelias,2021-03-05,"Me da pena el 
@DrEnriqueParis
 perdió su compostura y su dignidad como médico y se convirtió en un títere del 2” piso, #YoMeVacuno",1
85,Luc@s24™,Luc@s24™,2021-03-05,Listo; 2 dosis #Coronavac de Laboratorio #Sinovac #YoMeVacuno #CoronaVaccine,1
86,Xenia Covarrubias,@xeniavcb,2021-03-05,"En verdad el gobierno piensa que una joven de 23 años tiene más riesgo de enfermar gravemente que una joven de 18 con enf. crónica que en los últimos 6años la ha llevado a estar hospitalizada 12 veces en su mayoría en uci?#YoMeVacuno 
@pdazan
 @DrEnriqueParis
 @sebastianpinera",1
87,Macarena Lizana,@Macalizanach,2021-03-05,Alguien sabe de algún centro de vacunacion mañana sábado??? #YoMeVacuno,1
88,Andrea Tabárez,@AndreaTabarez,2021-03-05,"Y lloré. Cuando me enteré que vacunaron a quien tanto quiero y que tanto hemos cuidado este año por su riesgo, lloré. La vacuna es el principio del fin para la pandemia en el mundo, y para los uruguayos es mucho más q eso: es tener una causa en común. #yomevacuno #Uruguaysevacuna",1
89,Claudia Radó,@claurado,2021-03-05,"#YoMeVacuno favor respuesta

Hola buen día. Cómo se procede con los trabajadores de Un centro Visual ? Trabajamos a diario con pacientes que padecen patologías corneales complejas más laboratorio de fabricación, rubro óptica RUT 76080723-0.
No tenemos acceso aún a la vacuna",1
90,Pablo D. Dans,@DansPablo,2021-03-05,"El 15 de marzo llegan 1.558.000 dosis de la vacuna Sinovac y empieza la vacunación masiva! Vamo arriba!!! Cortemos esta pandemia de una buena vez #YoMeVacuno (al final lo tuve que poner 
).",1
91,España Forever,@MarellaSpain,2021-03-05,"Si os regalan en otro país una vacuna contra #COVID19 que os permite adquirir el #pasaportecovid para viajar sin problema y poder ver a vuestros familiares, os la pondríais?
#YoMeVacunoSí
No, me esperaría mi turno
1 voto
·
23 horas restantes",1
92,Cristina_RR,@_Cris_20,2021-03-05,"Bueno, pues aunque ha costado un poco, y me ha dado apuro hacerme la foto de rigor.... ya tengo puesta la primera dosis de vacuna 
y mis dos compis enfermeras también!!! #YoMeVacuno #VacunasCOVID19",1
93,ScarletteJara,@ScarletteJara1,2021-03-05,"Que hice para tener familia antivacuna...
#YoMeVacuno",1
94,Johan Prada,@Johan_PradaC,2021-03-05,Uno está tranquilo por fuera pero por dentro está embolsao' #YoMeVacuno,1
95,"Foquita leopardo
#Apruebo",@Pudu_28,2021-03-05,"Vacunada!!! Ahora no me voy a morir 
 #YoMeVacuno",1
96,Carla,@grin_ais,2021-03-05," Ayer me vacunaron, no del COVID (porque para eso parece que falta mucho) pero sí de la difteria y la hepatitis B. Al menos de algo estoy protegida. Así que pueden ir a su centro de salud más cercano. 
#vacuna #minsa #YoMeVacuno",1
97,Charlie Wheel,@carrue1970,2021-03-05,"Mis viejos y suegra vacunados 2 dosis.
Primera vez en mis 50 años que siento un retorno a mis #impuestos 
 #YoMeVacuno",1
98,Flora,@floralv85,2021-03-05,"Me vacune. Me obligan a firmar un consentimiento en que nadie se hace responsable si algo me pasa. Tb dice q la vacunación es voluntaria sin embargo circulan comunicados de anep donde se nos obliga a vacunar, dicho con hermosos eufemismos. 
#YoMeVacuno contra mi voluntad",1
99,Luis Cubilla,@LCubilla10,2021-03-05,"Muchos se hacen los rebeldes y rechazan la vacunación para demostrar que son libres. Bien que cuando mañana se abran las fronteras y pidan la vacunación para viajar van a salir corriendo a vacunarse.
La libertad es responsabilidad. #UruguaySeVacuna #YoMeVacuno",1
100,Pablo,@pablodmv,2021-03-05,"Vacunarse no es un acto de solidaridad. Es un acto de responsabilidad individual.Te quieren hacer creer que sos un héroe al mismo tiempo que sacan prestaciones a los que más necesitan. Si querés ser un héroe, sé solidario y ayuda a los más vulnerables. Luchá por ellos #YoMeVacuno",1
101,Lupita,@TipicaLoca,2021-03-05,"En la AMSJ hubo que contratar personal de apuro porque un piso entero está enfermo de covid. 

VACÚNENSE

#YoMeVacuno, de hecho, espero la segunda dosis.",1
102,Martín Bazzino,@mbazzino,2021-03-05,"Aquí no es un tema de sinovac o pfizer personalmente tengo confianza en  ambas vacunas y me voy a vacunar con la que me designen y el día que me designen , confianza en las vacunas , son, probadas seguras y confiables #YoMeVacuno 
@DrDanielSalinas
 @JoseSatdjian
 @MSPUruguay",1
103,Mónica Cappetta,@MonicaCappetta,2021-03-05,"Ojala tuviese 55 años!! 
#YoMeVacuno",1
104,Paola Delgado,@abogado_paola,2021-03-05,"El hipotiroidismo,  tiroiditis de hashimoto  es una enfermedad autoninmune. Se considera crónico para efectos de vacunación por covid 19 ? Alguien sabe. 
@ministeriosalud
 @sebasugarte
 @colmedchile
 @pdazan
 #YoMeVacuno #COVID19 #vacunacion #vacuna",1
105,Xime,@Atrapasilencios,2021-03-05,"Vine al Pabellón de la Araucanía de Temuco a ver si me vacunaban por tener una enfermedad autoinmune, ¡Y me vacunaron! 
. #YoMeVacuno Cc 
@Seferene",1
106,Gabriela Silva,@teachgab,2021-03-05,"Primero te militaron el #nohayvacunas  y ahora que llegaron como se dijo, no se quieren vacunar xq no es la que ""prefieren"". No hay cura xra la idiotez...
#YoMeVacuno, ya me di la primera y el 31 la segunda. Cuanto antes debemos salir de esta epidemia maldita!!",1
107,Bettina SC,@la_bettina,2021-03-05,"#sabremoscumplir agendada . Lunes 8, hora 13y30. #yomevacuno",1
108,¥ubii,@Yubisw,2021-03-05,"Mi abuela renovó el plan de datos 
, está contenta con su segunda dosis, y yo tranquila. 

#YoMeVacuno.",1
109,"ℝ𝕒𝕔𝕙𝕖𝕝 𝕂𝕒𝕣𝕖𝕟 𝔾𝕣𝕖𝕖𝕟
🅐🅟🅡🅤🅔🅑🅞",@trayken2021,2021-03-05,"Tal vez si hubieran estado vacunando #YoMeVacuno el primer día de clases en cada escuela del país podría haber sido un buen comienzo. Pero no, los niños aun no tienen fecha de vacuna #RegresoAClases #RetornoSeguroAClases2021",1
110,Antonio Yañez Betanzo,@conceantonio,2021-03-05,"""Elige Vivir Contagiado y Contagiando""
Nuevo Programa de Gobierno...
Todo un éxito!
Aún cuando funcione bastante 
 Mejor el Programa: #YoMeVacuno",1
111,Sonia Rodriguez,@soni_rodri52,2021-03-05,"Ya estoy agendada, el lunes me vacuno nomas, invito a todos a agendarse
#YoMeVacuno
#UruguaySeVacuna",1
112,Lucero de Vivanco,@sinluz_0,2021-03-05,"Pucha, desde que comenzó la pandemia en Chile, solo hemos tenido 10 días con mas ""casos diarios"" que hoy.
#YoMeVacuno
#covid",1
113,Andrés Álvarez Piedra.,@Andresalvarezgp,2021-03-05,"Cuando van a dejar de vacuna oficinistas del ministerio 
@Salud_Ec
  y vacunar a los internos? #YoMeVacuno",1
114,Nacho González,@NacheteGperera,2021-03-05,"V de Viernes y de Vacuna. ¡Vacunado
!  Gracias a todo el personal sanitario.  #Yomevacuno",1
115,Pelu2881,@OlgaAhumada13,2021-03-05,"Yo creo que el 
@GobiernodeChile
 me quiere muerta, soy enferma crónica licencias rechazadas #bonocovid rechazado fecha de vacunación postergado con un hijo Asmático Gracias 
@ministeriosalud
 @MinDesarrollo
 @SUSESOChile
 #YoMeVacuno #COVID19 #ContigoCHV #TercerRetiroAfpONoHayVotos",1
116,⚘,@IvetteDePaula1,2021-03-05,"~Yo no me gua* vacuná’

-Fulgencio: 3 hijos menores de edad y que trabaja como chofer de transporte público, además de tener envejecientes en casa. 
Se le muere un familiar por #COVID19 y dice que los médicos del país no sirven 
 #YoMeVacuno #VacunateRD",1
117,Javu,@javita10,2021-03-05,"No hay plazo que no se cumpla ni deuda que no se pague , aquí estamos esperando la dosis de vacuna #yomevacuno",1
118,SoyAIvaro,@SoyAIvaro,2021-03-05,Listo con la segunda dosis de la vacuna #YoMeVacuno ,1
119,Carlos Delfino,@CDelfino64,2021-03-05,Estoy agendado para el lunes 8 primera dosis #YoMeVacuno,1
120,Dra. Silvia Zuluaga,@doctorazuluaga,2021-03-05,"#YoMeVacuno Empiezo el fin de semana con el subidón que da el saber que la semana que viene me vacunan. Gracias 
@comgipuzkoa",1
121,Profarm,@profarmgipuzkoa,2021-03-05,"Hoy los farmacéuticos comunitarios gipuzkoanos estamos recibiendo las llamadas del 
@GipuzkoaCOF
 para convocarnos para la vacunación. Gracias a tod@s los que lo han hecho posible #YoMeVacuno 
@osakidetzaEJGV",1
122,Ale,@vale1977ale,2021-03-05,"Pedían las vacunas, llegaron y ahora q sos de los q te toca, no lo haces xq cuestionas la vacuna, cunado nunca lo hiciste; además de que mezclan lo Político... Xq si hubiera sido un gobierno de izquierda ya estaban todos vacunados
 #YoMeVacuno #UruguaySeVacuna",1
123,Camila María,@Camiileiins,2021-03-05,ME VACUNÉ CTM. CASI LLORO DE LA EMOCIÓN Y DOLOR DEL PINCHAZO. #YoMeVacuno,1
124,La Paty de la pipol,@la_tia_paty,2021-03-05,"Che!!!! Agendense para vacunarse!! Estuvimos todos a los gritos pidiendo vacunas y ahora están.
Es la forma de proteger a los que no se pueden vacunar y de protegernos nosotros.
#YoMeVacuno
#Vacunate
 
Parece mentira que tenga que estar escribiendo esto.",1
125,api,@api_playera,2021-03-05,#YoMeVacuno ya agendada,1
126,Gabriella,@Gabriella750222,2021-03-05,"TODOS ATENTOS A LA NUEVA AGENDA 
@MSPUruguay
 ! 
A VACUNARSE!
#YOMEVACUNO
#YOMEVAVUNOPORVOS
#YOMEVACUNOPORLAPATRIA
098999999 agendate!",1
127,daniel yanibelli,@danielyanibelli,2021-03-05,"A mis amigos y conocidos entre 55 y 59 años les pido por favor que se agenden para vacunarse hoy se abrió la agenda para esa franja de edad sin importar actividad.
#YoMeVacuno",1
128,Hugo Sosa,@sosareta,2021-03-05,"Dicen qué hay que convencer gente a que se vacune, yo solo pienso en certificado de vacunación que sea pedido hasta para entrar a una tienda! Vas a ver cómo se convencen, es de entender la lentitud de pensar en la empatia, para varios eso no existe #YoMeVacuno",1
129,daniel yanibelli,@danielyanibelli,2021-03-05,"Tengo muchos conocidos y amigos que trabajan en la enseñanza, les pido por favor vacunense. 
#YoMeVacuno",1
130,Patricia Noble Lema,@pattynoblelema,2021-03-05,"#YoMeVacuno 
Ya agendada 8/3",1
131,Marta Izquierdo,@martaizquierd,2021-03-05,"Con astrazeneca en el cuerpo ya 
 
Ser parte de la solución y no del problema #yomevacuno",1
132,Daneou,@Daneou_,2021-03-05,Llegó la etapa de vacunación para los jóvenes de 18 años es momento de vacunarnos #YoMeVacuno Amazonas,1
133,Verdadera Alegría,@VerdaderaAlegr1,2021-03-05,"Felizmente agendada para vacunarme!!! Vamoooo Uruguay
#YoMeVacuno",1
134,Ò•••hp,@o_hhpp,2021-03-05,"Esperándo los síntomas del 5G. 
 #YoMeVacuno",1
135,JP OLIVIERI BONINO,@jolivieribonino,2021-03-05,"Acabo de agendar a mi Padre para vacunarse contra el Covid-19 feliz por nosotros, feliz por el. #YoMeVacuno #nosotrosnosvacunamos",1
136,Dave Ortgui,@dortega_g,2021-03-05,Pues aquí uno vacunado! Ya noto como el wifi llega mejor #YoMeVacuno,1
137,Municipalidad de San Miguel,@Muni_San_Miguel,2021-03-05,"trasplantados, cáncer en tratamiento y enfermedades autoinmune (+ 18 años)
 Segundas dosis, según indique carnet de vacunación 
Use su mascarilla 
Presente su cédula de identidad o pasaporte

#ComprometidosConTuSalud
#SanMiguelTeCuida
#YoMeVacuno
@AlcaldeSanhueza",1
138,marievitale,@marievitale2,2021-03-05,"El 8 de marzo , día de la mujer, me daré la primera dosis de la vacuna. Primero la salud de todos!! los uruguayos . 
 PODEMOS #YoMeVacuno",1
139,Fernando Pena #YoMeVacuno #YoMeQuedoEnCasa,@fpenafotografo,2021-03-05,"Hoy me vacuno. Desde el momento que me avisaron que estaba habilitado fue un festejo. Soy paciente renal y me juego la vida en ésto. Por favor, vacunate. #YoMeVacuno",1
140,Alejandro Collazo,@candrocollazo,2021-03-05,"Agendado
Lunes 8 de marzo
Hora 13:30

#YoMeVacuno",1
