Nombre de usuario,Usuario,Fecha,Texto
Supersalud,@Supersalud,2021-03-07T00:53:22.000Z,"@Supersalud
 visitó el Hospital Regional de Duitama para verificar el cumplimiento de las instrucciones previstas para el Plan Nacional de Vacunación y realizó recorrido al punto de extensión para vacunación Covid19 en el Hotel Hunza I #SeguimientoALasVacunas"
Presidencia Colombia,@infopresidencia,2021-03-07T00:32:00.000Z,"#JuntosFrenteAlCovid | En pandemia trabajamos en el #CONPESDeReactivación, una estrategia para activar el empleo, garantizar la vacunación de los colombianos, afianzar el apoyo a los hogares vulnerables y las empresas, y cerrar brechas de género, rurales y de ingresos."
gobernaciondelvaupes,@gobernavaupes,2021-03-07T00:06:02.000Z,"""Es fascinante comprender la medicina tradicional"" manifestó el Ministro de Salud 
@Fruizgomez
.  En esta reunión se abordaron los avances en salud en Vaupés y en la vacunación contra Covid-19. Se han aplicado el 55% de las 5212 dosis recibidas. 
#GestiónTrabajoProgreso"
MinSaludCol,@MinSaludCol,2021-03-06T13:24:09.000Z,"#JuntosFrenteAlCovid A un año de la llegada de la COVID-19, Colombia
fortaleció la capacidad de sus laboratorios"
Claudia López,@ClaudiaLopez,2021-03-06T13:23:11.000Z,"Hace un año se detectó el primer caso de coronavirus en Bogotá; con un acto ecuménico hoy conmemoramos a quienes han fallecido por COVID -19 y a nuestro sector salud. 

Acompáñennos en este acto desde las 9 A.M por nuestras plataformas digitales. 

#UnAñoSalvandoVidas"
SecretaríaSaludCesar,@CesarSecSalud,2021-03-06T03:32:46.000Z,"#ReporteDiariio reportamos 35 nuevos casos de Covid-19 procedentes de: 
Valledupar 21
Bosconia 8
Agustín Codazzi 3
Becerril 2
Gamarra 1"
Gobernación del Huila,@HuilaGob,2021-03-06T03:26:23.000Z,"41 casos de Covid19 se confirmaron hoy para el Huila

El acumulado departamental de resultados positivos llega a 49.931, de los cuales permanecen activos 341 casos.

La Sala de Análisis del Riesgo para el evento Covid19 confirma 41 casos en 8 municipios distribuidos así:"
Gobernación del Meta,@GobMeta,2021-03-06T02:19:09.000Z,"El Meta hoy no registra fallecidos. Recibimos 202 pruebas negativas de #Covid_19 y 35 positivas así: Villavicencio 30, Puerto Gaitán 2, Acacías 1, Cumaral 1 y San Carlos de Guaroa 1. 

Además, 53 recuperados y 37 en UCI."
Gobernación de Chocó,@GobChoco,2021-03-06T02:13:06.000Z,"Reporte COVID. Fecha: 05 de Marzo de 2021 Corte 7:00pm

Casos confirmados 6564
Casos activos18"
Gobernación de Chocó,@GobChoco,2021-03-07T14:15:25.000Z,"Reporte Covid. Fecha:  06 de Marzo de 2021 Corte 7:00pm

Casos confirmados 6567
Casos activos10"
SecretaríaSaludCesar,@CesarSecSalud,2021-03-07T01:45:18.000Z,"#ReporteDiario reportamos 52 nuevos casos de Covid-19, procedentes de:
Valledupar 36
 Bosconia 6
Agustín Codazzi 2
Chimichagua 2
El Copey 2
El Paso 2
Astrea 1
 La Gloria 1"
Supersalud,@Supersalud,2021-03-07T01:16:21.000Z,"#SeguimientoALasVacunas | 
@Supersalud
 verificó el alistamiento de 
@SSaludBoyaca
, el desarrollo de la primera fase de Vacunación y la implementación del Programa PRASS y presentó al cierre recomendaciones a las autoridades para garantizar un óptimo manejo del antiviral"
gobernaciondelvaupes,@gobernavaupes,2021-03-07T00:06:01.000Z,"El Ministro 
@Fruizgomez
 visitó el punto de vacunación en la Concha Acústica, resaltando la labor realizada por parte de la Secretaría de Salud Departamental y la ESE Hospital San Antonio. ""Nos vamos con toda la información de lo que está pasando en el departamento"" finalizó."
Supersalud,@Supersalud,2021-03-06T23:44:32.000Z,"En Tunja, el Superintendente se reunió con la 
@SSaludBoyaca
, red prestadora y representantes de las #EPS para analizar el flujo de recursos y presentar el diagnóstico realizado por el equipo élite al programa de vacunación y PRASS en #Boyacá."
Presidencia Colombia,@infopresidencia,2021-03-06T23:01:00.000Z,"#JuntosFrenteAlCovid | A raíz de la pandemia aceleramos la implementación del Programa Devolución del IVA, llegando a un millón de hogares en 2020. Este año llegaremos a dos millones de familias con esta transferencia monetaria."
Supersalud,@Supersalud,2021-03-06T14:32:41.000Z,"#SeguimientoALasVacunas I El equipo de 
@Supersalud
 verifica en #Magdalena las acciones implementadas por las autoridades locales, #EPS e #IPS sobre los Programas de Prueba, Rastreo y Aislamiento - #PRASS y Vacunación contra el #Covid_19."
Secretaría Seccional de Salud de Antioquia,@SaludAntioquia,2021-03-06T03:11:44.000Z,"Con 3.888 dosis aplicadas, Antioquia llega a 31.836 vacunados contra #COVID19.

Las más recientes dosis por municipio fueron: Medellín (1727), Bello  (148), Envigado  (333), Sabaneta  (12), Girardota  (28), Copacabana  (18), Caldas (42), Barbosa  (28), Itagüí  (154)."
Supersalud,@Supersalud,2021-03-06T01:36:03.000Z,"Desde la 
@supersalud
 seguimos recorriendo Colombia para hace hacer #SeguimientoALasVacunas y verificar el cumplimiento de los lineamientos por parte de los aseguradores, prestadores y entes territoriales en el Plan Nacional de Vacunación contra el #Covid_19 y la Estrategia PRASS."
Clara Luz Roldán González,@ClaraLuzRoldan,2021-03-06T01:28:06.000Z,"Con satisfacción anuncio que por disposición de 
@MinSaludCol
, llegaron al departamento 10.410 dosis de vacunas anti COVID-19 de pfizer y  estamos a la espera de otras 5.000, para cubrir el 100% de trabajadores de la salud de primera linea de Cali, según reporte plataforma PISIS"
Instituto Nacional de Salud,@INSColombia,2021-03-06T01:14:13.000Z,"#INSTeCuenta Al cumplirse mañana #UnAñoDePandemia en Colombia, nuestra directora, Martha Ospina, resumió las cuatro líneas de trabajo del INS que han acompañado la respuesta técnica a la pandemia. Esto dijo en el programa presidencial #AcciónYPrevención "
Gobernación de Antioquia,@GobAntioquia,2021-03-06T01:09:57.000Z,"Con 486 casos nuevos registrados, hoy el número de contagiados por COVID-19 en Antioquia se eleva a 347.316.
 Medellín (256)
 Bello (46)
 Envigado (29)
 Itagüí (21)
 Rionegro (19)
 Caldas (12)
 Sabaneta (11)
 Apartadó (11)
 Copacabana (7)
 El Santuario (6)"
MinSaludCol,@MinSaludCol,2021-03-05T23:36:42.000Z,"Al cumplirse un año de la llegada de la COVID-19 a Colombia, el ministro 
@Fruizgomez
 hizo un balance de los esfuerzos realizados para enfrentar la pandemia, el fortalecimiento del sector salud y los logros obtenidos durante este tiempo. #PrevenciónYAcción"
Presidencia Colombia,@infopresidencia,2021-03-05T23:27:00.000Z,"#PrevenciónyAcción | ""Hoy se registran 111 fallecidos por #COVID19, les expresamos a las familias que han perdido a sus seres queridos nuestro sentimiento de solidaridad; encontramos que el 55.8% de estos casos fatales estuvo concentrado en cinco municipios del país"""
Presidencia Colombia,@infopresidencia,2021-03-05T23:26:58.000Z,"En #PrevenciónyAcción el Presidente 
@IvanDuque
 afirmó que a lo largo de la pandemia, Colombia llega a 11.655.186 pruebas adelantadas, 2.269.582 casos positivos acumulados y 2.168.149 recuperados; hoy se registraron 3.711 recuperados y el porcentaje de recuperación es del 95.5%."
Gobernación del Magdalena,@MagdalenaGober,2021-03-05T23:11:02.000Z,En Fundación seguimos cumpliendo con las jornadas de vacunación contra el Covid-19 aplicando la primera dosis a los adultos mayores. #EnMiTurnoYoMeVacuno
Elsa Noguera,@elsanoguerabaq,2021-03-05T22:23:29.000Z,"¡Estamos mejorando la educación con tecnología y conectividad! De los retos que nos trajo la pandemia fue la transformación digital de nuestros colegios rurales y urbanos, hoy nos enorgullece lo que hemos avanzado con la entrega de nuevos 
 y la ampliación del internet."
Gobernación del Huila,@HuilaGob,2021-03-05T22:09:25.000Z,"Contraloría Delegada para Salud verificó avances y cumplimiento del Plan Nacional de Vacunación en el Huila 

El propósito de la visita estuvo orientada a desarrollar acciones preventivas y de acompañamiento a todo el proceso de vacunación...2:19
105 reproducciones"
Presidencia Colombia,@infopresidencia,2021-03-05T23:00:02.000Z," #EnVivo | Avances de las medidas implementadas por el Gobierno Nacional para mitigar los efectos de la pandemia del covid-19 en el país. #PrevenciónyAcciónPresidencia Colombia
@infopresidencia
 #EnVivo | Avances de las medidas implementadas por el Gobierno Nacional para mitigar los efectos de la pandemia del covid-19 en el país. #PrevenciónyAcción
pscp.tv"
MinSaludCol,@MinSaludCol,2021-03-05T23:00:01.000Z,"Cumplimos 1 año desde la llegada del COVID-19, una etapa en la que a pesar de las dificultades, nos hemos unido como país
  para protegernos, fortalecer nuestro sistema de salud, y hoy, estar ejecutando un plan de vacunación con el que superaremos el virus y saldremos adelante."
MAURICIO AGUILAR HURTADO,@MAguilarHurtado,2021-03-05T22:07:39.000Z,"Así avanzamos en la distribución en #Santander: de las 17.441 vacunas recibidas por el 
@minsaludcol
 ya hemos enviado el 100% a los municipios.

Pido celeridad a las alcaldías, puntos de vacunación y a todos los actores involucrados para avanzar en el proceso de vacunación."
Supersalud,@Supersalud,2021-03-05T20:53:02.000Z,El Superintendente Fabio Aristizábal realizó un recorrido por los puntos de vacunación habilitados en el Hospital de Fontibón para verificar cómo se implementa el Plan Nacional de Vacunación #SeguimientoALasVacunas
MinSaludCol,@MinSaludCol,2021-03-05T20:39:34.000Z,"A un año de la llegada del #COVID19 a Colombia, te presentamos los 
avances significativos, que han fortalecido el sistema de salud
 y su capacidad frente a la pandemia. 
http://bit.ly/3rpFsme"
Secretaría de Salud de Boyacá,@SSaludBoyaca,2021-03-05T20:38:41.000Z,"#segurasyefectivas Vacunarse contra la #COVID19 es la manera más segura de ayudar a generar protección, salvar millones de vidas y cuidar del bienestar de tu familia, amigos y comunidad.  

#YoMeVacuno"
Supersalud,@Supersalud,2021-03-05T20:37:35.000Z,"#AEstaHora Superintendente Fabio Aristizábal Ángel hace un recorrido al punto de vacunación #COVID19 habilitado en 
@SubRedSurOcci"
MinSaludCol,@MinSaludCol,2021-03-07T00:00:00.000Z,"#JuntosFrenteAlCovid El 
@MinSaludCol
 puso en marcha el Plan Nacional de Vacunación
, de manera articulada con las entidades territoriales y en general con los actores de salud, logrando importantes avances en la vacunación de los colombianos."
Presidencia Colombia,@infopresidencia,2021-03-06T23:30:00.000Z,"#JuntosFrenteAlCovid | ¿Sabías que el programa Ingreso Solidario fue creado por el Gobierno Nacional, en medio de la pandemia, con el fin de mitigar el impacto económico en los hogares en situación de pobreza y vulnerabilidad, que no eran beneficiarios de programas sociales?"
Gobernación de Córdoba,@GobCordoba_,2021-03-06T22:53:42.000Z,"Buenas tardes. Informamos a los cordobeses que hoy reportamos 81 nuevos casos de #COVID19 en el Dpto: 

- Monteria: 40
- Cienaga de oro: 11
- Cereté: 7
- San Bernardo: 4
- Planeta Rica: 3
- San Pelayo: 3
- Sahagún: 3
- Tierralta: 2
- Cotorra: 2
- San Antero: 1

Sigue..."
MinSaludCol,@MinSaludCol,2021-03-06T17:00:01.000Z,"#JuntosFrenteAlCovid 1 año de la llegada del COVID-19, y a pesar de las dificultades, nos hemos unido como país
 para protegernos, fortalecer nuestro sistema de salud, y hoy, estar ejecutando un plan de vacunación
 con el que superaremos el virus y saldremos adelante."
MinSaludCol,@MinSaludCol,2021-03-06T15:30:00.000Z,"#JuntosFrenteAlCovid Colombia
  fortaleció su capacidad asistencial para la atención de COVID-19, garantizando la atención de pacientes críticos en todo el país."
MinSaludCol,@MinSaludCol,2021-03-06T14:30:00.000Z,"#JuntosFrenteAlCovid El ministro 
@Fruizgomez
 compartió lecciones y oportunidades para optimizar el Plan Nacional de Vacunación
 en los próximos meses. 

Los detalles 
  http://bit.ly/30h4BU3"
Presidencia Colombia,@infopresidencia,2021-03-06T14:28:00.000Z,"#JuntosFrenteAlCovid | Con el Programa de Apoyo al Empleo Formal (PAEF), hemos protegido más de 3,9 millones de empleos en el país durante la pandemia. El subsidio les otorga a los empleadores el 40% del salario mínimo por cada empleado."
Bolívar Primero,@GobDeBolivar,2021-03-05T20:32:01.000Z,"#PrimeroLaVida‍
Vamos a buen ritmo en nuestra Fase de Vacunación #PorLaVida 2021

Bolívar se ubica a nivel nacional como uno de los dpto con mejor promedio de vacunación por día y población vacunada.
La próxima semana esperamos recibir el 3er lote de vacunas
@MinSaludCol"
Presidencia Colombia,@infopresidencia,2021-03-05T20:31:00.000Z,"#ColombiaSeVacuna | Recuerda que debes seguir cuidándote y cuidando a los que más quieres, la vacunación no significa que podemos bajar la guardia. #ABCdeLaVacunación"
Territorial de Salud de Caldas,@saluddecaldas,2021-03-05T20:28:52.000Z,"Continuamos la entrega de vacunas a nuestras ESE para inmunizar al personal de salud de primera línea y adultos mayores de 80 años. Este fin de semana viviremos una jornada de alegría y esperanza con la vacunación en varios municipios.
#PrimeroLaVacuna
@LuisCarlosGober"
Gobernación del Magdalena,@MagdalenaGober,2021-03-05T20:24:52.000Z,"#EnMiTurnoYoMeVacuno La aplicación de las vacunas, ayudarán a reducir la tasa de contagios y mortalidad del Covid-19. 

Si formas parte del grupo poblacional de la primera etapa de vacunación, debes estar atento al llamado de tu EPS o consultar:  http://mivacuna.sispro.gov"
MinSaludCol,@MinSaludCol,2021-03-05T20:11:44.000Z,"Desde Inírida, Guainía, el ministro 
@Fruizgomez
 lideró un nuevo Puesto de Mando Unificado (PMU) en el que se monitoreó el avance en la ejecución del Plan Nacional de Vacunación contra la COVID-19."
Gobernación del Magdalena,@MagdalenaGober,2021-03-05T19:35:53.000Z,"#EnMiTurnoYoMeVacuno 

Con total éxito avanzamos en la aplicación de la primera dosis de la vacuna contra el Covid-19 a los adultos mayores de Ciénaga, Magdalena."
MinSaludCol,@MinSaludCol,2021-03-07T15:30:00.000Z,"Vacunarse y seguir las recomendaciones para protegerse y proteger a los demás, es indispensable para ayudar a reducir la propagación de la COVID-19. #YoMeVacuno"
Gobernación de Santander,@GobdeSantander,2021-03-07T12:47:11.000Z,"Se informa a la comunidad que cada vez son más las personas que logran superar el COVID- 19 en el departamento. Este sábado 6 de marzo, 224 pacientes más se han recuperado del virus, para un total de 87.023 recuperados."
Alcaldía de Bogotá,@Bogota,2021-03-07T03:08:00.000Z,"A un año del primer caso de covid-19, así vamos:
 Este fin de semana finaliza vacunación del personal de la primera línea de atención en salud
 A partir del martes comenzamos a vacunar a la totalidad de mujeres y hombres mayores de 80 años de la ciudad

#UnAñoSalvandoVidas"
Presidencia Colombia,@infopresidencia,2021-03-07T02:36:42.000Z," #Noticia | Este sábado, a las 2:45 p.m., llegó al Aeropuerto El Dorado de Bogotá, el avión de la empresa KLM, procedente de Pekín, con 958.000 vacunas de Sinovac que reforzarán el Plan Nacional de Vacunación adelantado por el Gobierno Nacional.Este sábado llegaron al país 958.000 vacunas de Sinovac
Este sábado, a las 2 y 45 minutos de la tarde, tocó pista, en el Aeropuerto El Dorado de Bogotá, el avión de la empresa KLM, procedente de Pekín, con 958.000 vacunas de Sinovac que reforzarán el Plan...
idm.presidencia.gov.co"
Orlando Benítez,@orlandobenitezm,2021-03-06T20:50:27.000Z,"El reporte que tenemos el día de de hoy respecto al estado de las camas UCI en Córdoba es el siguiente: 
 Ocupación UCI COVID: 65,55% = 118/180
 UCI NO COVID: 64,18%= 181/282
 Ocupación UCI TOTAL: 65,58% = 299/462"
Gobernación de Sucre,@GobSucre,2021-03-06T16:00:28.000Z,"En Sucre implementamos una estrategia innovadora para la vacunación de los adultos mayores contra el covid-19 sin salir de casa. 
Nuestro equipo llega puerta a puerta ubicar a las personas beneficiadas, agendarlos y vacunarlos en sus hogares el día que les corresponda."
Secretaría Distrital de Salud,@SectorSalud,2021-03-05T21:32:37.000Z,"En caso de que una persona requiera asistencia, podrá ser acompañada por un adulto a la cita de vacunación #BogotáSeCuida"
Presidencia Colombia,@infopresidencia,2021-03-05T21:03:00.000Z,"Según la información dada a conocer por el 
@MinSaludCol
, las personas que han contraído covid-19, serán inmunizadas en nuestro país si tienen más de 90 días de haber sido diagnosticadas y dando cumplimiento a la etapa de priorización del Plan Nacional de Vacunación."
Gobernación del Magdalena,@MagdalenaGober,2021-03-05T18:44:54.000Z,#EnMiTurnoYoMeVacuno En todos los rincones del Magdalena estamos cuidando a nuestros abuelitos. Hoy iniciamos la jornada de vacunación contra el Covid-19 a los adultos mayores de El Retén.
Iván Duque,@IvanDuque,2021-03-05T18:43:02.000Z,"En productiva conversación con Presidente de Francia, 
@EmmanuelMacron
, dialogamos sobre coordinación multilateral para vacunación masiva e importancia de Covax, reactivación económica global, Paz con Legalidad y compromisos ante cambio climático. Gracias por su apoyo a Colombia."
Presidencia Colombia,@infopresidencia,2021-03-05T18:02:00.000Z,"Las vacunas contra el covid-19 adquiridas por nuestro país son seguras, eficaces, de calidad y han sido avaladas por la Organización Mundial de la Salud. Vacunarnos es la mejor herramienta para evitar el contagio de la enfermedad y salvar vidas. #ColombiaSeVacuna"
MinSaludCol,@MinSaludCol,2021-03-05T17:50:00.000Z,"Fueron muchos los hitos en este primer año de pandemia y hoy queremos compartirlos con todos los colombianos. 
 http://bit.ly/HitosCOVIDCol"
MinSaludCol,@MinSaludCol,2021-03-05T17:15:00.000Z,"El Coronavirus pone en riesgo tu vida, pero vacunarte 
 te protege contra la enfermedad grave, que significa hospitalización y muerte. #YoMeVacuno "
Secretaría Seccional de Salud de Antioquia,@SaludAntioquia,2021-03-07T01:09:27.000Z,"Con 7.510 dosis aplicadas, Antioquia llega a 39.328 vacunados contra COVID19 
Del total del biológico suministrado hoy, 6.893 dosis se aplicaron en personal de salud de atención a la COVID19 
 y los 617 adicionales  en los adultos mayores de 80 años y más "
Secretaría Distrital de Salud,@SectorSalud,2021-03-07T00:20:44.000Z,"A un año del primer caso de covid-19, así vamos:
 Este fin de semana finaliza vacunación del personal de la primera línea de atención en salud
 A partir del martes comenzamos a vacunar a la totalidad de mujeres y hombres mayores de 80 años de la ciudad

#UnAñoSalvandoVidas"
Gobernación del Meta,@GobMeta,2021-03-06T23:45:00.000Z,"¡La vacunación salva vidas! Todos podemos hacer pedagogía para derrumbar los mitos alrededor de la vacuna contra el #Covid_19. En estos momentos, el riesgo más grande es no aplicarse la vacuna. #YoMeVacuno"
Gobernación de Santander,@GobdeSantander,2021-03-06T20:23:43.000Z,"¡Santander avanza en la inmunización contra el COVID-19!

Hoy nuestro territorio recibe 2.472 biológicos de Pfizer correspondientes a la segunda dosis para el personal de salud de primera línea del área metropolitana, quienes hace 21 días fueron vacunados."
Supersalud,@Supersalud,2021-03-06T19:00:00.000Z,"@Supersalud
 visitó 
@SubREdCentroOri
 en Bogotá para verificar que la planeación, alistamiento, ajuste en la infraestructura y capacitación al talento humano estén listos para cumplir con los lineamientos previstos en el Plan Nacional de Vacunación I #SeguimientoALasVacunas"
Alcaldía de Bogotá,@Bogota,2021-03-06T16:15:00.000Z,"La gestión del 
@SectorSalud
 no solo ha sido frente al COVID-19. La infraestructura también es prioridad, por eso iniciamos obras en 3 hospitales, 6 CAPS, y firmamos contratos de construcción para 3 hospitales más. 

#UnAñoSalvandoVidas"
Presidencia Colombia,@infopresidencia,2021-03-06T12:47:27.000Z,"La pandemia trajo nuevas formas de interactuar con los productores. La 
@ADR_Colombia
 creó la plataforma #ADRaUnClic para facilitar la postulación de perfiles de proyecto de asociaciones campesinas desde sus territorios. Se recibieron casi 4 mil iniciativas. #JuntosFrenteAlCovid"
Gobernación del Huila,@HuilaGob,2021-03-05T13:57:17.000Z,"Vacunación contra la Covid19
De acuerdo al Boletín de Vacunación No.13, con corte a las 4 de la tarde de este jueves, se vacunaron en total 1.056 personas, de esta manera se acumulan un total de 4.191 dosis aplicadas."
Secretaría Distrital de Salud,@SectorSalud,2021-03-05T13:55:19.000Z,"Continuamos verificando el avance del proceso de vacunación en Bogotá. 
 #AEstaHora el secretario de Salud 
@AlejandroGL2014
 visita la Clínica La Colina donde se realiza la inmunización del personal de salud de la primera línea."
Gobernación del Meta,@GobMeta,2021-03-05T13:50:49.000Z,"Red de mujeres del #Meta son capacitadas en enfoque de género. Con el taller ‘La otra cara de la pandemia’, llegaremos a 200 mujeres que se convertirán en semilleros y multiplicadoras de conocimientos adquiridos en sus comunidades y así seguir fortaleciendo las rutas de atención."
Secretaría de Desarrollo de la Salud - Córdoba.,@CordobaSalud,2021-03-05T11:54:57.000Z,"#BoletínCOVID19 Infórmate sobre los 3161 Vacunados, 61 nuevos positivos y 5 decesos por #COVID19 en el departamento de Córdoba. 
37.805 Total Positivos - Pandemia
1.933 Fallecidos
34.688 Recuperados
118_ Casos Activos
 ¡No bajemos la guardia! 
#CórdobaSeVacuna"
Gobernación del Meta,@GobMeta,2021-03-05T03:23:07.000Z,"El Meta hoy no registra fallecidos. Recibimos 350 pruebas negativas de #Covid_19 y 48 positivas así: Villavicencio 40, Puerto Gaitán 3, Castilla La Nueva 2, Acacías 1, Puerto Gaitán 1 y San Martín 1.

Además, 63 recuperados y 29 en UCI."
Gob de La Guajira,@LAGUAJIRAGOB,2021-03-05T03:17:47.000Z,"Se confirman 33 nuevos casos de Covid-19 en La Guajira.

Riohacha: 19 casos
San Juan Del Cesar: 6 casos
Maicao: 3 casos
Uribia: 2 casos
Albania: 2 casos
Fonseca: un caso"
Alcaldía de Bogotá,@Bogota,2021-03-07T13:45:00.000Z,"La pandemia no nos atrasó nuestros compromisos con el Nuevo Contrato Social y Ambiental, al contrario, aceleró cambios inevitables hacia la movilidad sostenible.

#UnAñoSalvandoVidas"
Presidencia Colombia,@infopresidencia,2021-03-07T01:31:00.000Z,"#JuntosFrenteAlCovid  | El 
@MinAgricultura
 durante la pandemia reinventó la estrategia #AgriculturaporContrato y creó #ElCampoAUnClic, iniciativa que ha permitido a productores agropecuarios cerrar acuerdos comerciales con plataformas de negocio a través de la virtualidad."
Alcaldía de Bogotá,@Bogota,2021-03-07T00:35:00.000Z,A pesar de la pandemia sumamos esfuerzos para generar las mejores oportunidades de educación para los jóvenes de Bogotá.   #UnAñoSalvandoVidas y el acceso a la educación
Gobernación de Sucre,@GobSucre,2021-03-07T00:00:00.000Z,"En Sucre se registran 60 nuevos casos, 53 recuperados y 1 fallecido por covid-19.

Hasta la fecha la cifra total asciende a 20 494 casos positivos, 19 569 recuperados y 783 fallecidos. 

Es momento de intensificar las normas de autocuidado y ser más disciplinados."
Instituto Nacional de Salud,@INSColombia,2021-03-06T21:39:56.000Z,"Colombia 
 con México 
 y Paraguay 
 son los únicos países de América Latina que han mantenido datos abiertos sobre la pandemia, pero con grandes diferencias
#OpenDataDay"
Orlando Benítez,@orlandobenitezm,2021-03-06T20:51:21.000Z," MONTERÍA: Ocupación UCI #COVID19 139 camas instaladas, Disponibles: 38 Camas
Ocupación UCI NO COVID: Ocupadas: 168 Disponibles: 90"
Territorial de Salud de Caldas,@saluddecaldas,2021-03-06T19:42:36.000Z,"¿Es cierto que después de ser inmunizados con una de las vacunas #SegurasYEfectivas contra la COVID-19 se acabarán las medidas de prevención?
#PrimeroLaVacuna
#PrimeroLaGente 
@LuisCarlosGober"
Presidencia Colombia,@infopresidencia,2021-03-06T13:02:49.000Z,"#JuntosFrenteAlCovid | A un año de la pandemia por el covid-19, hoy somos más fuertes. Fortalecimos nuestro sistema de salud, estamos en la primera etapa del Plan Nacional de Vacunación, y nuestros profesionales de salud cuentan con las capacidades para atender a los colombianos."
Alcaldía de Bogotá,@Bogota,2021-03-05T23:01:00.000Z,"Los usuarios tienen derecho a ser informados sobre la metodología, beneficios y posibles riesgos de la vacunación. Mediante el consentimiento informado, el usuario manifiesta de manera autónoma su voluntad de recibir o no el esquema de inmunización #BogotáSeCuida"
