Nombre de usuario,Usuario,Fecha,Texto
Exa,@Exagerardez,2021-03-05T23:06:51.000Z,"El mismo sector del periodismo que fogoneaba paranoia para con la vacuna Sputnik pretende ahora responsabilizar al Gobierno por el fallecimiento por Covid de una médica que no aceptó aplicarse la Sputnik. Y así cada día, es agotador"
Alma Flores,@250669alma,2021-03-05T22:59:47.000Z,Se solicita el apoyo de una empresa televisiva para la protesta que se lleva a cabo en avenida añil cerca del palacio de los deportes. Pidieron a médicos acudir a la aplicación de vacuna covid y resulta que salen ahorita a avisar tan tranquilamente que ya no hay vacunas!
Zuzu,@Zunzunagui64,2021-03-05T22:54:27.000Z,"Igual tengo yo la vacuna del Covid, me hago un potingue de cebolla, jengibre, cúrcuma, miel de la buena, no de supermercados y agua y a hervir, esto es para sobre todos los fumadores limpiar los pulmones, a mi me funciona, llevo años tomándolo, si alguien está interesado??"
𝐉𝐀𝐃𝐄,@blxomlater,2021-03-05T22:50:58.000Z,le acaban de aplicar la vacuna rusa para el covid a mi mamá y tengo: miedo 
Carlos Mendez,@C_Mendez,2021-03-05T22:47:36.000Z,Es una Buena noticia que a mí Abuela en Colombia ya le hayan puesto la primera dosis Dosis de la vacuna contra el COVID... Da la sensación a qué toda la locura de la Pandemia va llegando a su fin.
Mariangel,@Mariangel_1515,2021-03-05T22:45:03.000Z,Lo único que envidio es que tienen la vacuna contra el COVID
Martín M. Dobarro,@martindobarro,2021-03-05T22:44:47.000Z,"Una Dra. del Hosp. Fernández falleció por Covid.
No se quería vacunar y cuando aceptó la vacuna ya era tarde.
Se tendrían que hacer cargo todos los FORROS que tiraron mierda contra la vacuna"
Amaury de la rosa,@amaury3004,2021-03-05T22:42:27.000Z,"Se ha muerto por el #Covid_19 
Dra. María Rosa Fullone Médica Generalista y Especialista en Dermatología, y Médica Titular en el Servicio de Emergencias y Urgencias del Hospital Fernández
#fuckcovid19  no sabe recibir la vacuna y no saben cuidar el personal #QuedateEnCasa"
𝒴𝒶𝓋𝒾𝒵𝓂𝒷ℯ𝓇♡'s⟭⟬⁷ ᵏᶻ AU'S,@YaviZmbr,2021-03-05T22:42:01.000Z,ME VAN A PONER LA VACUNA DEL COVID(LA ULTIMA) Y TENGO MIEDO....
𝒦𝒶𝓇𝑒𝓃,@karennlpz,2021-03-05T22:41:33.000Z,Mi papi ya tiene su primera dosis de la vacuna contra el covid 
Calabaza Nutritiva,@nancyn_17,2021-03-05T22:33:18.000Z,Primera experiencia con la vacuna del covid: me dolió más cuando me pusieron la vacuna contra la hepatitis A y B. Esas mierdas de la hepatitis si me dolieron a la hora de ponerme
"eve
(ia
)",@jjsuhn,2021-03-05T22:32:50.000Z,"a un muchacho le operaron la cabeza con un taladro de carpintería, la infrastructura de los colegios y las escuelas es miserable, no hay medicamentos para tratar el covid y la vacuna si que es para gente privilegiada y con plata, además +
#EstoyParaElMarzoParaguayo2021"
Lou,@wheres_lou,2021-03-05T22:29:31.000Z,"Mi mama diciéndome que estoy loca porque tenia una cita para colocarme una vacuna contra el covid en su ultima fase de un estudio clínico
. Mi mamá después de decirle que me dieron plata"
Pablo Guzman Devoto,@pguzman60,2021-03-05T22:28:32.000Z,"Q orgullo sentí hoy, luego de mi vacuna COVID  , tremenda  organización en Requinoa mis  felicitaciones  a todos los funcionarios d salud y al Gobierno x su tremenda gestión, las crisis mas grande d esta década , terremoto y COVID han sido gestionadas por la derecha de este país."
Maribel,@msslibra13,2021-03-05T22:27:29.000Z,"Esta es una nota informativa que se ha divulgado entre los sanitarios en Cataluña.
Ya se reconoce la gran cantidad de efectos secundarios que provoca la vacuna COVID y se recomienda sólo comunicar las más graves para no colapsar el ""sistema""

Esta nota es "
Cristian P. S.,@PREDIGODEGOL1,2021-03-05T22:21:37.000Z,"Llena de dolor e impotencia saber que murieron médicos peleando contra el covid, sin recibir la vacuna siendo esenciales, más tristeza causa saber que los amigos de Gines hoy están vacunados, injusticias."
J.R.R SANTACRUZ®,@jrrsantacruz,2021-03-05T22:18:00.000Z,"Un estudio del gobierno británico confirma el riesgo de la vacuna Covid-19: las infecciones AUMENTAN quince días después de la vacuna. Cualquiera que exprese su preocupación por la seguridad de las vacunas Covid-19 se enfrenta a la burla como un 'anti-vacunas',"
Albany Orellana,@JustAlbany,2021-03-05T22:14:34.000Z,Gente: Que estes vacunado no quiere decir que no te vayas a contagiar. La vacuna es para que no te mueras de COVID
terragalega1965,@terragalega1965,2021-03-05T22:13:19.000Z,"La leyenda de la música country Dolly Parton probó su propia medicina el martes cuando recibió una dosis de la vacuna COVID-19, cuya investigación ayudó a financiar
Tiene 75 años.
Igualito que las que fueron a vacunarse al Golfo"
JULIO CESAR RAMON,@jcesarramon,2021-03-05T22:13:10.000Z,"Felicidades a todos los médicos  ya vacunados, se lo merecen, se lo ganaron, nadie más que uds la necesitan.

A continuar con esa inquebrantable labor , a veces poca reconocida. 

#vacuna #COVID #ministeriodelrobo #putocovid"
N a t i,@NatiSalt0,2021-03-05T22:11:50.000Z,"Bueeeeeeno... acabo de anotarme para la vacuna del COVID. 
Tremendo "
𝓼𝓸,@D2_track7,2021-03-05T22:10:38.000Z,Tbh no creo que esten en retrasos unidos pero si mandaron a bangtan a ese pais apestado de covid espero que al menos que bang pd le haya pedido siete dosis de la vacuna rusa a gines sino bitch i swear to god
NiquiFlower,@nigzuMuts,2021-03-05T22:06:18.000Z,Essalud ya no me deja registrar a mi papá para la vacuna covid 
Quico,@quicovm,2021-03-05T22:02:26.000Z,"Hola 
@AnaDeRogatis
 , tanto tiempo. Vos que llevas la comunicación de 
@CosseCarolina
 , ¿nos podrías informar cuando se agendó para darse la vacuna contra el COVID 19?

Muchas gracias y saludos. Buen fin de semana."
Argenis Madriz,@amg9847,2021-03-05T22:00:19.000Z,"#Coronavirus: Es posible que la vacuna COVID-19 de Sinovac Biotech no desencadene suficientes respuestas de anticuerpos contra una nueva variante identificada en Brasil, según muestra un estudio de laboratorio con una pequeña muestra."
𝓒𝓲𝓼𝓷𝓮,@cisne_1990,2021-03-05T21:56:56.000Z,"Renuncia el ministro de gobiernos! Se supone que se debe cumplir con los protocolos de bioseguridad en 1er lugar para evitar contagios 
 (también les da Covid a los funcionarios del estado, asi hayan tramitado su vacuna con el MSP, ej. La sra de comunicación); en 4 años ..s"
Nahum Valladares,@nvalladares61,2021-03-05T21:56:46.000Z,"Yo no critico a las personas que han salido a otros países a aplicarse vacuna contra el Covid, cualquiera sea esta. Es un decisión personal y de salud. Mientras los que no lo hemos hecho a seguir cuidandonos y esperar nuestra oportunidad."
Cecilia,@Chilanglik_,2021-03-05T21:55:25.000Z,"- ""En Venezuela tenés una vacuna contra el COVID, ¿no?""

- No, señor. No crea en nada de lo que dice Maduro. Se agradece."
