,Nombre de usuario,Usuario,Fecha,Texto
286,MinSaludCol,@MinSaludCol,2021-03-07,"En Mitú, Vaupés, el ministro 
@Fruizgomez
 y su equipo, revisaron de primera mano el proceso de vacunación en el territorio. 
 
Conoce detalles de su visita 
 http://bit.ly/3quDzn2"
285,Secretaría de Salud,@salud_atlantico,2021-03-07,"Las vacunas contra el Covid-19 protegen, son #SegurasYEfectivas

Vacunarse es un paso que nos permitirá regresar a la normalidad y protege de enfermar gravemente o morir.

#AtlánticoConVida"
2601,Secretaría Distrital de Salud,@SectorSalud,2021-03-07,"Gracias al crecimiento en la capacidad UCI garantizamos atención de alta complejidad a todo paciente que lo ha requerido. Llevamos #UnAñoSalvandoVidas con mayor capacidad de atención, pero también con el compromiso del autocuidado de todos los ciudadanos"
2600,Alcaldía de Bogotá,@Bogota,2021-03-07,"¡No descuidamos un solo minuto la reactivación económica! Con 106 mil empleos generados y el apoyo a más de 35 mil empresas, superamos la meta que nos propusimos en el 2020. #UnAñoSalvandoVidas"
235,Alcaldía de Bogotá,@Bogota,2021-03-06,"No ha sido fácil ver cómo familiares y amigos nos dejaron por este virus. Hoy los honramos y en su memoria nos levantamos más fuertes. 

Un año después, #BogotáRenace. Hoy, cuidándonos y con el avance progresivo de la vacunación, seguimos saliendo adelante. #UnAñoSalvandoVidas"
2616,Alcaldía de Bogotá,@Bogota,2021-03-06,"En un año en el que nuestros héroes y heroínas de la salud lo han dado todo, lo correcto era honrar su trabajo y nosotros honrar nuestra palabra. Por eso en 2020 avanzamos en el proceso de formalización laboral, para brindarles condiciones de empleo más dignas #UnAñoSalvandoVidas"
2628,Secretaría Distrital de Salud,@SectorSalud,2021-03-06,"""Bogotá terminará de vacunar a la totalidad de la primera línea de atención en salud con las dosis Pfizer en este fin de semana. Los grandes hospitales ya todos fueron cubiertos"": secretario 
@AlejandroGL2014
. #UnAñoSalvandoVidas"
2629,Secretaría Distrital de Salud,@SectorSalud,2021-03-06,Este sábado rendiremos homenaje a quienes nos han dejado a causa del COVID-19. Súmate agitando un pañuelo blanco desde tu ventana. ¡Pasa la voz! #UnAñoSalvandoVidas
65,Claudia López,@ClaudiaLopez,2021-03-06,"Bogotá quiere contribuir al esfuerzo global de vacunación contra el coronavirus, por eso presentamos a 4 países y a 3 compañías farmacéuticas una propuesta formal para instalar la capacidad de producir vacunas en nuestra ciudad. 

#UnAñoSalvandoVidasBogotá propone montar centro de producción de vacunas COVID-19
Después de un año de superar retos, con la vacunación en marcha, la ciudad se alista para afrontar el segundo año de la emergencia. Radicó una ...
elespectador.com"
2626,Alcaldía de Bogotá,@Bogota,2021-03-06,"#UnAñoSalvandoVidas

En medio de las dificultades y gracias a la dedicación del personal médico del hospital Santa Clara, Amparo Álvarez, paciente de 65 años con cáncer cervical, logró superar el covid-19 tras estar internada en una unidad de cuidados intensivos."
2621,Alcaldía de Bogotá,@Bogota,2021-03-06,"Este es el emotivo momento en que Ana Cáceres se reencuentra con su familia después de una dura batalla contra el COVID-19 que libró durante dos meses en una UCI del hospital El Tunal #HistoriasQueInspiran #UnAñoSalvandoVidas1:52
644 reproducciones"
2620,Presidencia Colombia,@infopresidencia,2021-03-06,"#JuntosFrenteAlCovid | Más de 147 mil hogares del campo colombiano se han beneficiado con un subsidio de $12.400 mensuales en la factura del servicio de acueducto, una medida del Gobierno del Presidente 
@IvanDuque
 para promover el autocuidado en los hogares en zona rural."
133,Alcaldía de Bogotá,@Bogota,2021-03-06,"En la primera etapa de la vacunación, según la disposición del Gobierno Nacional, se priorizarán las poblaciones con mayor riesgo de enfermar o morir por coronavirus, según criterios de edad, presencia de enfermedades crónicas y riesgo de contagio #BogotáSeCuida"
2622,Secretaría Distrital de Salud,@SectorSalud,2021-03-06,"#UnAñoSalvandoVidas El Jardín de la Esperanza y el bosque El Abrazo, un homenaje a los héroes y heroínas que ofrendaron su vida para cuidarnos y a todas las personas que fallecieron por causa del covid-19. Bogotá nos los olvida"
2617,Alcaldía de Bogotá,@Bogota,2021-03-06,"#UnAñoSalvandoVidas | Hemos hecho un esfuerzo enorme para aumentar nuestra capacidad hospitalaria, un logro que le deja a Bogotá una fortaleza para afrontar futuras crisis sanitarias."
2618,MinSaludCol,@MinSaludCol,2021-03-06,"#JuntosFrenteAlCovid Reconocer la labor del personal de la salud
 ha sido nuestra prioridad. Por eso creamos el reconocimiento al talento humano en salud de 1ª línea, por el que se han girado más de 382 mil millones a 251.599 profesionales"
18,Ramiro Barragán,@RamiroBarraganA,2021-03-06,"Los campesinos también son héroes en esta pandemia. Ellos alimentaron el país cuando todo se detuvo; nuestro deber es apoyarlos.

Nuevamente ponemos al servicio la 
@SAgriculturaBoy
 para cumplir lo acordado aquí y afrontar la crisis que viven las familias paneleras de Boyacá"
188,Gobernación del Huila,@HuilaGob,2021-03-06,"#HuilaCrece 
 
Se extiende hasta finales de mayo emergencia sanitaria en el #Huila 

La medida responde a lineamientos del Gobierno Nacional y al reto que implica el plan de vacunación. Las determinaciones se tomaron en Consejo Departamental para Gestión del Riesgo de Desastres."
132,Supersalud,@Supersalud,2021-03-06,#GrupoÉliteSNS visitó las #EPS Compensar y Aliansalud para verificar cómo se vienen alistando para la jornada de vacunación masiva contra el #Covid_19 I #SeguimientoALasVacunas
2625,Alcaldía de Bogotá,@Bogota,2021-03-06,"Gracias al crecimiento en la capacidad UCI garantizamos atención de alta complejidad a todo paciente que lo ha requerido. Llevamos #UnAñoSalvandoVidas con mayor capacidad de atención, pero también con el compromiso del autocuidado de todos los ciudadanos"
242,Alcaldía de Bogotá,@Bogota,2021-03-06,"Por ellos uno está otra vez viviendo'. Lizardo pasó por una UCI de la 
@SubRedSur
 debido a que su estado de salud empeoró por el COVID-19 

Este es su agradecimiento al equipo de médicos, enfermeras, auxiliares, camilleros y todo el personal que lo atendió #UnAñoSalvandoVidas"
2619,MinSaludCol,@MinSaludCol,2021-03-06,"#JuntosFrenteAlCovid El 2021 llegó con grandes retos en la atención de la COVID-19 y en el desarrollo del Plan Nacional de Vacunación
 a pesar de haber transcurrido 2 meses, son muchos los hitos alcanzados. 
 Conócelos ingresando a http://bit.ly/HitosCOVIDCol2021…"
241,Gobernación de Santander,@GobdeSantander,2021-03-06,"Según 
@MinSaludCol
 Santander presenta 117 nuevos contagios de COVID-19 y, desafortunadamente, 12 personas fallecidas a causa del virus. En el departamento se registra un total de 91.850 casos."
2609,Presidencia Colombia,@infopresidencia,2021-03-06,"Para continuar garantizando el desarrollo motor de niñas, niños y adolescentes, el 
@ICBFColombia
 creó la plataforma digital #MisManosTeEnseñan como modelo de atención pedagógica y lúdica remota para permanecer #JuntosFrenteAlCovid"
2610,Alcaldía de Bogotá,@Bogota,2021-03-06,"Hoy rendimos homenaje a quienes nos dejaron a causa del COVID-19. Como símbolo de que su energía vital sigue con nosotros, creamos en honor a ellos el Jardín de la Esperanza, en la Secretaría de Salud, y el Bosque El Abrazo, en la reserva Thomas Van Der Hammen #UnAñoSalvandoVidas1:47
420 reproducciones"
2608,Presidencia Colombia,@infopresidencia,2021-03-06,"Actuamos #JuntosFrenteAlCovid para estructurar el plan de recuperación económica, generar equidad y promover bienestar por medio de esfuerzos conjuntos de inversión pública, alianzas público-privadas e inversión privada, priorizando más de 400 proyectos por más de $160 billones."
224,Presidencia Colombia,@infopresidencia,2021-03-06,"#JuntosFrenteAlCovid | ¿Sabías que el programa Ingreso Solidario fue creado por el Gobierno Nacional, en medio de la pandemia, con el fin de mitigar el impacto económico en los hogares en situación de pobreza y vulnerabilidad, que no eran beneficiarios de programas sociales?"
2624,Alcaldía de Bogotá,@Bogota,2021-03-06,"#BuenasNoticias 
Bogotá terminará de vacunar a la totalidad de la primera línea de atención en salud, este fin de semana.
A partir del martes a las 6:00 a.m. vamos a comenzar a vacunar a la totalidad de mujeres y hombres mayores de 80 años de la ciudad.

#UnAñoSalvandoVidas"
258,Alcaldía de Bogotá,@Bogota,2021-03-06,"#UnAñoSalvandoVidas 
  ¡La vida brilla en medio de las dificultades!

Alcira Garzón, adulta mayor que padeció COVID, hoy tiene otra oportunidad de vivir tras pasar por una UCI de 
@SubRedNorte
. Ella y su hija cuentan la historia y agradecen al personal de salud que la atendió"
260,Alcaldía de Bogotá,@Bogota,2021-03-06,"Así fue el homenaje solidario de 
@PoliciaBogota
 a quienes nos han dejado a causa del COVID-19. 

#UnAñoSalvandoVidasCitar Tweet
Mayor General Oscar Antonio Gómez Heredia
@PoliciaBogota
 · 7h
#HeroeDelCuadrante |Unidos en este sentido homenaje solidario 
a lo largo y ancho de nuestra hermosa capital  #UnAñoSalvandoVidas 
@Bogota 
@MinSaludCol"
2623,Presidencia Colombia,@infopresidencia,2021-03-06,"#JuntosFrenteAlCovid | En marzo de 2020, el Gobierno del Presidente 
@IvanDuque
 ordenó que se reconectara el servicio de agua para quienes lo tenían suspendido por falta de pago, garantizando que todas las familias pudieran protegerse del virus."
2615,Presidencia Colombia,@infopresidencia,2021-03-06,"En 2020 fortalecimos nuestros procesos de inclusión productiva y nos adaptamos a lo que conocemos como la nueva normalidad. Con la iniciativa #TiendasParaLaGente, nos enfocamos #JuntosFrenteAlCovid en la reactivación económica segura y para todos."
0,Supersalud,@Supersalud,2021-03-06,"@Supersalud
 Fabio Aristizábal visitó el departamento de #Boyacá para conocer de primera mano las necesidades que se presentan en materia de salud, así como verificar el avance del Plan Nacional de Vacunación y Estrategia PRASS."
2605,Alcaldía de Bogotá,@Bogota,2021-03-06,"#UnAñoSalvandoVidas | Esta administración logró beneficiar con Matricula Cero a 23 mil estudiantes de la 
@Udistrital"
2607,Alcaldía de Bogotá,@Bogota,2021-03-06,"Este fue #UnAñoSalvandoVidas y conscientes de que los ciudadanos necesitaban canales de atención e información, aumentamos en 262% la capacidad del Centro Regulador de Urgencias y Emergencias."
2613,Alcaldía de Bogotá,@Bogota,2021-03-06,"En nuestra estrategia de cuidado a la red hospitalaria y a los ciudadanos, iniciamos con nuestro plan de Atención Médica Domiciliaria. #UnAñoSalvandoVidas"
11,Territorial de Salud de Caldas,@saluddecaldas,2021-03-06,"En los municipios de Salamina, Aranzazu y Marmato, entre otros, continúa la vacunación contra la Covid-19. Con un gran compromiso de nuestros hospitales se protege inicialmente al personal de salud, luego seguirán los adultos mayores de 80 años institucionalizados."
10,Presidencia Colombia,@infopresidencia,2021-03-06,"Desde el inicio de la pandemia, 
@ICBFColombia
 flexibilizó servicios de atención en seguridad alimentaria, pedagogía y prevención de violencias. Garantizamos el bienestar de 1.700.000 niñas/os de 0 a 5 años, en todo el país. #JuntosFrenteAlCovid"
2612,Presidencia Colombia,@infopresidencia,2021-03-06,"Durante la pandemia trabajamos para garantizar la seguridad alimentaria de comunidades étnicas. Es así como nace #ManosQueAlimentan, promoviendo en los hogares, la producción de alimentos y la adopción de prácticas alimentarias saludables. #JuntosFrenteAlCovid"
2611,Secretaría Distrital de Salud,@SectorSalud,2021-03-06,"Hemos fortalecido la Atención Médica Domiciliaria para llegar hasta los hogares de los bogotanos, en alianza con las EPS de la ciudad. Así, juntos, llegamos más lejos #UnAñoSalvandoVidas"
257,Alcaldía de Bogotá,@Bogota,2021-03-06,"Juntos somos más fuertes y llegamos más lejos. Por eso, en alianza con las EPS de la ciudad, construimos una sola red articulada para la respuesta al COVID-19 a través de la Atención Médica Domiciliaria, más cerca de los ciudadanos #UnAñoSalvandoVidas"
2603,Alcaldía de Bogotá,@Bogota,2021-03-06,"#UnAñoSalvandoVidas y oportunidades. Con la creación de la Agencia Distrital para la Educación Superior, Ciencia y Tecnología (Atenea) más de 20.000 jóvenes podrán acceder a educación superior."
