,Nombre de usuario,Usuario,Fecha,Texto,sentiment_value
26,Cindy Borrero V,@CindyBorreroV,2021-03-04T00:31:41.000Z,sueño con el día donde en colombia los debates políticos estén llenos de argumentos y no especulaciones necesitamos un vacuna para desarmar los discursos de odio,0
27,orlando medina,@kiriphuphadon,2021-03-04T00:12:08.000Z,elcartelmamario no la vacuna para los jóvenes de colombia sera vacunado en 2030 juanpalaguna carlosmiracm dani3palacios,0
28,victor Duque,@victorD26211330,2021-03-03T23:30:56.000Z,es tan buena la vacuna contra el covid19 que han vacunado 169000 personas en colombia y ya se acabó la pandemia,0
29,Francisco Zarate Barrero,@franciszarate69,2021-03-03T23:05:36.000Z,sr minsaludcol cgrcolombia infopresidencia una pregunta que hacen con frascos vacios de la vacuna covid19 que control hay de que no los rellenan con agua,0
30,federico fulleda,@fefulle,2021-03-03T22:59:29.000Z,la industria farmacéutica d eeuu pidió al gob d biden sanciones contra hungría colombia y chile xq buscan producir la vacuna contra el covid19 desconociendo la propiedad intelectual informó hoy el portal la intersección es extraño q se mencione a col en esta información,0
31,Rafael,@pocholo693,2021-03-03T22:52:51.000Z,cuba ya casi tiene su propia vacuna mientras colombia solo prepara laboratorios de coca,0
32,El Conde Montecristo,@Ervasa2,2021-03-03T21:49:13.000Z,perú colombia ecuador venezuela reino unido estados unidos etc etc etc no permiten que los privados vendan la vacuna contra el covid19 sin embargo acá en perú joden y joden los ricos que están apurados dejen ya trabajar al gobierno carjo 1,0
33,Daniel Amaya,@dmauricioamaya,2021-03-03T19:41:24.000Z,cuba ya está en tercera fase de ensayos clínicos de la vacuna contra covid en colombia todavía estamos mirando los efectos secundarios del noxpirin ,0
34,JΛNDR3S,@JANDR3S__,2021-03-03T17:48:29.000Z,porcentaje población q ha recibido al menos una dosis de vacuna contra covid19datos al 02032021chile 188 brasil 32 costa rica 2 argentina 18 méxico 16 perú 09 colombia 03 ecuador 02 r dominicana 02 honduras 01 paraguay 01 our world in data,0
35,Ignacio Posse Molina,@IgnacioPosseMol,2021-03-03T17:28:51.000Z,emergenciacovidmarzo21 quienes han tenido anteriormente covid se contagian de vuelta con la nueva cepa que contagia a brasil la vacuna sinovac no la detiene se ignora las otras hay que cerrar el ingreso desde los países más afectados brasil sudáfrica perú y colombia,0
36,Nuria Ubeda,@xana283,2021-03-03T17:08:27.000Z,estas acaloradas de salvameoficial que averigen si la ministra de exteriores se fue a colombia sin vacunatururu belenestebanm carlotallauger mariapatino kikohernandez,0
37,CICR Colombia,@CICR_co,2021-03-03T16:18:51.000Z,todas las personas deben tener acceso a la vacuna contra el covid19incluso las personas afectadas por conflictos armados en zonas alejadas de los cascos urbanosnadie estará a salvo hasta que todos lo estemos,0
38,Ashima,@ashima7,2021-03-03T14:50:10.000Z,señores migracioncol una persona que ya haya recibido la vacuna y cuente con el certificado que así lo acredita debe presentar prueba pcr para ingresar a colombia quedo atenta a su respuestamuchas gracias,0
39,falavi2005,@falavi2005,2021-03-03T13:15:37.000Z,palabras que nos deja la pamdemia 2 cuarentena de 8 y 15 dias biolóhicos o seaporno decir vacuna pfizer niño en malambo cremacion más de 52000 en colombia prisentador tvpresidente y no olvidar que somos polombianos,0
40,ElProfe,@ElProfe46254611,2021-03-03T12:09:06.000Z,en brazil se han vacunado el 35 de la población y ayer tuvieron1600 muertes por covid ya que la gente se relajó con la llegada de unas pocas vacunasen colombia solo el 04 de la poblacion y quieren que salgamos a todo alerta no nos confiemos el virus está y la vacuna no,0
41,Coronavirus NEWS,@CoronavirusNewv,2021-03-03T11:22:36.000Z, suramérica dosis de vacuna astrazeneca para suramérica a entregar antes de mayo a través de covax brasil 9122400argentina 1944000colombia 2066400perú 1296000chile 818400ecuador 756000paraguay 304800uruguay 148800diegofuerteb,0
42,Camila,@camilam_l,2021-03-03T02:16:33.000Z,el individualismo de colombia es increíble por qué es tan difícil entender que si 35 millones de personas están vacunadas las probabilidades de contagio serán menores claro que todxs debemos ser vacunados pero con 35m todo será mucho más fácil así tú no tengas vacuna aún,0
43,Carlos De Arco M,@CarlosDeArcoM,2021-03-03T02:03:55.000Z,primer caso de covid en córdoba de sahagun primer caso incompatible con la vacuna en colombia de sahagun ay mi pueblito mi pueblito,0
44,Duque,@anduque91,2021-03-03T00:22:35.000Z,jajajajaja no puedo creer que el gobierno invirtió dinero en un comercial de horario aaa para aclarar que la vacuna no tiene chip lo mejor de colombia es su gente,0
45,BluRadio Colombia,@BluRadioCo,2021-03-03T00:14:25.000Z,alaire nos conectamos con carlos andrés vasco secretario de salud de córdoba habla sobre el caso de una enfermera que tuvo una posible reacción alérgica a la vacuna contra coronavirus en yomecuidoyotecuido,0
46,Coronavirus NEWS,@CoronavirusNewv,2021-03-02T22:15:59.000Z, suramérica dosis de vacuna astrazeneca para suramérica a entregar antes de mayo a través de covax brasil 9122400argentina 1944000colombia 2066400perú 1296000chile 818400ecuador 756000paraguay 304800uruguay 148800diegofuerteb,0
47,Mauricio Vanegas,@Marovaan,2021-03-02T22:08:18.000Z,el mecanismo covax confirmó que colombia recibirá más de dos millones de dosis de la vacuna contra el covid19 en los próximos tres meses,0
48,Via Pública Colombia,@ViaPublicaCol,2021-03-02T20:34:03.000Z,alaire diego rafael pérez la eps está obligada a informar a las personas del momento de vacunación desde la página de compensar podemos actualizar la información de cada paciente y ahí nosotros administramos la fecha para la aplicación de la vacunacompensarinfo,0
49,JOSE DARIO FORERO,@JOSEDARIOFORER1,2021-03-02T20:06:14.000Z,colombia un supermercado de superficie tiene esta oferta en letras grandes seis unidades de leche alqueria a mitad de precio hasta el 03 de marzo en letras pequenas solo si compra un segundo paquete adivinen cual es el supermercado y se ganan una vacuna gratis,0
50,zorrojusticiero,@zorrojusticier5,2021-03-02T19:30:39.000Z,hay un tema al que veo que no se le esta plantando suficiente cara y debate me refiero al liberación de la patente de la vacuna para que los países pobres como colombia puedan producir sus propias vacunas qué ha pasado con eso wilsonariasc gustavobolivar mirandabogota,0
51,Mr. Nameless,@mr_nameless9,2021-03-02T18:33:51.000Z,en colombia el hampa reina en todos los estratos sociales y hasta la dian siendo efectivo cobrando la vacuna para que los congresistas sigan teniendo vida de oligarca noticiascaracol,0
52,SoyYo,@pienselobien,2021-03-02T18:09:51.000Z,el enlace para la compra de la vacuna rusa era la embajada de rusia en colombia pero ya sabemos que fue lo que hizo el gobierno uribista para que nos jodieramos todos,0
53,Nestor Toro,@NestorT12798625,2021-03-02T18:03:18.000Z,la vacuna contra el covid 19 se aplica en colombia a cuenta gotaslo que no puede garantizar inmunidad totalni se aplica al concepto de inmunidad de rebaño y falta ver si las constantes mutaciones del virus no se vuelvan resistentes a la actual vacuna y cada año se requiera más,0
54,Leon,@Leon45608635,2021-03-02T18:02:29.000Z,noticiascaracolen colombia todavía hablando de primera dosis de la vacuna mientras en el resto del mundo hablan de millones de dosis aplicadas como la ven,0
55,La Hoguera Mx,@LaHogueraMx,2021-03-02T17:13:08.000Z,un total de 117 mil dosis de la vacuna de pfizerbiontech contra el covid19 arribaron a colombia para sumarlas a su campaña de vacunación es el primer país de américa latina en recibir vacunas mediante covax seguirán perú el salvador y boliviawho embamexcolcolombia primer país de al en recibir vacunas mediante covaxlahogueramx,0
56,Raadcure,@raadcure,2021-03-02T16:02:14.000Z,he aprendido que lo políticos gozan aprovechan y se lucran de las desgracias del país colombia sanandrés vacuna triste,0
57,Andrés Villa,@AndresVilla_94,2021-03-02T15:51:36.000Z,colombia está en contra de la propuesta de india y suráfrica en la omc de que la propiedad intelectual de la vacuna sea de interés global para que todos los países la puedan desarrollar y garantizar su acceso a las dosisademás de poco inteligente nada solidario,0
58,Juan Carlos Orozco A,@JuanCarci1967,2021-03-02T15:02:27.000Z,eeeeeyy petroñeros están muy calladitoscolombia primer país en latinoamérica tercero en el mundo en recibir la vacuna del covid através e covax como la ven ,1
59,JΛNDR3S,@JANDR3S__,2021-03-02T14:45:58.000Z,porcentaje de población que ha recibido al menos una dosis de vacuna contra el covid19datos hasta el 01032021chile 18 brasil 31 costa rica 2 argentina 17 méxico 15 perú 08 colombia 03 ecuador 02 rep dominicana 02 fuente our world in data,0
60,Paola Ulloa,@PolaUlloa,2021-03-02T14:39:27.000Z,en colombia no están pendientes de lo que dicta la fda ayer llegó un importante cargamento de la vacuna covax,0
61,Victoriana ravena,@Victorianarave2,2021-03-02T13:50:52.000Z,jueputa vida comiendo mierda y eructando pollo colombia dice no a la vacuna como bien de la humanidad gratuita y universal así o más hijueputa éste gobierno,0
62,Sebas,@Sebiwis99,2021-03-02T13:44:38.000Z,hace días presente mi solicitud para un estudio clínico de la fase 3 que hace la farmacéutica alemana curevac para la vacuna contra el covid19 en colombia puedo recibir la vacuna o placebo como cualquier ensayo,0
63,Alfredo Martínez,@guatire59,2021-03-02T13:33:48.000Z,muchachones buenos días cómo amanecieron la moda alquilar carros en miami y mandarlos para venezuela cómo entran y circulan tranquilamente se roban camioneta en colombia y aparece en barquisimeto la tiene un militar pura kakistrocracia cuídense ahora vacuna china,0
64,Jorge Cura Amar,@jorgecura1070,2021-03-02T12:36:14.000Z,la llegada de la vacuna a colombia va muy lento hay un porcentaje mínimo de la población vacunada ni siquiera se ha terminado la primera fase porque han llegado 400 mil dosis de cerca de un millón de personas que deben ser vacunadas expresa el senador efraincepeda,0
65,Christian Pérez.,@Christian_DPH,2021-03-02T12:32:37.000Z,ante la lentitud de la vacunacion en colombia surge esta propuestaempresas estarían interesadas en comprar vacunas para sus empleados cómo estrategia de reactivación economicaestoy de acuerdo con esta ideasiempre y cuando el valor de la vacuna no se traslade al trabajador,0
66,Lucía Bastidas Ubate,@luciabastidasu,2021-03-02T12:08:15.000Z,ojalá como lo proponen andicolombia brucemacmaster y probogotaregion pinzonbueno se puede dar la posibilidad a los privados de comercializar la vacuna ganamostodos minsaludcol invimacolombia,0
67,Bill Cooper el Legado,@Bluebeam2030,2021-03-02T06:14:44.000Z,poneteelbarbijo nadie se puso la vacuna es todo una operacion para que los boludos corran a ponersela estan haciendo lo mismo en otros paises googleen vacuna gate peru chile colombia,0
68,Cesar Augusto,@tuitearcolombia,2021-03-02T03:32:56.000Z,colombia vacuna a la velocidad de la mutación del virus o será que la mutación nos va ganando,0
69,Martha Peralta Epieyú,@marthaperaltae,2021-03-01T16:08:50.000Z,110 países pobres del planeta lucharon para que la vacuna se considerará de interés público mundialy adivinen colombia votó en contra junto a los países ricos y obstaculizó el procesoqué vergenza por qué ivan duque se niega al acceso de la vacuna,0
70,COLOMBIA SE RESPETA,@DiegoD7783,2021-03-01T15:49:39.000Z,el plan de vacunación de duque esta saliendo a la perfección el gobierno no vacuna al pueblo lo haran los privados por unos milloncitos y jugosos contratos ese es el negocio ,0
71,Rafael Martínez Galarza,@juramaga,2021-03-01T15:39:20.000Z,sin contar las que llegan hoy colombia ha recibido cerca de 292000 dosis de alguna vacuna las últimas llegaron hace 1 semana se han aplicado hasta ayer el 45 de esas dosis menos de la mitad creo que la eficiencia en distribuirlas y aplicarlas debe mejorar mucho,0
72,JΛNDR3S,@JANDR3S__,2021-03-01T15:15:14.000Z,porcentaje de población que ha recibido al menos una dosis de vacuna contra el covid19datos hasta el 28 de febrero de 2021 chile 173 brasil 31 méxico 15 argentina 16 costa rica 11 perú 08 colombia 03 ecuador 01 fuente our world in data,0
73,Dr. Jaime,@jacobo1225,2021-03-01T14:09:34.000Z,japón que comenzó la vacunación vs covid el mismo dia que inició colombia reporta la perdida de 1032 dosis 172 viales de la vacuna pfizer por daño en la regulación de la temperatura de un ultracongelador hasta el momento ese pais ha recibido 3 lotes de entrega de esa vacuna,0
74,wilyepes,@wilsony70,2021-03-01T13:29:02.000Z,que en venezuela llegaría un gob que los salvaría de la corrupción que en colombia sólo son corruptos los de derecha que uribe es paraco que la pandemia no existe que la vacuna no sirvecuantas mentiras y cuantos incautos,0
75,88.9 Noticias,@889Noticias,2021-03-01T12:52:50.000Z,colombia recibirá este lunes 117 mil dosis de la vacuna pfizerbiontech contra el covid19 del mecanismo covax será el primer país de la región en recibir vacunas a través del fondo de acceso global oh,0
76,Carlos Viguria,@cviguria,2021-03-01T11:59:33.000Z,lo cierto de toda la polémica de la compra de vacunas por empresas privadas me parece que nada pueden hacer cuando la vacuna sigue siendo un bien escaso en el mundo tanto que ni en chile y colombia reciben sus dosis de a pocos,0
77,Carlos Arturo Álvarez Moreno,@AlvarezMorenoC,2021-03-01T10:37:19.000Z,la usfda autorizó la distribución de la vacuna ad26 contra covid19 janssen la autorización se basa en los resultados del estudio fase 3 en 39321 voluntarios con una eficacia del 67 la gran ventaja dosis única y solo requiere 4 c colombia ya adquirio 9 millones,1
78,"Mariadelross
⚘",@Ross0379,2021-03-01T03:11:26.000Z,de los mismos creadores del sarscov2 coronavirus llega a colombia la vacuna sinovac,0
79,DEV,@redsucial,2021-03-01T02:02:45.000Z,la vacunación masiva en colombia comienza el 13 de marzo pero de 2022 el día de las elecciones a congreso vacunatamal,0
80,Óxido Velasquez,@OxidoVelasquez,2021-03-01T01:43:31.000Z,inconcebible que el gobierno duque se haya opuesto a la liberación de patentes para producir la vacuna contra el covid19 no sólo fue negligente y torpe para negociar las vacunas para colombia sino que impidió que los países pobres tuvieran acceso rapido a la vacuna,0
81,Maria Victoria Saade,@toyasaade,2021-03-01T01:33:12.000Z,así que colombia no está en el grupo de países que piden liberar patentes para producir la vacuna de manera generalizada a que jugamos cuanto muertos más se necesitan siempre estamos del lado equivocado de la historia,0
82,Sherazada,@Sherazada1,2021-03-01T00:54:10.000Z,celebramos aprobación para colombia de vacuna de jhonsonjhonsonuna sola dosis y se conserva a temperaturas de refrigerador masbiologicos ,0
83,tengo que decirlo...,@LoMujer,2021-03-01T00:49:19.000Z,no olviden que en colombia los muertos votan por el uribismo esa es la razón por la que a duque no le preocupa demorar la vacuna,0
84,Jaime Uribe Botero,@jaimeuribebo,2021-02-28T18:10:40.000Z,noticiascaracolmineducacion en colombia de han contagiado 250000 niños y muerto más de 200 en la sgmno se abrieron escuelas ñ perro la vida podriamos lamentar más muertos y enfermos por irresponsabilidad la guerra no termina y la vacuna dudosa no arregla el problemq,0
85,BluRadio Colombia,@BluRadioCo,2021-02-28T16:16:22.000Z,alaire nos conectamos con el periodista juan camilo cortés quien nos habla sobre los testimonios de las personas que ya recibieron la vacuna del coronavirus en saladeprensablu,0
86,Pedro Pascasio Guerrero,@PascaGuerrero,2021-02-28T15:52:07.000Z,en qué ciudad de colombia se presenta hoy el show de la vacuna,0
87,"Hernando Franco
EDIL SANTA FE",@HernandoFranc0,2021-02-28T13:27:44.000Z,chile logro vacunar en sus primeros 11 días a 18 millones de personascolombia en 13 días apenas ha logrado vacunar a 114042 personaspor qué aún sigue el ministro fruizgomez en el cargo a fecha de hoy no deberían haber vacuna por lo menos a 850 mil personas,0
88,Chucho Martinez,@chumarte_,2021-02-28T13:18:06.000Z,pasto cuba produce 8 de las 12 vacunas para niños y las exporta a 30 países ya tiene lista la vacuna contra el covid qué regalará a países pobrescolombia dejó de producir vacunas humanas en 1999 depende de la compra a otros países,0
89,Emel Aguilar,@EmelAguilar3,2021-02-28T13:11:11.000Z,mientras en otros paises las personas en condicion de discapacidad los priorizaron para aplicarles la vacuna sin importar su edad aca en colombia los desconocieron como siempreque tal gobierno,0
90,Noticias de Colombia,@Noti_Col,2021-02-28T07:04:34.000Z,vacuna rusa sputnik v el animal que reinará en el barrio perdomo en la selección,1
91,JHON FREDY TRUJILLO,@trujjjilo,2021-02-28T05:00:55.000Z,los magnificos de la vacuna robaron a colombia y su programa prevencion y accion,0
92,Leidy(s) Elena.,@thesong97,2021-02-28T03:03:59.000Z,a mimir que mañana voy pa donde colocaron la primera vacuna de covid en colombia,0
93,papalitos,@AdictosAlFloro,2021-02-28T01:59:25.000Z,hasta el momento solo chile y colombia tienen acuerdo con johnson johnson para la vacuna los demás paises a esperar la iniciativa covax,0
94,Miguel Jaramillo Luján,@jaramillolujan,2021-02-27T22:58:11.000Z,yo no sé ustedes pero a mí sí me emociona ver cómo la vacuna llega antes que a muchas ciudades a la periferia a las regiones a los rincones más abandonados de colombia tremendo mensaje,0
95,Cristhian Luján,@CRISTHIANLUJAN,2021-02-27T20:49:46.000Z,plan de vacunación covid en colombiarobar dosis dañar las dosisvender vacunascrear la versión colombiana cartel de corrupción vacuna covid,0
96,HERNÁN AGUIRRE,@HernnAguirre6,2021-02-27T18:09:46.000Z,mientras en colombia el imbécil de duque espera la limosna de vovax para vacunar el 1 de la población cuba con su propia vacuna la soberana ya está aplicando la segunda dosis y pronto queda inmunizada toda su población sin tener que rogarle a nadie ni arrodillarse del imperio,0
97,PedroMartínez,@pedrotebas,2021-02-27T17:10:40.000Z,petropresidente2022por supuesto que pienso igual que millones de colombianos hoypetrogustavo será la mejor vacuna para esta colombia sufrida y maltratada por la casta política y corrupta de la casa de nariñopetropresidente2022,0
98,Camila Alvarez,@camilalv20,2021-02-27T16:28:10.000Z,que mi mamá tenga su vacuna peroooo ya que toda colombia sahagún la tengan ya padre amado ,0
99,ALEXANDER ORTIZ,@AlexanderOrtizM,2021-02-27T16:23:30.000Z,uribedestruyoacolombia porque muchos colombianos lo quisieron la vacuna siempre la hemos tenido pero la hemos desperdiciado y despreciado petropresidente2022 será la vacuna para el uribismo vamos por una colombia con justicia social e incluyente,0
100,Dora Grace Carmona B,@doracarmona79,2021-02-27T16:07:17.000Z,yo estoy feliz que ya haya iniciado la vacunación en colombia ahora a rogar que pronto se autorice la comercialización de la vacuna para que los que no estemos priorízados podamos acceder a ella,0
101,Rodolfo Matus,@rodolfomatus,2021-02-27T12:54:55.000Z,mundo al revés china que está salvando al planeta con su vacuna le parece a la señora bachelet que falta a los ddhh en cambio la horrorosa situación de colombia y los ataques y sanciones unilaterales de eeuu a los países petroleros serían de los más demócrata que hay,0
102,Sergio,@sergiocruzmejia,2021-02-27T12:12:22.000Z,petropresidente2022porque colombia necesita la vacuna contra la politiquería y corrupción de siempre lease uribismo,0
103,Daniel,@mikibastar,2021-02-27T11:56:52.000Z,dos veces al año fedegan vacuna a prácticamente todo el ganado en colombia llegan las vacunas refrigeradas a los lugares más inaccesibles del país y al gobierno le da por enviar vacunas contra el covid en bus y con mala refrigeración estamos en manos de un gobierno inútil,0
104,Cleomedes Bello Villabona,@CleomedesBelloV,2021-02-27T03:30:17.000Z,hoy en colombia hay aproximadamente 1500000 adultos mayores en el sector rural abandonadossin educación falta de servicios básicos no cuentan con pensión de vejezsin fuente de ingresos pero lo más grave no tienen ninguna posibilidad de vacuna dianasaray sorjaimes1,0
105,chikypulca@outllok.es,chikypulca@outllok.es,2021-02-27T02:33:00.000Z, atenciónla verdadera vacuna la que salvará a colombia del acabose en que nos tienen viviendo se llama petrogustavo y quiero que sea mi presidente petropresidente2022,0
106,Víctor Velásquez,@velasquezacriti,2021-02-27T02:09:58.000Z,y las noticias que faltan de vacuna covid falta que las venda un influencer falta vacunagate colombia falta que un fletero se llevo unas vacunas falta que a un viejito en soledad le aplicaron aceite como vacuna y obvio que se robaron 2 billones con compra irregular de vacunas,0
107,Lore,@LaCheve81,2021-02-27T01:42:41.000Z,mañana vacunan a mi abuela en colombia y no puedo más de la emocióoooooooooooonnnnnnnunca dudó la está esperando a ese meses 95 años y hay que escuchar a cada pelotudo que no se quiere vacunar porque la vacuna blablabla vacunénse giles,0
108,"Mariadelross
⚘",@Ross0379,2021-02-27T01:15:12.000Z,minsalud del ecuador por tráfico de influencias con la vacuna renunció veremos cuando se descubra aquí en colombia que ni se sonrojan ni renuncian,0
109,JAIME NEIRA NEIRA,@JNeiraN,2021-02-27T01:09:08.000Z,en colombia es frecuente que digamos la lengua es el azote del culomuchos decían que esa vacuna rusa sputni v era de lo peor y hasta revistasemana y vicky se inventaron una cortina de humo con espías rusos y todovamos a terminar vacunados con sinovac y la sputni v,0
110,"Blanca Flor Jimenez, PhD",@BFJ_Persistent,2021-02-27T00:39:13.000Z,queridos colombianos acabo de informarme que la vacuna de covid19 no ha llegado a colombia dónde están los embajadores consuls y otros representantes de colombia en los estados unidos unamonos y exijamospara que nuestros compatriotas reciban la vacuna inmediatamente ,0
111,Frankie®,@frank528,2021-02-26T23:49:15.000Z,cuando llegó la vacuna pfizer dijeron que colombia sería otra israelestarían hablando del muro de los lamentostolaymaruja gabodelascasas actualidadpanam mdefrancisco12 monyrodriguezof clamoralesm danielsampero arielanaliza mjduzan johafuentes alexandramonto,0
112,CICR Colombia,@CICR_co,2021-02-26T23:30:00.000Z,para 2021 deseamos que la vacuna contra el covid19 sea universalmente accesible apoyo a sobrevivientes de violencia sexual que la salud mental se considere tan importante como la salud física que el conflicto no siga causando consecuencias entre los civiles,0
113,Eduar Enrique Feria,@feria_eduar,2021-02-26T23:19:45.000Z,los adultos mayores tienen que ir a hacer fila por la vacunapero cuando necesitan el voto de los viejitos los van a buscar a la casa y en carroes colombia mi hermano,0
114,Minion Colombia ®,@MinionColombia,2021-02-26T21:45:50.000Z,johnson y johnson que tan cierto es que van a vender su vacuna en 120000 ,0
115,Manuvalluno,@ManuelFdoGV,2021-02-26T21:33:19.000Z,la única vacuna segura en colombia es la reforma tributaria cada año,0
116,Juan C Romero,@juankitaromero,2021-02-26T21:21:44.000Z,uribedestruyoacolombiacuando uribe habla miente cuando calla encubre cuando tiene poder roba cuando no lo tiene destruyetodo lo destruye uribe es el virus de colombiaponte tu vacuna ya ,0
117,Benkos Biohó,@BenkosBioh3,2021-02-26T21:20:24.000Z,colombia no se aventuró a desarrollar ningún proyecto de vacuna contra el covid19 la razón es que en este país no se hace nada todo se compra hecho,0
118,Toni Mvdeo,@MvdeoCity,2021-02-26T19:18:24.000Z,último momento colombia pone en cuarentena 6 mil dosis de la vacuna sinovac por presentar aumento en la temperatura de 93 c superando lo que recomienda el fabricante uruguay mspuruguay,0
119,Arturo Rodriguez,@arturo2driguez,2021-02-26T18:30:40.000Z,señores pgncol y cgrcolombia quedará impune la negligencia de quiénes dañaron 5777 dosis de la vacuna por ordenar enviarlas por tierra a ibagué,0
