username,location,text
GoberArauco,"André Bello 215, Lebu","#Lebu. El gimnasio ha sido uno de los recintos de vacunación que se ha dispuesto para que los funcionarios de la DAS y de la @seremidesaluda cumplan los protocolos de forma exitosa donde profesores y adultos  de 60 años han concurrido, de acuerdo, al calendario.
#YoMeVacuno https://t.co/M0xdzsB6AP"
Macalizanach,"Concepción, Chile",Alguien sabe de algún centro de vacunacion mañana sábado??? #YoMeVacuno
sanidadgob,"Madrid, España","🔵 Actualización del informe de actividad de #vacunación en España: https://t.co/wB3M8T2Fsl

🖥 Infórmate en: https://t.co/FEl0ROiPQV

#YoMeVacuno https://t.co/Ahwk6dWu32"
asocimano,,"Cómo Asociación y profesionales de la salud le decimos que sí a la vacuna! Súmate para que puedas seguir salvando a los demás.

#dilesialavacuna #yomevacuno #covid #coronavirus #asocimano #medicos #cirujanos https://t.co/agx7P5VHRy"
fuegolento9,,@CristobalLira #YoMeVacuno @pdazan @lo_barnechea .. sin stock de vacunas y muchos vecinos esperaron horas para quedar sin ser inoculados... será q vacunaron más de la cuenta?..
FiscalOrgia,,"Me entero por La Tercera que ya se han administrado más de 283 mil millones de dosis de la vacuna. Algunos habitantes de las colonias de Marte, Júpiter, Saturno y Venus han reportado reacciones después de recibirla. #YoMeVacuno https://t.co/jRKwXIfYfX"
bakernany3,Uruguay,"@MayraCanepa1983 @Estabocaesmia12 @teledoce Si te contagias, no será un caso grave, no vas a CTI, te parece poco? Sabes cuántos salen caminando del CTI? #YoMeVacuno
#YaEstoyAgendada"
bfaruelo,Uruguay ,"Hace como la señora y pone el brazo, aunque te duela #yomevacuno https://t.co/h5HLdYZ28P"
INPEC_Colombia,Bogota,"Con esperanza y alegría, los privados de la libertad adultos mayores del Establecimiento Penitenciario de Silvia (Cauca), reciben la vacuna contra el #Covid19. https://t.co/TJSTPQ6hIO"
VoceriaOHiggins,"Rancagua, Chile",👉🏼 📺 Seremi de Gobierno @Al_AlvarezV fue entrevistado por Diario El tipógrafo donde abordó la reforma para mejorar las pensiones y el avance del Plan #YoMeVacuno en O’Higgins con más de 239.000 vecinos ya inoculados🍃 https://t.co/GBK6cBTLhY
JHORDAN_JCO,"Ohio, USA","El que necesite la vacuna del corona en Colombia que me avise, se venden."
GoberArauco,"André Bello 215, Lebu","#Contulmo
Funcionarias del Hospital Contulmo acompañados por la @seremidesaluda , continúan su labor de vacunación contra el Covid con entusiasmo, atendiendo a los funcionarios de la educación  y adultos de 60 años. @PatricioKuhn @oscarmunoz47 
#YoMeVacuno
#cuidemosnosentretodos https://t.co/QezXx0WumM"
Araucania_Norte,"Malleco, La Araucanía","[ #YoMeVacuno ✌️]

Este es el calendario para la semana entre el lunes 8 y el viernes 12 de marzo, que incluye personas con comorbilidades y personas con discapacidad severa o profunda entre 46 y 59 años. Además se incorporan las segundas dosis de las personas ya inoculadas. https://t.co/B8OzdnhzUT"
mariannafl90,"Almería, España",@DatosAlmeria 👏🏼🙌🏼 no se puede parar! #YoMeVacuno
fidelius2010,,"@ministeriosalud #YoMeVacuno tengo 56 años, cuando me estaría tocando vacunarme?"
Daniel011965,Uruguay,"Si tu nombre es Daniel, si sos maragato, si querés a tu gente hacé como @DrDanielSalinas y @Daniel011965 ...vacunate...y si no, también! 
Somos veteranos...pero que locos bárbaros!!! 
#yomevacuno https://t.co/2nlupHGMTW"
ginniasa,,"@Leila_Nash Pasará. Apenas sentí en pinchazo, sentí el brazo un rato, al final del día no sabía ni dónde habían puesto la vacuna 🤣🤣🤣
#YoMeVacuno"
CPDerechoSalud,,"#vacuna | ""hemos alcanzado 191. 480 dosis aplicadas, de un total de 292 mil dosis que se han recibido, es decir, se han puesto 14.600 dosis diarias, desde que empezó la vacunación, este ritmo está lejos de la meta de lograr 35 millones en 2021""
Más info: https://t.co/byiS5soAaI"
SSMaule,TALCA,"Director del @ssmaule, Luis Jaime, junto a profesionales de Redes Asistenciales y Arquitectura Nacional, visitó hace un par de días, obras del nuevo Hospital de Curicó, constatando en terreno su estado de avance. #YoMeVacuno https://t.co/YmQdxeEbB8"
fuegolento9,,@lo_barnechea #YoMeVacuno @pdazan .. lo barnechea sin stock de vacunas?.. pobres vecinos q esperaron horas para ser inoculados ... seguro vacunaron más de la cuenta y ahora no les quedan dosis
opinionescl,Chile,"Christiana Figueres: “debemos hacer todo lo posible para despoblar el planeta” 
https://t.co/xGgyY3Ayf3 
#LaSerena Araucanía #Huelga5deMarzo #GremioCuliao #ProfeFlojo #PrensaBasura #YoNoMeVacuno #FalsaPandemia #ContigoCHV #Bienvenidos13"
flopereira17,Uruguay,"@AndreaTabarez ¡Qué bueno Andrea! Me alegra mucho saberlo. Juntos vamos a salir
#UruguaySeVacuna 
#YoMeVacuno"
pablo2311,Montevideo/Uruguay,#YoMeVacuno ...el martes.. https://t.co/23sQYPF0AF
AndreaTabarez,"Montevideo, Uruguay","Y lloré. Cuando me enteré que vacunaron a quien tanto quiero y que tanto hemos cuidado este año por su riesgo, lloré. La vacuna es el principio del fin para la pandemia en el mundo, y para los uruguayos es mucho más q eso: es tener una causa en común. #yomevacuno #Uruguaysevacuna"
claurado,,"#YoMeVacuno favor respuesta

Hola buen día. Cómo se procede con los trabajadores de Un centro Visual ? Trabajamos a diario con pacientes que padecen patologías corneales complejas más laboratorio de fabricación, rubro óptica RUT 76080723-0.
No tenemos acceso aún a la vacuna"
LentoBio,,#YoMeVacuno (cuando me toque) https://t.co/NCWqLqK29L
mmabiobio,"Concepción, Región del Biobío","El equipo de profesionales de la salud en Hualqui sigue vacunando con mucho entusiasmo. Han sido largas jornadas, y las personas también han colaborado a que sea un proceso tranquilo, sobre todo en beneficio de nuestros adultos mayores. #YoMeVacuno https://t.co/F4DMxc25D5"
IntendenciaRM,"Santiago, Chile","Revisa a continuación 👇  el calendario de vacunación masiva contra el #COVID_19 para la semana del 8 de marzo de marzo en la RM y el país.

👁‍🗨 Infórmate en https://t.co/BmWuInkZr7 y #CuidémonosEntreTodos diciendo #YoMeVacuno ✌️ https://t.co/H2Mx3AmI3o"
LLANEROPROBO,,@tobonsanin Hay más credibilidad en la vacuna 💉 china 🇨🇳 que la fiscalía de la República de colombia 🇨🇴!
DansPablo,"Montevideo, Uruguay",El 15 de marzo llegan 1.558.000 dosis de la vacuna Sinovac y empieza la vacunación masiva! Vamo arriba!!! Cortemos esta pandemia de una buena vez #YoMeVacuno (al final lo tuve que poner 😂).
canterak,montevideo,"@portalmvd Negacionistas, terraplanistas, oligofrenicos, Sallistas, veguistas, nazistas, inconformistas, contras
El mundo está lleno de esta gente, esperemos que con las vacunas de nosotros alcance para generar inmunidad 
#YoMeVacuno"
la_bettina,,"@DrDanielSalinas gracias Ministro por seguir la campaña y habilitar más franjas compatibles con esta vacuna. El lunes, día de la mujer, me agendé. Diabetica, hipertensa,asmática, pero puedo quiero hacerlo. #sabremoscumplir #YoMeVacuno"
MarellaSpain,,"Si os regalan en otro país una vacuna contra #COVID19 que os permite adquirir el #pasaportecovid para viajar sin problema y poder ver a vuestros familiares, os la pondríais?
#YoMeVacuno"
_Cris_20,,"Bueno, pues aunque ha costado un poco, y me ha dado apuro hacerme la foto de rigor.... ya tengo puesta la primera dosis de vacuna 😆y mis dos compis enfermeras también!!! #YoMeVacuno #VacunasCOVID19"
buptube1,,"#YoNoMeVacuno #YoMeVacuno #pandemia #plandemia #viruspolítico A eso súmale el de modeRNA que dice que hizo la vacacuna en 2 días
#despierta #covidlover #tvlover
https://t.co/GhWBqWk4Tc https://t.co/y32xHwbErc"
ScarletteJara1,,"Que hice para tener familia antivacuna...
#YoMeVacuno"
Johan_PradaC,Colombia,Uno está tranquilo por fuera pero por dentro está embolsao' #YoMeVacuno
LuisCsarIbarra4,"Rivera, Uruguay","@SoleOrtega_Uy @seracone De esa no se que decir ,lo que si puedo es hablar por mi , #YoNoMeVacuno porque:
No creo en nadie de este #Gobierno 
no creo en @ASSEcomunica 
no creo en el @MSPUruguay debido a que :
politizaron las #Vacunas,
Mercantilizaron la salud
y aun ni saben si la vacuna inmuniza"
DaleU_1927,Chile,"El país se está cayendo a pedazos con los casos diarios de Covid y los tontitos lo único que piensan es en marchar 🙃🙃
Después vamos culpando al gobierno y al resto de las personas. #YoMeVacuno #HuelgaGeneral5DeMarzo"
CruzRojaGuada,Guadalajara ,"[ #VacunasCOVID19] 
¿Dónde y cuándo debo vacunarme?
📆 La administración sanitaria te citará. 
Para entonces, ten en cuenta todas  estas indicaciones
Por mí, por ti, yo me vacuno. 
#VacunaCOVID19 #VacunasConGarantías #CruzRojaResponde #yomevacuno https://t.co/Dyu5Diexvf"
_CosaSeria,"Montevideo, Uruguay","Apenas pueda #YoMeVacuno 
Si tenés la oportunidad, por favor vacunate.
Si estas vacunado, por favor seguí cuidándote y usando tapabocas.
Si sabes de alguien que duda en vacunarse, trata de no burlarte y de darle información fidedigna sobre la vacuna y razones para vacunarse."
Ralea_Real,,"@MinSaludCol #YoMeVacuno, claro que sí... Donde putas esta mi vacuna?"
MinSaludCol,,"El Coronavirus pone en riesgo tu vida, pero vacunarte 💉 te protege contra la enfermedad grave, que significa hospitalización y muerte. #YoMeVacuno ⬇️ https://t.co/FN7BfwNdss"
SrVanDoren,Argentina,"El ""Delfín"" de Rothschild, Macrón quiere que la vacunación a sanitarios sea obligatoria. #YoNoMeVacuno https://t.co/Px2sBe6TJ8"
vanessavillazon,Colombia,"@emilianogarcia @oscarortegapnl @JorgeIvanOspina @SaludTotalEPS Entiendo, y esperaremos nuestro turno. Pero veo en fotos que abuelitos incluso mucho menores que mi abuelita están siendo vacunados. Todos son importantes eso no lo dudo. Los necesitamos a todos vacunados. Gracias por responder. #YoMeVacuno"
EnlaceOfi,,"#YoMeVacuno Mario Fernando Seija, estudiante Peama de la Facultad de Ciencias Humanas nos invita a la vacunación porque quiere disfrutar del campus con todos sus compañeros.
#SomosOrinoquia https://t.co/mq7mhZa0iK"
hosp_melipilla,"Melipilla, Chile",Porque queremos cuidarnos para seguir trabajando por nuestros pacientes 💪💉 ¡En el Hospital de Melipilla nos vacunamos todos! 🏥❤️ #YoMeVacuno ✌️ https://t.co/KbRWT91Ahz
HEFZIBA_123,,"En Colombia se ha utilizado en mayor proporción la vacuna Pfizer, que es la que brinda mayor efectividad"
nubes8norte,"8 norte 579, Viña del Mar, Chile","Vive la experiencia boutique de #Hotel #NubesBar, Ubicado en pleno centro de #ViñadelMar y a pasos de las principales #playas, #sol y atardecer junto al #mar a 8 km de #Valparaiso y a 13 km de #Concon https://t.co/JmLfJgCfLw #Santiago #YoMeVacuno https://t.co/fplQk2MNT3"
lafm,"Bogotá, Colombia",En UCI medico que recibió vacuna anticovid teniendo síntomas del virus  https://t.co/SoPfeXkMGR
YoSoyDanteEJC,"Bogotá, D.C., Colombia","Aplicar vacunas #SegurasYEfectivas al 70% de la población en 2021 depende del compromiso de los colombianos, de decir #YoMeVacuno, de aplicarse la 2da dosis y de respetar los turnos del Plan Nacional de Vacunación.  #Colombia https://t.co/DeFIcPNrSh"
ssergi30,"Islas Canarias, España","Haga usted lo que quiera, don Fernando.
Sé que, a mis 42 años, #YoNoMeVacuno

1°) No es una VACUNA.
2°) Contiene ARn Mensajero y ADNE Mensajero. No el virus.
3°) Acabará trayendo más problemas que beneficios.

Un saludo y cuídese. https://t.co/EQARnWIrEa"
Clinica_Country,"Bogotá, D.C., Colombia",La vacunación contra el Covid-19 ha generado todo tipo de creencias sobre su efectividad o seguridad. Resuelve tus dudas con nosotros. #TeCuidamos #MeVacunoPorTi #YoMeVacuno https://t.co/B8XmSMjF9q
SaludOccidente,,"#YoMeVacuno en la Red de @SaludOccidente ✌🏻💉

✅Luego de ser inoculada contra el Covid-19, Johana López, vecina de Pudahuel, nos entrega su opinión con respecto a la vacuna 👇🏻 https://t.co/dRPI6IR18r"
AntofagastaMuni,"Antofagasta, Chile",[Vacunación💉] Vecin@s compartimos el calendario del proceso de inoculación de la semana del 8 al 12 de marzo #Antofagasta #YoMeVacuno https://t.co/1zcw00sZhd
ultimahorapp,,"En el departamento de Sucre Gladys, de 80 años de edad, se convirtió en la primera mujer excombatiente en recibir la vacuna contra el COVID-19 en Colombia https://t.co/SFEFGCtgTq"
maria_grapus50,,"@TanoFerro_arg #TodosSomosFormosa
#QueSeVayanTodos

Y ya que estamos  #YoNoMeVacuno🖕"
EmbEspPan,Plaza Porras - Panamá,‼INFORMACIÓN: ESPAÑOLES 🇪🇦Y VACUNACIÓN 🇵🇦 #COVID19 El Ministerio de Salud de Panamá @MINSAPma ha habilitado la plataforma online para el registro de vacunación COVID-19 de todos los ciudadanos residentes en la República de Panamá que deseen vacunarse.#YoMeVacuno #yafaltamenos
LuisaFRoncancio,"Manizales, Colombia","@DraGranadilla @marisolva @USTA_COLOMBIA Tengo ira por la vacuna, pero tiene huevo esa universidad en serio. Qué coño les cuesta pedirte que pases por él o mandarlo por correo, COMO TODAS LAS DEMÁS UNIVERSIDADES?"
ebalino,Montevideo,"Vamoooo!
#YoMeVacuno 098 999 999
@heynowbots https://t.co/PC20GjxFCL"
COFMadrid,Madrid,"Felices de estar cada día un poquito más cerca de la meta.

Hoy hemos alcanzado los 5.000 profesionales de oficina de farmacia vacunados y ellas han sido las que han recibido la número 5.000 y 5.001 🥼🤍💉💉 
#juntosSUMAMOS #Yomevacuno https://t.co/z3ESoloT7V"
sandracabezasd,,"#YoMeVacuno y agradezco a Rosita que con su mano de ángel no me hizo sentir ninguna molestia. Que alegría poder ser parte de este proceso de vacunación que nos permitirá volver a nuestras vidas, pero con una #Constitución diferente 😉 https://t.co/xip1mdwl5H"
oquinteroefe,Bogotá,La matriz del emblemático Éxito de Colombia ha sido demandada ante tribunal francés por expeder carne vacuna proveniente de la Amazonia. Allá sí son serios... https://t.co/XE9XStA7fA a través de @elpais_america
gemvep_usach,,"Para más información, pueden acceder a nuestro dashboard de resumen de indicadores comunales de #Covid_19 por región en el siguiente enlace:

https://t.co/1uG8iW2Y7g

#LaSerena
#YoMeVacuno
#Araucanía
#FelizViernesATodos 
#Huelga5deMarzo https://t.co/G1dgW2qB1I"
FundConTrabajo,Metropolitana de Santiago,"Personas con discapacidad profunda o severa inscritas en el registro nacional de discapacidad, podrán vacunarse contra el covid-19 desde este lunes 8 de marzo y cumpliendo los rangos de edad emitidos por el @ministeriosalud. Si tienes entre 46 y 58 años ¡Te toca! #YoMeVacuno https://t.co/AJY0RAHEnK"
SaludOccidente,,"#YoMeVacuno en la Red de @SaludOccidente ✌🏻💉

✅Funcionarios del @Hosp_Melipilla ya están recibiendo la segunda dosis de la vacuna contra el Covid-19. Para que el proceso de inoculación se realice de forma segura el establecimiento dispuso de dos puntos de vacunación. https://t.co/mthRJE4rEo"
DamianAldeta,🇺🇾MENDA🇺🇾LERENDA🇺🇾,"#UruguaySeVacuna y salen todos los pichones de políticos a militar el hashtag

https://t.co/63TuKEIXYS
#YoNoMeVacuno"
MSaludSantiago,Santiago del Estero Argentina,"Muchas gracias a Felix por compartir su testimonio, ""vine super, super contento"" #YoMeVacuno #SantiagoDelEstero en Santiago del Estero, Argentina https://t.co/vEExejrSWG"
gemvep_usach,,"Las 10 comunas con mayor cantidad de casos acumulados desde inicio de la pandemia #Covid_19 Son:

#PuenteAlto
#Antofagasta
#Maipu
#Santiago
#LaFlorida
#PuertoMontt
#PuntaArenas
#Iquique
#SanBernardo
#Arica
Todas con más del 15.627 casos de #Covid_19 #YoMeVacuno #Covid19Chile https://t.co/tSB9bcnKpC"
yorun80,catalunya,Ya tengo la primera dosis! Ahora noto mejor cobertura 5G 🤣 #YoMeVacuno
opinionescl,Chile,"#Huelga5deMarzo Venezolanos Araucanía #GremioCuliao #ProfeFlojo #PrensaBasura #YoNoMeVacuno #FalsaPandemia #ContigoCHV #Bienvenidos13
https://t.co/QkdflH2QOU"
pab527,buenos aires,"mueren 2 medicos esperando la vacuna y Gines suena como embajador de Colombia... se puede ir mas abajo??, si que se puede..."
roquiter,URUGUAY 🇺🇾,"Por más propuestas de estas 💉 
#YoMeVacuno y vos? https://t.co/6RTRqsuzOg"
jcarlosjofre,,@mirnaschindler Estoy totalmente de acuerdo contigo. Por ejemplo vemos este lamentable caso del ex fiscal @cgajardop 👇🏼 #YoMeVacuno #TomasBravo #Renca https://t.co/W0Kh2M50Ju
Paloma251,España,"Me comenta una persona que trabaja en el Zendal que sólo está yendo a vacunarse aproximadamente la mitad de los citados. Parece que, afortunadamente, no hay tanto ""borrego"" como nos quieren hacer creer.
#YoNoMeVacuno
#ProtestaEnMoncloa
#DesobedienciaCivil
#FuckNWO"
MariaMafero,Granada (Spain),"Y fui porque me llamaron, porque me tocaba 🥰 #YoMeVacuno gracias a todos lo que lo han hecho posible 🤗🤗 https://t.co/jfQVyQ6TQ6"
DamianAldeta,🇺🇾MENDA🇺🇾LERENDA🇺🇾,@laomeguita @elblackjackgin @LauraMvd No esperes tanto... cuando anuncien una nueva cepa y ya estén jugados... Esto es recién el principio... pero los conspiradores somos nosotros. Que cada uno decida por su cuerpo #YoNoMeVacuno
luisangflo,,Una de mis abuelitas recibió esta semana la vacuna y está de maravilla  🥰 #YoMeVacuno https://t.co/Ex85F4ZbPh
CancerLatam,"Santiago, Chile","💉🗓 Hoy viernes 5 de marzo los pacientes oncológicos completan una semana de vacunación.
📸🎗@CancerLATAM invita a compartir con nosotros tus fotos e historias para inspirar a los demás.
Las esperamos!
😎🤳
#YoMeVacuno #CancerLatam 
#VacunasCOVID19 #VacunasCOVID https://t.co/sIhM1Rn0Fm"
Pudu_28,,Vacunada!!! Ahora no me voy a morir 💜 #YoMeVacuno
voceriavalpo,"Valparaíso, Chile","Nuestra Vocera @lbrionesr junto a Subsecretaria @pdazan, Intendente @jmartinezvalpo y autoridades regionales, presentaron el #VacunatorioMóvil que llegó a #Valparaíso para ampliar y acercar la inoculación de las personas contra el #Covid_19 👏👏💉

#YoMeVacuno ✌ https://t.co/TtDSw9U3nY"
MiguelRamirezcx,,Los protocolos de vacunación deben ser muy claros @Fruizgomez @MedicoFernandez https://t.co/orcjJHyysB
DraRocadisR,,"Viendo la luz al final del túnel. Por todos, en tu fase, VACÚNATE #VacunateRD #YoMeVacuno https://t.co/J39fM8kHFe"
Comfama,"Medellín, Colombia","Con @epssura y @Comfama ellos ya se vacunaron contra la Covid - 19, conoce su historia. #YoMeVacuno https://t.co/Vv3cr7rI82"
Rocamarle,Santo Domingo,"Viendo la luz al final del túnel. Por todos, en tu fase, VACÚNATE #VacunateRD #YoMeVacuno https://t.co/HfYmtGOyWz"
VerdaderaAlegr1,,@grazianopascale Si!!! Ya estoy agendada!!! Vamo Uruguay 💪💪💪#YoMeVacuno
grin_ais,"Lima, Peru","💉 Ayer me vacunaron, no del COVID (porque para eso parece que falta mucho) pero sí de la difteria y la hepatitis B. Al menos de algo estoy protegida. Así que pueden ir a su centro de salud más cercano. 
#vacuna #minsa #YoMeVacuno"
DatosAlmeria,"Almería, España","🔴 Así va la vacunación en la provincia de Almería.

🛡️✅ El 2.6% de Almería ya ha completado la vacunación.

🛡️🔜 El 6.7% ha comenzado la vacunación.

📈 El ritmo de dosis diarias aumenta cada día.

💉 Dosis diarias: 1.728 (media 7 días)

💪 #YoMeVacuno https://t.co/7XZrbmORba"
TERROR_SV,El salvador. ,"🌚 Vibras positivas para todos.
#FelizViernes #YoMeVacuno 🤐 https://t.co/9ToVkGmaSG"
VannaLombardo,"La Serena, Chile",Lista con la Revacunación #yomevacuno https://t.co/I1jefBjY89
namtmannn,"Santiago, Chile",Listo 🙌🏻💪🏻😄. Segunda etapa a personal de la Salud. Médicos Veterinarios contribuyendo a la salud global. UNA SOLA SALUD👨🏻‍⚕️🙌🏻 #YoMeVacuno https://t.co/8aQiHM4qgL
NoticiasCaracol,Colombia,"Una mujer de 80 años es la primera persona en reincorporación vacunada contra el COVID-19. Como ella hay un total de 15 excombatientes mayores que entran en esta primera etapa de inmunización https://t.co/3vijSfZiIJ 

#YoMeVacuno https://t.co/gwnbkyxETO"
gabyftheo,Montevideo - Uruguay,"55-59 años a vacunarse 
Si estuviera en esa franja no lo dudaría un segundo
#YoMeVacuno https://t.co/37rw1U8Mcn"
carrue1970,Fondo de Bikini 🍍,"Mis viejos y suegra vacunados 2 dosis.
Primera vez en mis 50 años que siento un retorno a mis #impuestos 
 #YoMeVacuno"
floralv85,Montevideo - Uruguay,"Me vacune. Me obligan a firmar un consentimiento en que nadie se hace responsable si algo me pasa. Tb dice q la vacunación es voluntaria sin embargo circulan comunicados de anep donde se nos obliga a vacunar, dicho con hermosos eufemismos. 
#YoMeVacuno contra mi voluntad"
Decepcionado16,,"Si los Chinos donan la vacuna, por qué Colombia no la recibe?
Cuál es la estupidez?
La salud del pueblo no es derecho fundamental?
No vacunar es propiciar la mortandad, es un genocidio.

@PGN_COL 
@infopresidencia 
@IvanDuque"
GoberdeConce,,"🔴 #YoMeVacuno 👉🏻 Infórmate sobre el calendario de vacunación contra el #COVID19, para la segunda semana de marzo‼️. Dudas en: https://t.co/SZJDcHUqgH https://t.co/ztQVq9wCFz"
MOPAysen,Chile,#YoMeVacuno. Marisol Villar invita a toda la comunidad a vacunarse contra el Covid-19 #CuidemonosEntreTodos https://t.co/mWUWe999hF
portalmeteo,"Montevideo, Uruguay",#Marzo2021 #Otoño #agro #ganaderia #Lecheria #granja #fruticultura #apicultura #Turismo #industria #Salud #YoMeVacuno @GabrielMeteo en @dinamicarural  @ElEspectador810 con @mmaidana14 audio en el siguiente link  https://t.co/XzVhGbIWQz https://t.co/q3ACu6fRFI
Diamantes_Paula,El país de Nunca Jamás ,"Cuando ya están vacunando a gran parte de mi familia, por dior que feliz que me pongo y a la vez algo de tranquilidad en cierta manera. #YoMeVacuno #COVID19 https://t.co/IIR45dmMjq"
MSaludSantiago,Santiago del Estero Argentina,"#SantiagoDelEstero continúa la vacunación a docentes de nivel inicial, primario y especial, en los distintos barrios de nuestra capital, para garantizar un retorno seguro a las clases presenciales.
#YoMeVacuno https://t.co/vSaWrp1yAY"
Marco_LoyolaQ,"Concepción, Chile","Hoy Seremi @Marco_LoyolaQ sigue en terreno acompañando el proceso de vacunación!!!
#vamosbiobio
#LlegoLaEsperanza
#BiobioSeVacuna #Yomevacuno https://t.co/rBXGrRjn9w"
