username,location,text
BLANQUI87742963,"Montevideo, Uruguay",@LuisLacallePou presidente si hay vacunas y los habilitados a vacunarse aún no han ido o se borraron- porque no habilitan a otra franja de la población que si quiere vacunarse?? #YoMeVacuno https://t.co/KqqffPPKPF
ClinicaLaColina,"Bogotá, Colombia","Porque amamos la vida, hoy estamos cambiando la historia de esta pandemia. #YoMeVacuno #MeVacunoPorTi https://t.co/TVEbMKvxPe"
KiskoRRute,Rute - Córdoba - España,Para esta vacuna no hay que esperar a las farmacéuticas. Administrarnos una dosis de conciencia depende de nosotros #yomevacuno #8M #igualdad en Rute ( Cordoba) https://t.co/0eWJUb9pwY
ClinicaLaColina,"Bogotá, Colombia","¡Hoy parte del equipo de la Clínica La Colina, ha sido vacunado! #YoMeVacuno #MeVacunoPorTi https://t.co/xgLOuVaR1e"
SergioAndresBu3,Bogota,#DespiertaMundo #DespiertaColombia #YoNoMeVacuno !!! #TratadoDeNuremberg #LeyNatural #DerechosHumanos NO a La #LeyAuschwitz !!! #Eugenésia #Eutanásia #Homicídio #GENOCIDIO #TerrorismoDeEstado !!! https://t.co/nxQBFfDkQG
91_andr3s,,"@jobiyus @_theosorio Dejen la envidia, el Man salió por sus labores sociales, capacidades intelectuales, taciturno, vegetariano, vegano, embajador de la unicef y próximo presente de Colombia y creador de la vacuna Pfizer y demas, ese man es el ejemplo perfecto de polombia jajajajaj"
indignadocol1,,"Sí, es para polarizar, los cubanos bloqueados hace más de 50 años ya tienen vacuna producida por sus científicos, Colombia se acerca a 60.000 muertos y ha vacunado el 0.55% de la población, con vacunas compradas tarde y de a poquitos. https://t.co/89EvPs4vT0"
ebalino,Montevideo,"Vamoooooo!
#YoMeVacuno https://t.co/Kphh2X7Gzc"
SeremiSalud2,Antofagasta - Chile,"⚠️ Atención #Antofagasta ⚠️

➡️ Vacunación a funcionarios de salud privada que recibieron primera dosis Sinovac entre el 3 y 5 de febrero se prolongará mañana entre las 9 y 13 horas en gimnasio Guibaldo Ormazábal #Covid_19 #YoMeVacuno ✌️ @GOREAntofagasta https://t.co/b3P5mSBPsf"
cerosetenta,Bogotá-Colombia,"⚕ En primera línea han estado los profesionales de la salud desde que el virus entró a Colombia. Ahora también en primera línea esperan y reciben la vacuna.

Hablamos con cuatro de ellos para entender cómo sienten la llegada de las vacunas al país. 👇

https://t.co/XRFU34rIUZ"
JaimeP279,"Cartagena, Colombia","‘Pachita’ Mangonez, de 110 años, recibió la vacuna del covid en Sucre https://t.co/ImNMqzQbZP via @eltiempo"
NelsonCarcamoBa,Magallanes y La Antártica Chil,En el Hospital Comunitario Cristina Calderón de Puerto Williams seguimos avanzando en la administración de la segunda dosis de la vacuna contra el coronavirus #YoMeVacuno https://t.co/eizoEoNqpk
PqquieroEstarBn,"Bogotá, Colombia","¿Sabías que diariamente 12 mujeres son diagnosticadas y 5 mueren a causa del cáncer de cuello uterino en Colombia?👀

Tanto hombres como mujeres pueden recibir la vacuna contra el VPH. 👌

Más info 👉 https://t.co/7Z4SqYQAvo 
#PorqueQuieroEstarBien #UnidosNosCuidamos https://t.co/Qyk7bJozVo"
camargosky,Colombia,"Así como hubo ""Odebrecht-gate"" en toda Latinoamérica, igualmente habrá ""vacuna-gate"". Y Colombia no será la excepción.
Estemos listos para otra cochinada del uribismo."
Carolin75082186,,"@Salud_Responde Debo traer pcr- , hacer cuarentena aunque tenga carnet de alta por covid y las dos dosis de vacuna si vengo de Colombia?"
iirene27,Sevilla,"La vacuna de AstraZeneca no sé qué llevará, pero al menos debería de venir con una cajita de Paracetamol de regalo. 😅 #doloridaperovacunada #YoMeVacuno #AstraZeneca"
SeremiSalud_I,"Iquique, Chile","🔴Atención: Llamamos a vacunarse a las siguientes personas que no alcanzaron a inmunizarse según la programación establecida, y que pertenecen a los siguientes grupos esenciales: 

#YoMeVacuno ✌🏼
#Iquique 
#AltoHospicio
#PozoAlmonte https://t.co/JxomxZabVZ"
HematoRules,"Salamanca, Spain","Ayer recibí mi 2da dosis de #COVID19 #vaccine y 36hrs después sigo asintomático! #YoMeVacuno Gracias a todos los que han ayudado a llegar a este día!!! #YaQuedaMenos Todos a vacunarse cuando llegue su turno!!! Por ti, por los tuyos, por todos ... y sobre todo por los pacientes!!! https://t.co/6dDvMX8KFO"
Becante13,La Cólquide,#YoMeVacuno con #AstraZeneca. Ninguna reacción adversa. A esperar la segunda dosis...
MSaludSantiago,Santiago del Estero Argentina,"Vacunación contra la COVID-19 los equipos del  @MSaludSantiago acompañando a los y las mayores de 70 años que concurrieron a vacunarse
#YoMeVacuno #SantiagoDelEstero https://t.co/AmjJpv3SuN"
MSaludSantiago,Santiago del Estero Argentina,Continuamos con la vacunación contra la COVID-19 a mayores de 70 años #YoMeVacuno #SantiagoDelEstero https://t.co/FpPRy9mwqX
MSaludSantiago,Santiago del Estero Argentina,#YoMeVacuno laa y los docentes de #SantiagodelEstero iniciaron hoy la etapa de vacunación contra la COVID-19 https://t.co/rfdJCsg5vT
Cristina_m_j,,Y por fin la 2Dosis! 💪 ¿Efectos secundarios? Dolor muscular que un paracetamol se soluciona. Lo de la cobertura en el móvil igual tarda unos dias. 😅 #YoMeVacuno https://t.co/I83YISEsvu
Drugtorco,,"¿Tienes dudas sobre las vacunas contra el Covid-19?

¡Aquí te ayudaremos a solucionar cualquier duda que tengas sobre ellas!

#yomevacuno #vacuna #farmacología #covid_19 https://t.co/CFN4gYfl3s"
Mineducacion,Colombia,"Vacunarte contra la COVID-19 es una manera segura de protegernos del virus y proteger a los demás. Cuantas más personas sean inmunizadas, menor será la probabilidad de contagiarse, enfermar gravemente o incluso morir. #YoMeVacuno https://t.co/ZiWmmvvfzL"
SergioAndresBu3,Bogota,#DespiertaColombia #NoBOZAL !!! #COVID1984 #PLANdemia #ManipulaciónMediatica #GranHermano2020 #MiedoVirus #BigPharma #Vacunas #WarpSpeed #NightingaleProject #BigReset  #GreatReset #DICTADURA #NWO en Polombia #AislamientoInnecesario #ConfinamientoInnecesario #TIRANÍA #YoNoMeVacuno https://t.co/sr2J9tB6Hs
Drugtorco,,"¿Tienes dudas sobre las vacunas contra el Covid-19?

¡Aquí te ayudaremos a solucionar cualquier duda que tengas sobre ellas!

#yomevacuno #vacuna #farmacología #covid_19 https://t.co/AAmqxCNf9D"
NataliaCavied10,Palermo (Huila),"Nuestros Abuelos del Asilo San Martín de Porres lograron recibir esta dosis de esperanza, la vacuna contra el covid-19 es nuestro grito de victoria como humanidad.

Tenemos que seguir cuidándonos para frenar entre todos la cadena de contagio.

#COVID19  #PalermoEsAhora #Colombia https://t.co/KSREfCd87g"
SeremiSalud3,Región de Atacama,"Ella es Betty Maluenda, hoy recibió su segunda dosis de vacuna contra el coronavirus e invita a todos sus pares a que se acerquen a recibir sus dosis, para así quedar protegidos contra el Covid19. 

#YoMeVacuno✌️ https://t.co/QcOM4482ce"
Verena_Schuck,"Osorno, Chile","📢📢 Atención Osorno!!!
A partir de mañana, el plan de vacunación continuará en las parroquias y capillas.

Acá les dejo lugares de mañana y el sábado 
.
.
.
#yomevacuno #covid_19 #osorno #verenaconcejal #SigamosTrabajandoJuntos https://t.co/C8GWjl7Suf"
majegp,,"@hermanntertsch Si se han vacunado, son más gili... de lo que  pensaba ¿vacunarse, para un virus inventado, con una sustancia deficitariamente probada? ¡Pobres imbéc...! Conmigo que no cuenten!
#YoNoMeVacuno #YoMeVacuno"
Saludtarapaca,"Aníbal Pinto 815, Iquique",#YoMeVacuno Te recordamos los grupos que deben vacunarse este viernes 5 de marzo en #Tarapaca #CuidemonosEntreTodos para superar esta #pandemia del #COVID19 https://t.co/EeqrD380sb
Valeria21130533,"Gijón, España","🔵 Actualización del informe de actividad de #vacunación en España: https://t.co/9PAMdHNK1V

🖥 Infórmate en: https://t.co/VoEXOfLF4o

#YoMeVacuno https://t.co/pqMlZo0Phc"
MincomercioCo,Colombia,"📣 #Atención En la OMC, Colombia lidera llamado para prevenir las restricciones a la exportación de vacunas. 

https://t.co/Trvq71YFt4 https://t.co/fgZJtXryhE"
valeriavandam,,"Mi Gober me cuida 💜💚🧡💗💙
#Axel 
#YoMeVacuno https://t.co/tlW1qit9hI"
alvaropomponio,"Montevideo, Uruguay","Excelente Miguel; vacunarse esta muy lejos de ser un acto individualista, expresa un compromiso por la salud de nuestra familia, nuestros compañeros de trabajo y toda la comunidad de la que formamos parte.
#YoMeVacuno https://t.co/88dtVokyX1"
ChavezMariaT1,En cualquier parte del mundo..,"Una pregunta? Quien dijo que el vacunarse te inmuniza de no tener el virus?. Hay suficientes pruebas que lo certifique? Considero que hay que hablarles claro al pueblo y decirles la verdad, inclusive que lo que dijiste en ningún lado se ha comprobado. #YoNoMeVacuno https://t.co/b528u6aZVZ"
ssaludlosrios,"Valdivia, Chile",➡️En la Escuela España se encuentra otro punto de vacunación del Cesfam Externo Valdivia🏥. Este viernes la atención a usuarios comenzará a las 8.30 y finalizará a las 15 horas. Recuerda respetar el calendario para evitar aglomeraciones✅ #YoMeVacuno #LosRíosSeVacuna #valdiviacl https://t.co/VPxVE1Gq70
PodemSanitat,Catalunya,"🔵 Actualización del informe de actividad de #vacunación en España: https://t.co/0TpOAN4b0W

🖥 Infórmate en: https://t.co/xuDvgPdLL2

#YoMeVacuno https://t.co/W9uyuppPbb"
michaelliria,"Santo Domingo, Dominican Republic",Veo muchos hijos y esposas de millonarios vacunándose. Personas que NO pertenecen a esta primera fase. ¿Algo sobre lo que me tenga que enterar? #YoMeVacuno
dsn,Madrid (Spain),#NotaDSN 04mar2021 21:00h #COVID19 Situación actual #Coronavirus🇪🇸 Seguridad frente a pandemias y epidemias #SegNacional #YoMeVacuno #VacunaCOVID19 ¡Protégete y protege a los demás! https://t.co/x6c68snhCK https://t.co/Slh4NOLgzs
Minjudhnuble,"Chillán, Chile",💉 Continuando con la campaña #YoMeVacuno del @GobiernodeChile esta tarde fueron inoculados contra el #Covid_19 usuarios y usuarias mayores de 60 años del CCP #Chillán  que se encuentran privados de libertad. https://t.co/3bJRKLDxGT
WalterGM19,"Puerto Presidente Stroessner, ",Mejor luego que no se traiga más #YoNoMeVacuno https://t.co/Sht2MwR8Op
We_T_Resistance,,"“El Gobierno anuncia una prueba piloto del pasaporte sanitario”

No paro de oír: yo si me dejan viajar, me pongo lo q me digan

No hay futuro en un mundo de sumisos encantados

#SLR #COVID19 #Plandemia #YoNoMeVacuno https://t.co/BPdqqWs5Ub"
opadillac,argentina,@VictoriaDNez @CGurisattiNTN24 @Juancar30071948 La tintura te esta quemando las neuronas ¡¡¡  Un ejemplo Colombia con vacunas chinas? y las más baratas del mercado y pocas ¡  La spunick V una vacuna con el 92 por ciento de efectividad¡  Cambia de marca de tintura
WILMER98657133,"Cúcuta, Colombia","@GustavoBolivar Si bien en cierto han fallecido más de 60mil colombianos más no por falta de vacunas las muertes comenzaron en marzo del 2020 y no había vacuna alguna, lo reto a que me demuestre a Duque diciendo que la vacuna llegaba en enero a Colombia, la fecha siempre fue febrero."
Ronaldsm02,"Ocaña, Colombia",#YoMeVacuno deber cumplido por los que quiero volver abrazar 🙏🏻🙏🏻 https://t.co/UjX8LOJui6
EnergiaTarapaca,"Iquique, Chile","#YoMeVacuno
La seremi @xcancinocepeda conversó con adultos mayores y docentes de Pozo Almonte respecto al proceso de vacunación contra el Covid19 que continúa en la comuna para resguardar la salud de la gente.
Infórmate: https://t.co/oLzkiLRRf1 https://t.co/0Zvl8wPjQe"
SeremiSalud16,"Chillán, Chile","💪🏻 Continuamos el proceso de vacunación masiva en #Ñuble, hoy a las personas de 61 años con y sin comorbilidad. Ahora vacunamos a los internos en el Centro Penitenciario de #Chillán 💉

#YoMeVacuno ✌🏻 https://t.co/s7xptRNeB3"
MarthaHrnad,,"@franoguera @BluRadioCo De acuerdo, pero te aclaro que en otros contienes sus países llevan un buen plan, con resultados de momento favorables, vacunando a millones y muy cerca del porcentaje mínimo para crear inmunidad, con otro tipos de acuerdos, mientras que Colombia espera la vacuna gratis."
CesarCeal1975,,"@RevistaSemana Cuba al menos tiene la valentía de ir a por su vacuna,  ¿ qué hace Colombia.?,  esperar a lo que llega de afuera."
desdelamoncloa,Madrid (Spain),"¿Qué debo saber sobre la vacuna de Moderna?

🧬Del tipo ARNm, para que confiera alta inmunidad son necesarias 2 dosis separadas por al menos 28 días.
 
Más sobre esta y el resto de #VacunaCOVID19 disponibles en España👇🏻
 
https://t.co/KKeFxRMWJb 
 
#YoMeVacuno"
SSVinaQuillota,De Viña del Mar hasta Petorca,Esta jornada funcionarias del Hospital Dr. Víctor Hugo Möll de #Cabildo realizaron el proceso de inoculación de primeras y segundas dosis a la comunidad en la junta de vecinos Peñablanca #YoMeVacuno https://t.co/YZAvZ8eijS
MedicinaUNAL,"Bogotá, D.C., Colombia","𝗠𝗲𝗱𝗶𝗰𝗶𝗻𝗮𝗨𝗡𝗔𝗟 Se une a la Red de Gestión del Conocimiento. 
𝗣𝗼𝗿 𝗾𝘂𝗲 𝗺𝗲 𝗰𝘂𝗶𝗱𝗼 𝘆 𝗹𝗼𝘀 𝗾𝘂𝗶𝗲𝗿𝗼, 𝗺𝗲 𝘃𝗮𝗰𝘂𝗻𝗼 𝘀𝗶𝗻 𝗺𝗶𝗲𝗱𝗼. 
#𝗬𝗼𝗠𝗲𝗩𝗮𝗰𝘂𝗻𝗼 👇 https://t.co/i3NgJ5u5DD"
GobMeta,Departamento del Meta,"¡La vacunación salva vidas! Todos podemos hacer pedagogía para derrumbar los mitos alrededor de la vacuna contra el #Covid_19. En estos momentos, el riesgo más grande es no aplicarse la vacuna. #YoMeVacuno https://t.co/vlB9BiFNmV"
Crittiko,"Bogotá, Colombia","A todas estas, ya vacuna de AstraZeneca están comenzando a utilizarla en mayores de 60 años. Recuerdo hace pocos días un opinador criticando la intención de hacerlo en Colombia que porque nadie más en el mundo lo había aprobado. Obvio, no va a reconocer error ni a corregir."
VigRafa,,"Cada estudiante de la salud tiene la oportunidad de amplificar la campaña pro vacunación! No recuerdo una generación de estudiantes que tuviera una tarea tan impresionante! por si falta info acá hay buena 👉https://t.co/JlsQsZoVTV 
#YoMeVacuno #VacunasCOVID19 #UruguaySeVacuna"
MarcelodelaF,"Montevideo, Uruguay","@flopereira17 @martinnc Todavía no. Hoy con los que están esperando / anhelando vacunarse alcanza. Cuando afloje el ritmo sí.
Con la que digan, cuando me digan:
#YoMeVacuno"
sebasxAL,Antofagasta,"#YoMeVacuno hay que ser parte de la solución, no del problema.✌🏻#chile https://t.co/Hzv7i5XyOs"
MiguelPastorino,"Montevideo, Uruguay","Por la salud de todos, por mi familia, mis amigos, mis alumnos, mis compañeros de trabajo, por todos los uruguayos #YoMeVacuno Agradecimiento a todos los que lo han hecho posible. Excelente organización @MSPUruguay @DrDanielSalinas https://t.co/PQPcLFjtK9"
SaludPublicaEs,Madrid,"❓Debo vacunarme si he pasado el #COVID19
 
En el momento actual, se recomienda retrasar la vacunación de personas menores de 55 años hasta los 6 meses tras el padecimiento de la enfermedad o infección.
 
➕info: https://t.co/avEuwNiXBh 
 
#YoMeVacuno"
SSaludAtacama,,"#YoMeVacuno ✌️
""Invito a todos a vacunarse porque protege la vida y la salud con fuerza, fe y esperanza"" es el relato de don Wilfredo Carmona, profesor jubilado de la comuna de #Copiapó y que hoy recibió su segunda dosis contra el Covid19 

@MeVacuno @ministeriosalud #Atacama https://t.co/APcyL1aWST"
dreamssellerorg,MENDA LERENDA,"Un documental muy interesante sobre las #vacunas 

Una inyección en la oscuridad. Los ingredientes de las vacunas

#pLandemia #PCRgate #YoNoMeVacuno #Nuremberg2 
https://t.co/2D5SxqREZv"
tradingnoticias,,"Médico fue vacunado con síntomas de covid, ahora está en una UCI https://t.co/SiEGKrjP72 https://t.co/9LiXy9K60E"
SalomVasco2,Llano Grande Antioquia,"@MinSaludCol Como va el estado crítico de la enfermera en Córdoba Colombia, que fue inoculada con la vacuna mas insegura del mundo: La china. Estamos hablando de que le causó una convulsión febril que derivó una anoxia severa y posterior/ podría causar daño cerebral. https://t.co/vCW6gEg99b"
Lyna_cv,"Quilpué, V Región",No me pude vacunar hoy 😞🤧 me pregunto cuantas dosis diarias enviarán a los sectores de vacunación? Porque llegue y ya no tenían dosis 🙄 #YoMeVacuno #VacunasCOVID19
Itati2343,,"Médico fue vacunado con síntomas de covid, ahora está en una UCI https://t.co/SRK34zOtok https://t.co/pv3Su1BTZE"
SeremiSalud_XII,"Punta Arenas, Chile","📢Resaltando importante labor de comunas rurales en avance de campaña de vacunación contra Covid-19, el SEREMI Salud (S) Eduardo Castillo se trasladó hasta #Timaukel, sur de #TierradelFuego, para participar de inicio de vacunación 2da dosis en esta localidad. #YoMeVacuno https://t.co/KfrxzAKCIr"
AlcaldiadeMed,"Medellín, Colombia","Conoce cómo avanza el Plan Nacional de Vacunación en #MedellínFuturo, aquí &gt;&gt; https://t.co/pdeSx3HoeY.

¡Ey! #VacunatePues
#YoMeVacuno https://t.co/2xtY7AGICp"
notimania_com,colo,"Médico fue vacunado con síntomas de covid, ahora está en una UCI https://t.co/sp9MPR36Z2 https://t.co/8ILStgK23n"
chsjm,Calle Comercio # 19856,"#YoMeVacuno hoy nuestro hospital siguió con el proceso de vacunación de la segunda dosis contra el COVID-19 a sus funcionarios. hoy llegamos a los 488 funcionarios, lo que representa un 81,3% de nuestra dotación total, orgullosos de todos nuestros funcionarios 💪 https://t.co/PosjkA7esI"
Analitica,"Caracas, Venezuela","Los promotores del mecanismo, la Organización Mundial de la Salud  y la Alianza para las Vacunas, GAVI, informaron que entre marzo y mayo la región reciba 26 millones de dosis de la vacuna #4Mar https://t.co/6Qeun5kt9t"
_NewDreams,"Santiago, Chile","Mis papás con su primera dosis, mis abuelos listos con sus 2 dosis, se comienza a sentir un alivio. Después de 1 año y 1/2 aprox, en unas semanas podremos viajar a ver a los viejitos y mi mamá podrá ver a sus papás. A los + jóvenes nos queda seguir cuidándonos. #YoMeVacuno"
Jesus_Enrique88,Los Cuatro Diablos - Chile !!,"#PaulaPresidenta 

cc Diva fachistoide, jajajajaaaa, que lo disfrutes 😲🖐😆🙄

Con muito am0re sipoh'😜 

#YOmeVacuno💉#MixtaNO👎 #VotaIndependientes ✔
Melipilla desde 1.742😃 https://t.co/AxpKfnpYNz"
DavidNa62726066,"Bogotá, D.C., Colombia","#YoMeVacuno
Ojalá pronto sean sus familiares. https://t.co/a8OwUFQbxW"
DGobAndalucia,"Sevilla, España","🔴💉Actualización del informe de hoy, 4 de marzo, sobre la actividad de vacunación en #Andalucía:

🔹1.021.430 dosis distribuidas
    ▪️739.530 Pfizer
    ▪️73.300 Moderna
    ▪️208.600 AstraZeneca
🔹834.477 dosis administradas (81%)

https://t.co/PKgBUpqjqH

#YoMeVacuno https://t.co/XdRJcg0j4r"
GOREAntofagasta,"Antofagasta, Chile","Te invitamos a revisar la actualización del Calendario de Vacunación que va desde el 8 y 14 de marzo 🗓 👆🏻 Y encuentra los centros de vacunación disponibles a lo largo de todo Chile, grupos objetivos y mucho más en 📲https://t.co/CzJwD8wCKE 

#YoMeVacuno https://t.co/YqaeRidYiX"
CWalmapu,Cunco,"🎥 Luz, cámara, acción........🎬
Aun no lo vez''¡¡¡¡¡¡¡¡¡¡
#GenocidioMundial 
#DesobedienciaCivilMundial #Plandemia  #PcrFalsosPositivos #YoNoMeVacuno  #DictaduraSanitariaMundial https://t.co/hcyOcEGGlg"
raticosdefutbol,"Barcelona, España","@RaquelBlascoR @Nopanaden A ti por leerlo y compartirlo. ¡Un abrazo!
Por si te apetece en algún momento echarle un vistazo, aquí te dejo un artículo en la misma línea que escribí en Navidad.
#YoMeVacuno

https://t.co/js70SL3G1F"
MarzoaRaquel,"Ferrol, España","Mascarilla, jabón y vacuna son la KRIPTONITA para vencer al coronavirus.💪
No lo voy a negar: ODIO LOS SUPER PODERES DEL COVID!!🗣📢
👎 Nuevas muestras del ""poder JETA"" en vacunaciones..🤬
👎 COVID ""super-PROTAGONISTA"" respecto a patologías no-COVID..😤
SENTIDIÑO.🙏
#YoMeVacuno https://t.co/Sst6P3s4Qr"
mamencita78,Aquí y ahora...,SMS llegando a mis compañeras de primaria para ir el sábado al Zendal. Vamos. Ya queda menos #SinCienciaNoHayFuturo y sin vacuna tampoco #SanidadPública #YoMeVacuno #gracias https://t.co/pSyM2uumC5
Janelucruz,,"@laverde1976 @sanvalgo @Fruizgomez @IvanDuque @MirandaBogota Dra es una realidad, y claro que la vacuna es una obligación. Pero hay que ser realistas el mayor deseo de la oposición es  que falle la vacunación en Colombia."
SSVSA,"Av. Brasil 1435, Valparaíso.",🏥💉 Proceso de vacunación masiva contra el #Covid_19 continúa con los funcionarios del Hospital Claudio Vicuña de San Antonio. #Yomevacuno #cuidémonosentretodos https://t.co/4SGRh399lF
yazcortizo,Panamá,"Visité las escuelas República de Colombia, República de Alemania y el Colegio Pureza de María, para conocer el proceso que se está llevando a cabo en el distrito de San Miguelito, donde nuestros adultos mayores están recibiendo su primera dosis de la vacuna contra el #COVID19. https://t.co/dQOJN6Bh1L"
JorgeA_Marin,Región de Los Lagos,"@AndreaObaid Hola, hace unos díaz subsecretaria Daza menciona: ""asistan a cualquier vacunatorio para administrarse la segunda dosis al transcurrir los 28 días informados en su carnet #YoMeVacuno pero Sinovac y Pfizer tienen distintos plazos, se mantienen esos plazos o variarían?"
pikiayllon,siguenza,La 2° dosis puesta¡¡ #YoMeVacuno
