,Unnamed: 0,Unnamed: 0.1,Nombre de usuario,Usuario,Fecha,Texto,Sentimiento
87,87,87,Macarena Lizana,@Macalizanach,2021-03-05,alguien saber alguno centro vacunacion manana sabado,1
88,88,88,Andrea Tabárez,@AndreaTabarez,2021-03-05,llorar enterar vacunar querer cuidado ano riesgo llorar vacuna principio fin pandemio mundo uruguayo mas q tener causa comun,1
89,89,89,Claudia Radó,@claurado,2021-03-05,favor respuesta holar buen dia proceder trabajador centro visual trabajar diario paciente padecer patologia corneal complejo mas laboratorio fabricacion rubro optica rut 760807230 acceso aun vacuno,1
90,90,90,Pablo D. Dans,@DansPablo,2021-03-05,15 marzo llegar 1558000 dosis vacuna sinovac empezar vacunacion masivo vamo arriba cortar pandemia buen vez final poner,1
91,91,91,España Forever,@MarellaSpain,2021-03-05,si regalar pais vacuna permitir adquirir viajar problema poder ver familiar pondrio esperario turno 1 voto 23 hora restante,1
92,92,92,Cristina_RR,@_Cris_20,2021-03-05,buen pues aunque costar dar apuro hacer yo foto rigor puesto primero dosis vacuna dos compis enfermera tambien,1
93,93,93,ScarletteJara,@ScarletteJara1,2021-03-05,hacer tener familia antivacuno,1
94,94,94,Johan Prada,@Johan_PradaC,2021-03-05,tranquilo dentro embolsao,1
95,95,95,"Foquita leopardo
#Apruebo",@Pudu_28,2021-03-05,vacunado ahora ir morir,1
96,96,96,Carla,@grin_ais,2021-03-05,ayer vacunar covid parecer falta si difteria hepatitis b menos protegido asi poder ir centro salud mas cercano,1
97,97,97,Charlie Wheel,@carrue1970,2021-03-05,viejo suegra vacunado 2 dosis primero vez 50 ano sentir retorno,1
98,98,98,Flora,@floralv85,2021-03-05,vacunir obligar firmar consentimiento nadie hacer responsable si pasar tú decir q vacunacion voluntario embargo circular comunicado anep obligar vacunar dicho hermoso eufemismo voluntad,1
99,99,99,Luis Cubilla,@LCubilla10,2021-03-05,hacer rebelde rechazar vacunacion demostrar libre bien manana abrir frontera pedir vacunacion viajar ir salir correr vacunar él libertad responsabilidad,1
100,100,100,Pablo,@pablodmv,2021-03-05,vacunar él acto solidaridad acto responsabilidad individualte querer hacer creer ser heroe mismo tiempo sacar prestación mas necesitar si querer ser heroe solidario ayuda mas vulnerable lucha,1
101,101,101,Lupita,@TipicaLoca,2021-03-05,amsjar contratar personal apuro piso entero enfermo covid vacunense hecho esperar segundo dosis,1
102,102,102,Martín Bazzino,@mbazzino,2021-03-05,aqui tema sinovac pfizer personalmente confianza ambos vacuna ir vacunar designar dia designar confianza vacuna probado seguro confiable drdanielsalina josesatdjian mspuruguay,1
103,103,103,Mónica Cappetta,@MonicaCappetta,2021-03-05,ojalar 55 ano,1
104,104,104,Paola Delgado,@abogado_paola,2021-03-05,hipotiroidismo tiroiditis hashimoto enfermedad autoninmune considerar cronico efecto vacunacion covid 19 alguien saber ministeriosalud sebasugarte colmedchile pdazan,1
105,105,105,Xime,@Atrapasilencios,2021-03-05,venir pabellon araucanio temuco ver si vacunar tener enfermedad autoinmune vacunar cc seferene,1
106,106,106,Gabriela Silva,@teachgab,2021-03-05,primero militar ahora llegar decir querer vacunar x/ preferir cura xra idiotez dar primero 31 segundo cuanto deber salir epidemia maldito,1
107,107,107,Bettina SC,@la_bettina,2021-03-05,agendado lunes 8 hora 13y30,1
108,108,108,¥ubii,@Yubisw,2021-03-05,abuela renovo plan dato contento segundo dosis tranquilo,1
109,109,109,"ℝ𝕒𝕔𝕙𝕖𝕝 𝕂𝕒𝕣𝕖𝕟 𝔾𝕣𝕖𝕖𝕟
🅐🅟🅡🅤🅔🅑🅞",@trayken2021,2021-03-05,tal vez si vacunar primero dia clase cada escuela pais podriar haber ser buen comienzo nino aun fecha vacuna,1
110,110,110,Antonio Yañez Betanzo,@conceantonio,2021-03-05,elegir vivir contagiar contagiar nuevo programa gobierno exito aun funcionar bastante mejor programa,1
111,111,111,Sonia Rodriguez,@soni_rodri52,2021-03-05,agendado lunes vacuno noma invitar agendarse,1
112,112,112,Lucero de Vivanco,@sinluz_0,2021-03-05,pucha comenzar pandemia chile solo 10 dia mas caso diario hoy,1
113,113,113,Andrés Álvarez Piedra.,@Andresalvarezgp,2021-03-05,ir dejar vacuna oficinista ministerio saludec vacunar interno,1
114,114,114,Nacho González,@NacheteGperera,2021-03-05,v viernes vacunar vacunado gracias personal sanitario,1
115,115,115,Pelu2881,@OlgaAhumada13,2021-03-05,creer gobiernodechile querer muerto enferma cronico licencia rechazado rechazado fecha vacunacion postergado hijo asmatico gracias ministeriosalud mindesarrollo susesochile,1
116,116,116,⚘,@IvetteDePaula1,2021-03-05,gua vacuna fulgencio 3 hijo menor edad trabajar chofer transporte publico ademas tener envejeciente casa morir familiar decir medico pais servir,1
117,117,117,Javu,@javita10,2021-03-05,plazo cumplir deuda pagar aqui esperar dosis vacuna,1
118,118,118,SoyAIvaro,@SoyAIvaro,2021-03-05,listo segundo dosis vacuna,1
119,119,119,Carlos Delfino,@CDelfino64,2021-03-05,agendado lunes 8 primero dosis,1
120,120,120,Dra. Silvia Zuluaga,@doctorazuluaga,2021-03-05,empezar fin semana subidon dar saber semana venir vacunar gracias comgipuzkoa,1
121,121,121,Profarm,@profarmgipuzkoa,2021-03-05,hoy farmaceutico comunitario gipuzkoano recibir llamado gipuzkoacof convocarno vacunacion gracias tod hecho posible osakidetzaejgv,1
122,122,122,Ale,@vale1977ale,2021-03-05,pedir vacuna llegar ahora q ser q tocar hacer xq cuestionar vacuna cunado nunca hacer adema mezclar politico xq si ser gobierno izquierdo vacunado,1
123,123,123,Camila María,@Camiileiins,2021-03-05,vacunir ctm casi llorar emocion dolor pinchazo,1
124,124,124,La Paty de la pipol,@la_tia_paty,2021-03-05,che agendense vacunar él grito pedir vacuna ahora estar forma proteger poder vacunar proteger yo parecer mentira escribir,1
125,125,125,api,@api_playera,2021-03-05,agendado,1
126,126,126,Gabriella,@Gabriella750222,2021-03-05,atento nuevo agenda mspuruguar vacunar él 098999999 agendate,1
127,127,127,daniel yanibelli,@danielyanibelli,2021-03-05,amigo conocido 55 59 ano pedir favor agender vacunar él hoy abrir agenda franja edad importar actividad,1
128,128,128,Hugo Sosa,@sosareta,2021-03-05,decir convencer gente vacunir solo pensar certificado vacunacion pedido entrar tienda ir ver convencer entender lentitud pensar empatia varios existir,1
129,129,129,daniel yanibelli,@danielyanibelli,2021-03-05,conocido amigo trabajar ensenanza pedir favor vacunense,1
130,130,130,Patricia Noble Lema,@pattynoblelema,2021-03-05,agendado 83,1
131,131,131,Marta Izquierdo,@martaizquierd,2021-03-05,astrazeneco cuerpo ser parte solucir problema,1
132,132,132,Daneou,@Daneou_,2021-03-05,llegar etapa vacunacion joven 18 ano momento vacunar yo amazona,1
133,133,133,Verdadera Alegría,@VerdaderaAlegr1,2021-03-05,felizmente agendado vacunar yo vamoooo uruguay,1
134,134,134,Ò•••hp,@o_hhpp,2021-03-05,esperar sintoma 5g,1
135,135,135,JP OLIVIERI BONINO,@jolivieribonino,2021-03-05,acabar agendar padre vacunar él covid19 feliz feliz,1
136,136,136,Dave Ortgui,@dortega_g,2021-03-05,pues aqui vacunado notar wifi llegar mejor,1
137,137,137,Municipalidad de San Miguel,@Muni_San_Miguel,2021-03-05,trasplantado cancer tratamiento enfermedad autoinmune 18 ano segundo dosis segun indicar carnet vacunacion usar mascarilla presente cedular identidad pasaporte alcaldesanhuezo,1
138,138,138,marievitale,@marievitale2,2021-03-05,8 marzo dia mujer dar primero dosis vacuna primero salud uruguayo poder,1
139,139,139,Fernando Pena #YoMeVacuno #YoMeQuedoEnCasa,@fpenafotografo,2021-03-05,hoy vacuno momento avisar habilitado festejo paciente renal juego vida favor vacunate,1
140,140,140,Alejandro Collazo,@candrocollazo,2021-03-05,agendado lunes 8 marzo hora 1330,1
141,141,141,Adriana Troccoli Garcia,@AdrianaTroccoli,2021-03-05,brillante pagina web mspuruguar agendar,1
142,142,142,Natalia Venegas Valdeavellado,@MerlinaIsAVamp,2021-03-05,alguien saber si segundo dosis vacunar necesario periodo observacir proxr semana abuela 2da dosis mama si 1ra vacuna querer organizar yo bien idea exponer menos posible abuela,1
143,143,143,Ghule87,@danita_hirasawa,2021-03-05,podriar decir si asmatico deber ir vacunar yo lunes diabetico tambien,1
144,144,144,Pablo Ordóñez,@PabloOrdonez50,2021-03-05,agender dia hora vacuna covid19 proximo lunes 8 recibir primero dosis 5 abril segundo hospital britanico hacer familia amigo,1
145,145,145,ℬ,@Beittta_,2021-03-05,vacuna covid,1
146,146,146,h daniel garcia,@hdanielge,2021-03-05,solicitud agenda vacunacion covid 19 registrado forma exitoso agenda asignar primero dosis 08032021 1200 segundo dosis 05042021 1200 vacunatorio ambos dosis maldonado campus puesto,1
147,147,147,Federico Bacalini,@FBacalini,2021-03-05,feliz rumbo centro vacunacer mejor toque sadopmdp adridonzelli,1
148,148,148,Alfredo Toker,@AlfredoToker2,2021-03-05,salud economia,1
149,149,149,Victoria Adami #9720,@vadamig,2021-03-05,agendado respeto q morir x familia q sufrir enfermedad evitar seguir propagar virus pais,1
150,150,150,María José,@mariajo_nh,2021-03-05,primero dosis vacuno puesto,1
151,151,151,eduardo katz oltarz,@edukatzoltarz,2021-03-05,tipor tuyospor todosdeber vacunar yo pandemia salir feliz viernes disfrutar findeeeee,1
152,152,152,Dialisis Peritoneal,@dialisis_p,2021-03-05,tras 12h sintoma dolor brazo suenoaunque tal vez madrugar ayer fiebre importante,1
153,153,153,Lilia,@Liliaalvme,2021-03-05,viernes viernes cualquiera astrazeneco ver tarde,1
154,154,154,Mamadoc,@Mamidoc43,2021-03-05,hoy ir segundo dosis vacuno dio querer principio fin,1
155,155,155,FUENSANTA GÓMEZ,@fuensantagg73,2021-03-05,ver amiga enfermera amiga tierra compartir dia practica estudiante ano trabajo despue pensar llevar ano ver el vacunado mierda acabar abrazar echar llorar,1
156,156,156,Jackie B.B.,@JackieBB9,2021-03-05,feliz lunes manana proximar 4 abrilfeliz gracias drdanielsalina luislacallepou equipo gobiernogrs cohenengelman uda gachgrs ipmontevideo udelaruy q poner pais hombro,1
157,157,157,Marcelo de la Fuente,@MarcelodelaF,2021-03-05,55 59 agender vacunar yo lunes tarde menos medio minuto wazzup 098 999999 toque toque,1
158,158,158,Alcaldía de Medellín,@AlcaldiadeMed,2021-03-05,medellin seguir florecer primavera llegar asi ir plan vacunacion ciudad hoy suministrado 142 dosis sinovac persona mayor llegar meta 1535 vacuna aplicado centro geriatrico,1
159,159,159,Gabales,@gabbales,2021-03-05,pasado mas 48 hora vacunir convertido lagarto salir tercero ojo siquiera detectar microchip fiasco seguro unico manera salir colaborar,1
160,160,160,Matlab,@MatLabPer,2021-03-05,faltar solo 3 dia poder vacunar primero dosis miembro mesa,1
161,161,161,Verónica Pérez Papadopulos,@Veroperezpap,2021-03-05,vacuna dartir disponible momento tocar mejor vacuna todo prevenir alto efectividad enfermedad grave muerte familia comunidad,1
162,162,162,Pancho_WHO,@Pancho_Who,2021-03-05,jajajaja visto covidiota mostrar carnet vacuno logro logro ser si enfermar cosa vacuna,1
163,163,163,Ismael Burone,@iburone,2021-03-05,creer vacuna precisar vacuna comun pizca empatia vacunate aunque caer turismo despues poder ser demasiado tarde,1
164,164,164,Francisca Lira,@franlira_cl,2021-03-05,hoy ver abuela 97 ano despue ano siempre punta blanco pelo perfecto dos dosis vacuna listo,1
165,165,165,plopp,@PilarLopMont,2021-03-05,si pasar 3 camión encima doler todo articulación fiebre subir aun asi pensar ir merecer pena,1
166,166,166,Ana Cencio,@germinadora,2021-03-05,creer sueno grupo persona agendar él manana cualquiera persona bien miedo 55 59 ano alla ir 58 primavera aquel todavia tocar,1
167,167,167,Camilo Anjari G,@delaluna_7,2021-03-04,hueon doler cuerpo brazo culiao llevar hora asi tarde dar fiebre leve dolor cuerpo llegar ser molestoso,1
168,168,168,Evelyn Hemmelmann,@EveHemmel,2021-03-04,rezagado poder vacunar él mucho persona poder vacunar él ahora permitir,1
169,169,169,Nicolás Dorronsoro,@NDDiez,2021-03-04,si dar miedo luz acostumbraste oscuridad recordar cada vacuna dar paso salir tunel,1
170,170,170,Sandya,@Sayarce,2021-03-04,colombia ir tener mejor plan vacunacion mundo mundial solo publicidad tv estar anunciar deber hacer segundo dosis siquiera terminar poner primero primero grupo ser,1
171,171,171,Caterina Musse,@caterinamusse,2021-03-04,q saber vacuna covid 19 dar vacuna gripe dar pregunta q componente q laboratorio cuanto tiempo desarrollar vacuna importar servir punto covid tb,1
172,172,172,Alonso,@aIxnsx,2021-03-04,si vivir florida deber vacunar yo centro habilitado florida poder ir cualquiera comuna,1
173,173,173,Myriam González,@MyriamGomoure,2021-03-04,vacuno toque toque,1
174,174,174,AC Avellaneda,@AndreaA49908134,2021-03-04,principio fin pandemio vacunacion masivo hoy feliz 1 dosis familia colega,1
175,175,175,Laura García,@LauraGarciaNo,2021-03-04,manana poder anotar aquel 55 59 ano restriccion edad ir,1
176,176,176,Fran,@HogarDePony,2021-03-04,si salir bien proximo jueves deberir recibir segundo dosis,1
177,177,177,Julián Gómez ✪,@Nebiros96,2021-03-04,apenas venir dar cuenta lema usar chile colombio proceso vacunacion mismo,1
178,178,178,Michael Liria,@michaelliria,2021-03-04,ver hijo esposa millonario vacunar él persona pertenecer primero fase enterar,1
179,179,179,E v e,@Lyna_cv,2021-03-04,poder vacunar hoy preguntar cuanto dosis diario enviar sector vacunacion llegar tener dosis,1
180,180,180,Miillaray,@_NewDreams,2021-03-04,papas primero dosis abuelo listo 2 dosis comenzar sentir alivio despue 1 ano 12 aprox uno semana poder viajar ver viejito mama poder ver papas joven quedar seguir cuidar yo,1
181,181,181,PIKI,@pikiayllon,2021-03-04,2 dosis puesto,1
182,182,182,Mauricio,@GestazionCL,2021-03-04,hoy gran parte mayor 71 ano vacunado hacer 21 dia mas deber ser inmune covid severo casi,1
183,183,183,pH,@Patrher,2021-03-04,listo segundo dosis davidcardmatz ser comienzo fin,1
184,184,184,Florencia Pereira,@flopereira17,2021-03-04,si querer mas gente vacunir insistir campana referente ambito politico deportivo religioso sindical etcétera hablar consecuencia vacunar él insistir,1
185,185,185,Joanna Heskia,@jheskia,2021-03-04,suegro segundo dosis mama primero bien atendido feliz,1
186,186,186,Andy Celeste,@Anndycita,2021-03-04,alguien mas efecto adverso segundo dosis sinovac acaer apontar letargia somnolencia diarreo dolor hermoso brazo,1
187,187,187,No me pises lo fregao,@wachunever,2021-03-04,despue 2 dosis anticuerpo andar mil asique vacuna funcionar,1
188,188,188,Susana Muñoz E,@Su___,2021-03-04,tanto contento emocionado caber pecho papa recibir hoy primero dosis vacuno contento leer él tambien dar tremendo esperanza futuro,1
189,189,189,XimeFer,@kitytta,2021-03-04,segundo dosis poner leeeeentisimo atencion comparado primero,1
190,190,190,María G,@meraiah8,2021-03-04,aqui profe recer vacunado,1
191,191,191,LUCHO AK7,@LuchoAK7,2021-03-04,toque vacuna haber contagiar volver enfermo 3 4 vez 2021,1
192,192,192,Alejandro Hernández,@janofelip27,2021-03-04,trabajador universidad igualmente parte proceso vacunacion,1
193,193,193,Pamela Silva V.,@PameSV,2021-03-04,fin madre lactante considerar calendario gobiernodechile solo esperar dejar final,1
194,194,194,Pedestre,@jpamayag,2021-03-04,cuarentena santiago si concepcir minsal,1
195,195,195,Camilo Anjari G,@delaluna_7,2021-03-04,despue 2 dosis empezar saludar beso boca decir eee,1
196,196,196,Jorge Maltrain,@JorgeMaltrain,2021-03-04,feliz recibir segundo vacuna mucho gracias extraordinario cuerpo enfermera hosmetchile,1
197,197,197,Nathalia Lois,@nathalialois,2021-03-04,familia sociedad vacuna salvar vida toque vacunate,1
198,198,198,Jully Carbonell ײַ,@Jully_carbonell,2021-03-04,hoy tocar segundo dosis vacuno,1
199,199,199,Alejandro Ferrari,@AleFerrari_uy,2021-03-04,comenzar importante seguir medida basico prevencion barbijo distanciamiento sostenido higiene mano socializacion controlado burbujo,1
200,200,200,𝕲𝖔𝖓𝖟𝖆𝖑𝖔 ϟ,@Esperonoes,2021-03-04,tocar segundo dosis vacuno domingo,1
201,201,201,"Maru
Viví Peñarol",@MaruInCa,2021-03-04,decir joda vacuno viernes pasado mismo postura hoy dar primero dosis familia,1
202,202,202,Cabeza,@Cabeza36466955,2021-03-04,vacunar él vamar arriba,1
203,203,203,Gorda! Zine Laura Contrera,@gordazine,2021-03-04,papa turno vacuna matanza faltar mama felicidad total sistema vacunatorio kicillofok nkreplak drdanielgollan saludbar orgullo cabo ver,1
